Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	11	45	Ingress	2021 SEP 05 10:36:47	2021 SEP 05 10:40:31	2021 SEP 05 10:41:19	272.00	136.97	148.13	150.26	59.16	53.85	52.48	3.30	3	-	-	-	&mroOverlap; 	
N/A	11	45	Egress	2021 SEP 05 11:16:34	2021 SEP 05 11:17:25	2021 SEP 05 11:21:29	295.00	-133.35	-130.46	-114.93	-57.00	-58.25	-62.67	9.33	3	-	-	-	&mroOverlap; 	
ACS	12	45	Ingress	2021 SEP 05 12:34:41	2021 SEP 05 12:38:24	2021 SEP 05 12:39:12	271.00	107.95	119.10	121.25	59.27	54.05	52.69	3.28	14	-	-	-	&mroOverlap; 	
ACS	12	45	Egress	2021 SEP 05 13:14:33	2021 SEP 05 13:15:23	2021 SEP 05 13:19:27	294.00	-161.77	-158.92	-143.41	-57.13	-58.34	-62.71	9.35	14	-	-	-	&mroOverlap; 	
N/A	13	45	Ingress	2021 SEP 05 14:32:31	2021 SEP 05 14:36:13	2021 SEP 05 14:37:01	270.00	78.93	90.07	92.23	59.38	54.25	52.90	3.26	14	-	-	-		
N/A	13	45	Egress	2021 SEP 05 15:12:27	2021 SEP 05 15:13:17	2021 SEP 05 15:17:20	293.00	169.74	172.58	-172.00	-57.21	-58.41	-62.73	9.36	14	-	-	-		
NOMAD	14	45	Ingress	2021 SEP 05 16:30:19	2021 SEP 05 16:34:00	2021 SEP 05 16:34:48	269.00	49.82	60.98	63.16	59.53	54.48	53.15	3.23	1	All Fullscan Slow #2	Diffraction order stepping (fullscan): 115 orders from 110 to 225 in steps of 1 (1 order(s) per 1 second(s))	COP row -1: 	&mroOverlap; 	
NOMAD	14	45	Egress	2021 SEP 05 17:10:19	2021 SEP 05 17:11:09	2021 SEP 05 17:15:10	291.00	141.02	143.85	159.03	-57.20	-58.40	-62.68	9.36	1	6SUBD Nominal #1	Science: orders #121, #134, #149, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&mroOverlap; 	
ACS	15	45	Ingress	2021 SEP 05 18:28:12	2021 SEP 05 18:31:53	2021 SEP 05 18:32:40	268.00	20.71	31.93	34.07	59.67	54.68	53.39	3.20	14	-	-	-		
ACS	15	45	Egress	2021 SEP 05 19:08:15	2021 SEP 05 19:09:05	2021 SEP 05 19:13:05	290.00	112.29	115.10	130.12	-57.19	-58.38	-62.64	9.35	14	-	-	-		
NOMAD	16	45	Ingress	2021 SEP 05 20:26:09	2021 SEP 05 20:29:48	2021 SEP 05 20:30:35	266.00	-8.29	2.86	5.02	59.76	54.87	53.60	3.18	1	132 only #2	Science: orders #132, #132, #132, #132, #132, #132, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&daysideMatch:CERBERUS FOSSAE; 	
NOMAD	16	45	Egress	2021 SEP 05 21:06:15	2021 SEP 05 21:07:05	2021 SEP 05 21:11:04	289.00	83.67	86.47	101.35	-57.23	-58.41	-62.64	9.36	1	6SUBD Nominal #45	Science: orders #121, #136, #169, #129, #149, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&daysideMatch:CERBERUS FOSSAE; 	
NOMAD	17	45	Ingress	2021 SEP 05 22:24:05	2021 SEP 05 22:27:43	2021 SEP 05 22:28:30	265.00	-37.34	-26.20	-24.03	59.88	55.06	53.80	3.15	1	6SUBD Nom CO2 #1	Science: orders #121, #134, #149, #164, #165, #169, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
NOMAD	17	45	Egress	2021 SEP 05 23:04:15	2021 SEP 05 23:05:04	2021 SEP 05 23:09:03	288.00	55.14	57.88	72.71	-57.31	-58.46	-62.65	9.37	1	6SUBD Nom CO #6	Science: orders #167, #186, #187, #188, #190, #148, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
N/A	18	45	Ingress	2021 SEP 06 00:21:58	2021 SEP 06 00:25:35	2021 SEP 06 00:26:22	264.00	-66.39	-55.26	-53.09	59.99	55.26	54.01	3.13	14	-	-	-		
N/A	18	45	Egress	2021 SEP 06 01:02:13	2021 SEP 06 01:03:02	2021 SEP 06 01:07:00	287.00	26.68	29.43	44.17	-57.41	-58.55	-62.68	9.38	14	-	-	-		
N/A	19	45	Ingress	2021 SEP 06 02:19:49	2021 SEP 06 02:23:25	2021 SEP 06 02:24:12	263.00	-95.43	-84.32	-82.13	60.10	55.45	54.21	3.10	14	-	-	-	&daysideMatch:NILI FOSSAE; &daysideMatch:PERSEVERANCE; 	
N/A	19	45	Egress	2021 SEP 06 03:00:08	2021 SEP 06 03:00:57	2021 SEP 06 03:04:54	286.00	-1.77	0.98	15.64	-57.52	-58.64	-62.71	9.40	14	-	-	-	&daysideMatch:NILI FOSSAE; &daysideMatch:PERSEVERANCE; 	
ACS	20	45	Ingress	2021 SEP 06 04:17:40	2021 SEP 06 04:21:16	2021 SEP 06 04:22:02	262.00	-124.45	-113.30	-111.15	60.20	55.60	54.40	3.08	14	-	-	-		
ACS	20	45	Egress	2021 SEP 06 04:58:02	2021 SEP 06 04:58:51	2021 SEP 06 05:02:47	285.00	-30.40	-27.67	-13.15	-57.54	-58.66	-62.69	9.40	14	-	-	-		
NOMAD	21	45	Ingress	2021 SEP 06 06:15:32	2021 SEP 06 06:19:07	2021 SEP 06 06:19:53	261.00	-153.57	-142.42	-140.25	60.33	55.82	54.63	3.05	1	6SUBD Nominal #12	Science: orders #121, #134, #127, #129, #169, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
NOMAD	21	45	Egress	2021 SEP 06 06:55:56	2021 SEP 06 06:56:44	2021 SEP 06 07:00:39	283.00	-59.17	-56.50	-42.17	-57.51	-58.61	-62.64	9.39	1	6SUBD Nom CO #6	Science: orders #167, #186, #187, #188, #190, #148, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
ACS	22	45	Ingress	2021 SEP 06 08:13:25	2021 SEP 06 08:16:59	2021 SEP 06 08:17:45	260.00	177.24	-171.59	-169.40	60.48	56.05	54.88	3.02	14	-	-	-		
ACS	22	45	Egress	2021 SEP 06 08:53:54	2021 SEP 06 08:54:42	2021 SEP 06 08:58:36	282.00	-87.82	-85.18	-70.99	-57.53	-58.62	-62.62	9.39	14	-	-	-		
N/A	23	45	Ingress	2021 SEP 06 10:11:20	2021 SEP 06 10:14:53	2021 SEP 06 10:15:39	259.00	148.12	159.28	161.48	60.60	56.26	55.10	2.99	14	-	-	-		
N/A	23	45	Egress	2021 SEP 06 10:51:53	2021 SEP 06 10:52:41	2021 SEP 06 10:56:34	281.00	-116.35	-113.70	-99.62	-57.61	-58.69	-62.63	9.41	14	-	-	-		
NOMAD	24	45	Ingress	2021 SEP 06 12:09:15	2021 SEP 06 12:12:47	2021 SEP 06 12:13:33	258.00	119.08	130.21	132.42	60.70	56.43	55.29	2.97	1	6SUBD Nom CH4 #2	Science: orders #134, #136, #164, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
NOMAD	24	45	Egress	2021 SEP 06 12:49:52	2021 SEP 06 12:50:40	2021 SEP 06 12:54:32	280.00	-144.78	-142.13	-128.13	-57.72	-58.79	-62.67	9.43	1	6SUBD Nominal #12	Science: orders #121, #134, #127, #129, #169, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
N/A	25	45	Ingress	2021 SEP 06 14:07:07	2021 SEP 06 14:10:39	2021 SEP 06 14:11:24	257.00	90.08	101.23	103.40	60.78	56.57	55.46	2.95	14	-	-	-		
ACS	25	45	Egress	2021 SEP 06 14:47:48	2021 SEP 06 14:48:36	2021 SEP 06 14:52:28	280.00	-173.23	-170.59	-156.61	-57.82	-58.88	-62.71	9.44	14	-	-	-		
NOMAD	26	45	Ingress	2021 SEP 06 16:04:56	2021 SEP 06 16:08:27	2021 SEP 06 16:09:12	256.00	61.01	72.15	74.33	60.89	56.75	55.66	2.92	1	LNO Occultation Fullscan Fast #2	Diffraction order stepping (fullscan): 105 orders from 110 to 215 in steps of 1 (6 order(s) per 1 second(s))	COP row -1: 	&daysideMatch:OLYMPUS MONS; 	
NOMAD	26	45	Egress	2021 SEP 06 16:45:39	2021 SEP 06 16:46:26	2021 SEP 06 16:50:17	278.00	158.14	160.72	174.55	-57.84	-58.87	-62.68	9.44	1	HCL #4	Science: orders #121, #134, #129, #129, #129, #129, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&daysideMatch:OLYMPUS MONS; 	
NOMAD	27	45	Ingress	2021 SEP 06 18:02:46	2021 SEP 06 18:06:17	2021 SEP 06 18:07:02	256.00	31.82	43.02	45.21	61.03	56.96	55.88	2.89	1	6SUBD Nominal #51	Science: orders #121, #136, #129, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
NOMAD	27	45	Egress	2021 SEP 06 18:43:33	2021 SEP 06 18:44:20	2021 SEP 06 18:48:10	277.00	129.39	131.95	145.62	-57.82	-58.85	-62.64	9.43	1	CO2 Fullscan Fast #3	Diffraction order stepping (fullscan): 10 orders from 125 to 135 in steps of 1 (6 order(s) per 1 second(s))	COP row -1: 		
ACS	28	45	Ingress	2021 SEP 06 20:00:42	2021 SEP 06 20:04:11	2021 SEP 06 20:04:56	254.00	2.80	13.92	16.12	61.11	57.13	56.07	2.86	14	-	-	-		
ACS	28	45	Egress	2021 SEP 06 20:41:31	2021 SEP 06 20:42:18	2021 SEP 06 20:46:07	276.00	100.71	103.26	116.79	-57.83	-58.85	-62.61	9.44	14	-	-	-		
NOMAD	29	45	Ingress	2021 SEP 06 21:58:38	2021 SEP 06 22:02:06	2021 SEP 06 22:02:51	253.00	-26.25	-15.17	-12.95	61.20	57.30	56.25	2.84	1	6SUBD Nominal #51	Science: orders #121, #136, #129, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&daysideMatch:INSIGHT; &daysideMatch:CURIOSITY; &mroOverlap; 	
NOMAD	29	45	Egress	2021 SEP 06 22:39:31	2021 SEP 06 22:40:18	2021 SEP 06 22:44:06	275.00	72.12	74.66	88.06	-57.88	-58.90	-62.61	9.44	1	6SUBD CO2 #10	Science: orders #156, #116, #118, #169, #154, #158, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&daysideMatch:INSIGHT; &daysideMatch:CURIOSITY; &mroOverlap; 	
ACS	30	45	Ingress	2021 SEP 06 23:56:33	2021 SEP 07 00:00:01	2021 SEP 07 00:00:45	252.00	-55.32	-44.21	-42.03	61.30	57.45	56.43	2.81	14	-	-	-		
ACS	30	45	Egress	2021 SEP 07 00:37:29	2021 SEP 07 00:38:16	2021 SEP 07 00:42:03	274.00	43.62	46.16	59.46	-57.97	-58.97	-62.63	9.46	14	-	-	-		
NOMAD	31	45	Ingress	2021 SEP 07 01:54:24	2021 SEP 07 01:57:52	2021 SEP 07 01:58:36	252.00	-84.41	-73.28	-71.10	61.40	57.61	56.61	2.79	1	6SUBD Nominal #1	Science: orders #121, #134, #149, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&daysideMatch:UTOPIA; &mroOverlap; 	
NOMAD	31	45	Egress	2021 SEP 07 02:35:25	2021 SEP 07 02:36:12	2021 SEP 07 02:39:58	273.00	15.16	17.70	30.91	-58.06	-59.05	-62.66	9.47	1	LNO Occultation Fullscan Fast #2	Diffraction order stepping (fullscan): 105 orders from 110 to 215 in steps of 1 (6 order(s) per 1 second(s))	COP row -1: 	&daysideMatch:UTOPIA; &mroOverlap; 	
NOMAD	32	45	Ingress	2021 SEP 07 03:52:15	2021 SEP 07 03:55:42	2021 SEP 07 03:56:26	251.00	-113.44	-102.33	-100.14	61.49	57.76	56.77	2.76	1	HCL #5	Science: orders #121, #134, #130, #130, #130, #130, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&mroOverlap; 	
NOMAD	32	45	Egress	2021 SEP 07 04:33:19	2021 SEP 07 04:34:05	2021 SEP 07 04:37:52	273.00	-13.41	-10.94	2.27	-58.10	-59.07	-62.67	9.48	1	6SUBD Nominal #48	Science: orders #121, #134, #129, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&mroOverlap; 	
ACS	33	45	Ingress	2021 SEP 07 05:50:06	2021 SEP 07 05:53:32	2021 SEP 07 05:54:16	250.00	-142.51	-131.43	-129.23	61.58	57.93	56.95	2.73	14	-	-	-		
ACS	33	45	Egress	2021 SEP 07 06:31:12	2021 SEP 07 06:31:58	2021 SEP 07 06:35:43	271.00	-42.18	-39.73	-26.75	-58.07	-59.04	-62.61	9.47	14	-	-	-		
NOMAD	34	45	Ingress	2021 SEP 07 07:47:59	2021 SEP 07 07:51:24	2021 SEP 07 07:52:08	249.00	-171.71	-160.63	-158.41	61.70	58.14	57.17	2.70	1	HCL #9	Science: orders #121, #136, #130, #130, #130, #130, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&daysideMatch:VERNAL CRATER; &mroOverlap; 	
