TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2022 DEC 24 17:36:00,1,1
2022 DEC 24 19:33:00,2,2
2022 DEC 24 21:30:00,3,3
2022 DEC 25 19:06:00,14,14
2022 DEC 26 07:00:00,20,20
2022 DEC 26 08:57:00,21,21
2022 DEC 26 10:54:00,22,22
2022 DEC 27 08:30:00,33,33
2022 DEC 27 10:27:00,34,34
2022 DEC 27 22:21:00,40,40
2022 DEC 28 00:18:00,41,41
2022 DEC 29 01:48:00,54,54
2022 DEC 28 02:15:00,42,42
2022 DEC 28 19:54:00,51,51
2022 DEC 28 23:51:00,53,53
2022 DEC 29 11:42:00,59,59
2022 DEC 29 13:39:00,60,60
2022 DEC 30 11:15:00,71,71
2022 DEC 31 02:57:00,79,79
2022 DEC 31 05:00:00,80,80
2022 DEC 31 06:57:00,81,81
2023 JAN 01 04:33:00,92,92
2023 JAN 01 18:21:00,99,99
2023 JAN 01 20:18:00,100,100
2023 JAN 03 13:36:00,121,121
2023 JAN 05 02:57:00,140,140
2023 JAN 06 16:18:00,159,159
2023 JAN 07 13:54:00,170,170
2023 JAN 06 16:18:00,159,159
2023 JAN 09 03:15:00,189,189
2023 JAN 11 16:12:00,220,220
2023 JAN 14 03:09:00,250,250
2023 JAN 13 21:15:00,247,247
2023 JAN 14 03:09:00,250,250
2023 JAN 14 20:51:00,259,259
2023 JAN 15 16:30:00,269,269
2023 JAN 17 07:48:00,289,289
2023 JAN 18 21:09:00,308,308
2023 JAN 19 03:03:00,311,311
