Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	99	Nightside	2025 OCT 25 15:34:15	2025 OCT 25 16:03:44	2025 OCT 25 16:33:12	3537.20	52.60	141.13	-141.77	-75.77	-0.59	75.80	151.20	22.14	14	-	-	-		
1	99	Dayside	2025 OCT 25 16:33:12	2025 OCT 25 17:02:42	2025 OCT 25 17:32:12	3539.91	-141.77	-53.74	23.84	75.80	2.17	-75.83	28.91	10.10	14	-		COP row -1: 		
2	99	Nightside	2025 OCT 25 17:32:12	2025 OCT 25 18:01:40	2025 OCT 25 18:31:08	3535.57	23.84	112.20	-170.51	-75.83	-0.57	75.84	150.97	22.12	1	-	-	-		
2	99	Dayside	2025 OCT 25 18:31:08	2025 OCT 25 19:00:37	2025 OCT 25 19:30:06	3538.21	-170.51	-82.65	-4.93	75.84	2.11	-75.88	29.14	10.09	1	-		COP row -1: 		
3	99	Nightside	2025 OCT 25 19:30:06	2025 OCT 25 19:59:33	2025 OCT 25 20:29:01	3535.07	-4.93	83.29	160.77	-75.88	-0.52	75.89	150.75	22.11	3	-	-	-		
3	99	Dayside	2025 OCT 25 20:29:01	2025 OCT 25 20:58:30	2025 OCT 25 21:27:58	3537.27	160.77	-111.55	-33.51	75.89	2.06	-75.88	29.35	10.07	3	Nominal 4SUBD #2	Science: orders #168, #134, #121, #189, with 195000us integration time (4 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 		
4	99	Nightside	2025 OCT 25 21:27:58	2025 OCT 25 21:57:26	2025 OCT 25 22:26:54	3536.03	-33.51	54.40	132.20	-75.88	-0.41	75.88	150.53	22.09	1	-	-	-		
4	99	Dayside	2025 OCT 25 22:26:54	2025 OCT 25 22:56:24	2025 OCT 25 23:25:54	3539.23	132.20	-140.45	-61.99	75.88	1.97	-75.83	29.58	10.06	1	-		COP row -1: 		
5	99	Nightside	2025 OCT 25 23:25:54	2025 OCT 25 23:55:22	2025 OCT 26 00:24:51	3537.87	-61.99	25.49	103.75	-75.83	-0.32	75.82	150.30	22.08	14	-	-	-		
5	99	Dayside	2025 OCT 26 00:24:51	2025 OCT 26 00:54:21	2025 OCT 26 01:23:51	3539.92	103.75	-169.38	-90.55	75.82	1.83	-75.81	29.82	10.05	14	-		COP row -1: 		
