TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2021 OCT 30 17:24:00,1,1
2021 OCT 30 17:21:00,1,1
2021 OCT 30 19:18:00,2,2
2021 OCT 30 23:24:00,4,4
2021 OCT 30 23:21:00,4,4
2021 OCT 30 23:18:00,4,4
2021 OCT 31 01:15:00,5,5
2021 OCT 31 01:12:00,5,5
2021 OCT 31 03:09:00,6,6
2021 NOV 01 02:48:00,18,18
2021 NOV 01 06:48:00,20,20
2021 NOV 01 06:45:00,20,20
2021 NOV 01 08:42:00,21,21
2021 NOV 01 12:48:00,23,23
2021 NOV 01 12:45:00,23,23
2021 NOV 02 20:09:00,39,39
2021 NOV 03 02:09:00,42,42
2021 NOV 04 01:45:00,54,54
2021 NOV 04 01:42:00,54,54
2021 NOV 04 02:45:00,55,55
2021 NOV 04 09:33:00,58,58
2021 NOV 04 13:33:00,60,60
2021 NOV 04 16:33:00,62,62
2021 NOV 05 15:06:00,73,73
2021 NOV 05 22:03:00,77,77
2021 NOV 06 03:57:00,80,80
2021 NOV 06 05:54:00,81,81
2021 NOV 07 02:30:00,91,91
2021 NOV 07 05:27:00,93,93
2021 NOV 07 11:21:00,96,96
2021 NOV 07 17:18:00,99,99
2021 NOV 08 16:51:00,111,111
2021 NOV 08 18:48:00,112,112
2021 NOV 09 04:42:00,117,117
2021 NOV 09 10:36:00,120,120
2021 NOV 10 06:12:00,130,130
2021 NOV 10 12:06:00,133,133
2021 NOV 11 17:36:00,148,148
2021 NOV 11 23:30:00,151,151
2021 NOV 12 01:27:00,152,152
2021 NOV 13 16:48:00,172,172
2021 NOV 13 18:45:00,173,173
2021 NOV 15 06:09:00,191,191
2021 NOV 15 12:03:00,194,194
2021 NOV 15 17:57:00,197,197
2021 NOV 18 04:54:00,227,227
2021 NOV 20 00:09:00,249,249
2021 NOV 20 06:03:00,252,252
2021 NOV 20 11:57:00,255,255
2021 NOV 22 01:18:00,274,274
2021 NOV 24 20:06:00,308,308
2021 NOV 25 00:03:00,310,310
2021 NOV 25 02:00:00,311,311
2021 NOV 26 21:15:00,333,333
2021 NOV 27 03:09:00,336,336
