Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	1	61	Merged	2022 NOV 26 15:17:34	-	2022 NOV 26 15:52:27	2092.44	-55.67	-	147.23	-12.43	-	78.13	-	3	-	-	-		
NOMAD	2	61	Merged	2022 NOV 26 17:15:39	-	2022 NOV 26 17:50:19	2079.26	-84.48	-	119.00	-11.86	-	78.31	-	5	6SUBD CO2 H2O CO #15	Science: orders #121, #132, #148, #165, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
ACS	3	61	Merged	2022 NOV 26 19:13:42	-	2022 NOV 26 19:48:12	2069.93	-113.27	-	90.18	-11.32	-	78.30	-	14	-	-	-		
NOMAD	4	61	Merged	2022 NOV 26 21:11:47	-	2022 NOV 26 21:46:08	2060.64	-142.09	-	60.98	-10.65	-	78.18	-	5	6SUBD Nominal #11	Science: orders #121, #134, #126, #129, #169, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&mroOverlap; 	
ACS	5	61	Merged	2022 NOV 26 23:09:54	-	2022 NOV 26 23:44:03	2048.50	-170.92	-	32.26	-9.94	-	78.20	-	14	-	-	-		
NOMAD	6	61	Merged	2022 NOV 27 01:08:03	-	2022 NOV 27 01:41:58	2035.10	160.25	-	3.68	-9.25	-	78.27	-	5	6SUBD CO2 H2O CO #15	Science: orders #121, #132, #148, #165, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
N/A	7	61	Merged	2022 NOV 27 03:06:11	-	2022 NOV 27 03:39:57	2026.09	131.44	-	-25.20	-8.71	-	78.25	-	14	-	-	-		
NOMAD	8	61	Grazing	2022 NOV 27 05:04:19	-	2022 NOV 27 05:37:55	2016.00	102.62	-	102.62	-8.11	-	-8.11	-	5	6SUBD CO2 H2O #11	Science: orders #121, #132, #148, #156, #160, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
N/A	9	61	Grazing	2022 NOV 27 07:02:22	-	2022 NOV 27 07:35:50	2008.00	73.83	-	73.83	-7.60	-	-7.60	-	14	-	-	-		
N/A	10	61	Grazing	2022 NOV 27 09:00:25	-	2022 NOV 27 09:33:39	1994.00	45.03	-	45.03	-6.94	-	-6.94	-	14	-	-	-		
NOMAD	11	61	Grazing	2022 NOV 27 10:58:35	-	2022 NOV 27 11:31:35	1980.00	16.18	-	16.18	-6.10	-	-6.10	-	5	6SUBD CO2 H2O CO #15	Science: orders #121, #132, #148, #165, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
N/A	12	61	Grazing	2022 NOV 27 12:56:48	-	2022 NOV 27 13:29:38	1970.00	-12.68	-	-12.68	-5.28	-	-5.28	-	3	-	-	-	&mroOverlap; 	
N/A	13	61	Grazing	2022 NOV 27 14:55:01	-	2022 NOV 27 15:27:37	1956.00	-41.54	-	-41.54	-4.45	-	-4.45	-	14	-	-	-		
