NOM_02, OCCEG, 27, 170
NOM_02, OCCIN, 248, 263
NOM_03, OCCEG, 11, 37, 104, 116, 123, 131, 133, 141, 174, 203, 232, 234, 245, 261, 267, 270, 277, 292, 297, 303, 305, 332, 335
NOM_03, OCCIN, 3, 28, 32, 45, 65, 70, 80, 82, 86, 101, 109, 148, 150, 184, 211, 223, 235, 239, 250, 261, 268, 277, 300, 302, 305, 310, 320, 333, 335, 341
CO_001, OCCEG, 147, 183, 218, 314
CO_001, OCCIN, 267, 326
CO_002, OCCEG, 13, 35, 260, 263, 302, 310, 311, 319, 333
CO_002, OCCIN, 20, 103, 113, 200, 272, 280, 292, 298, 303
CO2_01, OCCEG, 9, 33, 39, 50, 52, 89, 93, 106, 121, 143, 156, 191, 201, 205, 265, 273, 282, 295, 322
CO2_01, OCCIN, 5, 16, 18, 40, 115, 124, 136, 169, 186, 188, 217, 260, 275, 282, 297, 322, 332
CO2_02, OCCEG, 118, 135, 178, 220, 222, 247, 287, 308
CO2_02, OCCIN, 22, 140, 285, 287, 291, 316
HCL_01, OCCEG, 23, 58, 60, 79, 145, 193, 195, 230, 253, 272, 289, 326, 338
HCL_01, OCCIN, 7, 42, 47, 53, 55, 57, 72, 74, 99, 126, 154, 198, 225, 237, 252, 311, 314, 338
FUL_01, OCCEG, 25, 62, 91, 158, 160, 228, 243, 275, 278, 280, 298, 320, 325, 340
FUL_01, OCCIN, 97, 152, 209, 213, 270, 273, 295
