Target Name,Flyover #,Orbit type,Thermal orbit number,Start crossing time (UTC),End crossing time (UTC),Start crossing latitude (deg),Start crossing longitude (deg),End crossing latitude (deg),End crossing longitude (deg),Start crossing phase angle (deg),End crossing phase angle (deg),Start crossing solar incidence angle (deg),End crossing solar incidence angle (deg),Start crossing emission angle (deg),End crossing emission angle (deg),Start crossing LST (h),End crossing LST (h)
Arsia Mons                                           ,1,3,60,2023 MAR 23 12:36:00,2023 MAR 23 12:36:35,-6.0989,-123.1925,-7.8516,-122.8917,57.2584,57.5808,57.1396,57.4719,0.20718,0.18698,8.4575,8.4869
Arsia Mons                                           ,2,3,303,2023 APR 12 09:03:13,2023 APR 12 09:03:48,-7.8515,-121.8211,-6.099,-121.5226,64.8909,64.5998,69.8339,69.5359,5.0494,5.0343,16.3608,16.3903
Pavonis Mons                                         ,1,3,184,2023 APR 02 16:13:16,2023 APR 02 16:13:51,3.4013,-112.8315,1.6482,-112.5369,84.7419,84.8524,84.5819,84.6986,0.31755,0.2973,6.3064,6.3358
Pavonis Mons                                         ,2,3,253,2023 APR 08 06:51:03,2023 APR 08 06:51:38,1.6481,-113.9804,3.4013,-113.6855,79.4824,79.348,79.3283,79.1876,0.26632,0.25449,17.2869,17.3164
Ascraeus Mons                                        ,1,5,109,2023 MAR 27 12:47:09,2023 MAR 27 12:47:45,12.4017,-104.7366,10.6476,-104.4206,63.0144,62.9862,67.6752,67.6524,4.6901,4.7011,7.3225,7.3531
Eastern Coprates                                     ,1,3,120,2023 MAR 28 10:32:38,2023 MAR 28 10:33:13,-12.5989,-58.5808,-14.3516,-58.2622,68.7918,69.072,71.8965,72.1812,3.2653,3.2743,7.5803,7.6111
Eastern Coprates                                     ,2,3,251,2023 APR 08 02:49:54,2023 APR 08 02:50:29,-14.3517,-58.9256,-12.5989,-58.6033,81.5744,81.3557,81.487,81.2606,0.39699,0.38245,17.045,17.0761
Elysium Cerberus Phlegra                             ,1,3,62,2023 MAR 23 16:17:27,2023 MAR 23 16:17:45,35.9041,169.7342,35.0697,170,57.1908,56.9499,61.5502,61.2771,4.4671,4.4249,7.5789,7.6014
Elysium Cerberus Phlegra                             ,2,3,174,2023 APR 01 20:23:06,2023 APR 01 20:23:36,35.9038,169.5766,34.4852,170,82.0151,81.9744,81.7787,81.74,0.59592,0.59028,5.8242,5.8603
Elysium Cerberus Phlegra                             ,3,3,231,2023 APR 06 11:48:10,2023 APR 06 11:48:47,34.1446,169.3048,35.9038,169.8273,83.227,83.2243,82.9845,82.9789,0.25062,0.25518,18.2672,18.3119
Olympica Fossae-Jovis Tholus                         ,1,1,72,2023 MAR 24 12:01:44,2023 MAR 24 12:02:04,20.9022,-115.1978,19.9243,-115,59.6833,59.5508,59.5067,59.3735,0.49391,0.48584,7.7981,7.8167
Olympica Fossae-Jovis Tholus                         ,2,3,184,2023 APR 02 16:07:19,2023 APR 02 16:07:55,20.9028,-116.2325,19.146,-115.8323,82.2087,82.6044,83.9395,83.9561,1.8017,1.4347,5.9831,6.0197
Ceraunius Fossae                                     ,1,3,228,2023 APR 06 05:50:59,2023 APR 06 05:51:35,24.1464,-106.4272,25.9026,-106.0353,83.9937,83.94,83.7705,83.7127,0.22328,0.22804,18.09,18.1258
Claritas Rise                                        ,1,1,22,2023 MAR 20 10:02:46,2023 MAR 20 10:03:21,-27.5986,-99.4421,-29.3522,-99.0146,57.0538,57.9545,57.1032,58.0164,0.062429,0.071076,9.4642,9.5022
Claritas Rise                                        ,2,3,134,2023 MAR 29 14:08:22,2023 MAR 29 14:08:57,-27.5986,-100.2687,-29.3523,-99.8308,77.1283,77.5721,77.3511,77.7201,0.23384,0.1521,7.6644,7.7033
Claritas Rise                                        ,3,1,327,2023 APR 14 08:06:02,2023 APR 14 08:06:19,-28.4707,-100.9879,-27.5986,-100.7768,70.2744,69.9599,70.2962,69.9766,0.4644,0.46088,15.5475,15.5664
South Thaumasia                                      ,1,5,109,2023 MAR 27 13:04:42,2023 MAR 27 13:05:01,-39.4164,-93.4832,-40.3539,-93.1543,76.0099,76.3187,76.0597,76.3719,0.059299,0.062124,8.3575,8.3844
South Thaumasia                                      ,2,3,339,2023 APR 15 07:36:53,2023 APR 15 07:37:07,-40.3539,-91.7384,-39.6814,-91.5,73.5022,73.1873,73.5915,73.2741,0.47947,0.47963,15.0542,15.0739
East Thaumasia                                       ,1,3,133,2023 MAR 29 12:11:21,2023 MAR 29 12:11:56,-30.0984,-70.7047,-31.8526,-70.2458,77.691,78.0819,77.6838,78.0826,0.024633,0.030285,7.7369,7.7772
Uysses Fossae                                        ,1,3,35,2023 MAR 21 11:22:23,2023 MAR 21 11:22:59,11.4018,-122.7928,9.6475,-122.4808,50.1312,50.0837,50.1633,50.0901,0.23441,0.23662,8.5628,8.5933
Uysses Fossae                                        ,2,3,147,2023 MAR 30 15:28:01,2023 MAR 30 15:28:37,11.4015,-122.981,9.6478,-122.6756,80.8806,80.9226,75.2096,75.2489,5.6734,5.6784,6.8061,6.8361
Uysses Fossae                                        ,3,3,216,2023 APR 05 06:11:10,2023 APR 05 06:11:46,9.6477,-121.9799,11.4016,-121.6704,87.4163,87.3039,87.2339,87.1155,0.22348,0.21849,18.0175,18.0478
Uysses Fossae                                        ,4,3,328,2023 APR 14 10:16:46,2023 APR 14 10:17:22,9.6469,-122.7187,11.4021,-122.3739,61.2644,60.9179,61.7067,61.6728,0.45704,0.76219,16.22,16.2525
Coprates Rise                                        ,1,3,33,2023 MAR 21 07:37:16,2023 MAR 21 07:37:52,-20.0988,-59.3896,-21.8519,-59.0279,55.5982,56.304,55.5835,56.3029,0.062717,0.052055,9.1372,9.1711
Coprates Rise                                        ,2,3,145,2023 MAR 30 11:42:52,2023 MAR 30 11:43:28,-20.0988,-60.1912,-21.8519,-59.829,78.251,78.527,78.1912,78.4754,0.069019,0.055759,7.3392,7.3728
Coprates Rise                                        ,3,3,251,2023 APR 08 02:47:22,2023 APR 08 02:47:58,-21.8519,-60.4058,-20.0988,-60.0423,82.6043,82.3504,82.55,82.2885,0.45405,0.44168,16.9053,16.9389
CH4_ROI_ACIDALIA MUD VOLCANOES NE                    ,1,3,168,2023 APR 01 08:32:17,2023 APR 01 08:32:45,45.5856,-20.3767,44.2532,-19.8,81.5284,81.4282,81.2849,81.1863,0.61282,0.6126,5.6278,5.6739
CH4_ROI_ACIDALIA MUD VOLCANOES NE                    ,2,3,275,2023 APR 10 02:19:31,2023 APR 10 02:20:09,43.8222,-20.5537,45.5803,-19.8,75.5987,75.8559,75.3791,75.6352,0.23858,0.23941,17.8364,17.8967
CH4_ROI_ACIDALIA MUD VOLCANOES BASSIN                ,1,3,218,2023 APR 05 10:48:57,2023 APR 05 10:49:34,41.8348,-25.621,40.0733,-24.9741,89.3307,89.483,89.0461,89.2022,0.61516,0.61207,4.9481,5.0011
CH4_ROI_ACIDALIA MUD VOLCANOES BASSIN                ,2,3,300,2023 APR 12 03:25:53,2023 APR 12 03:26:30,40.0734,-25.3869,41.8348,-24.7405,70.3957,70.73,70.1975,70.532,0.21887,0.21982,17.3167,17.3697
CH4_ROI_AEOLIS MENSAE - MFF                          ,1,1,88,2023 MAR 25 19:36:01,2023 MAR 25 19:36:36,-1.8988,145.8593,-3.6518,146.1565,63.0538,63.2449,62.9135,63.1123,0.25625,0.23591,7.9356,7.965
CH4_ROI_AEOLIS MENSAE - MFF                          ,2,3,200,2023 APR 03 23:41:36,2023 APR 03 23:42:11,-1.8988,145.0547,-3.6518,145.3523,88.7917,88.9128,88.651,88.7785,0.25642,0.23643,6.1361,6.1656
CH4_ROI_AEOLIS MENSAE - MFF                          ,3,3,244,2023 APR 07 13:08:08,2023 APR 07 13:08:43,-3.6517,145.5136,-1.8988,145.8118,81.9588,81.8055,81.8253,81.6651,0.30705,0.29289,17.3417,17.3711
