MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2023 MAR 19 04:29:39,2023 MAR 19 04:34:39,7,7
2023 MAR 19 22:14:30,2023 MAR 19 22:16:37,16,16
2023 MAR 20 03:51:18,2023 MAR 20 03:56:18,19,19
2023 MAR 20 17:32:26,2023 MAR 20 17:33:18,26,26
2023 MAR 20 21:33:40,2023 MAR 20 21:34:54,28,28
2023 MAR 21 05:35:59,2023 MAR 21 05:40:59,32,32
2023 MAR 21 13:16:40,2023 MAR 21 13:21:40,36,36
2023 MAR 22 20:38:49,2023 MAR 22 20:40:51,52,52
2023 MAR 22 22:39:23,2023 MAR 22 22:44:23,53,53
2023 MAR 23 22:24:46,2023 MAR 23 22:29:46,65,65
2023 MAR 24 10:15:22,2023 MAR 24 10:20:22,71,71
2023 MAR 25 07:41:05,2023 MAR 25 07:46:05,82,82
2023 MAR 25 09:52:18,2023 MAR 25 09:57:18,83,83
2023 MAR 27 12:44:06,2023 MAR 27 12:49:06,109,109
2023 MAR 27 22:48:05,2023 MAR 27 22:53:05,114,114
2023 MAR 29 08:00:52,2023 MAR 29 08:02:47,131,131
2023 APR 01 20:43:27,2023 APR 01 20:48:27,174,174
2023 APR 02 06:19:10,2023 APR 02 06:24:10,179,179
2023 APR 02 16:01:37,2023 APR 02 16:02:37,184,184
2023 APR 03 11:10:06,2023 APR 03 11:15:06,194,194
2023 APR 06 09:23:57,2023 APR 06 09:28:57,230,230
2023 APR 10 00:04:28,2023 APR 10 00:09:28,274,274
2023 APR 10 19:48:23,2023 APR 10 19:53:23,284,284
2023 APR 12 09:00:22,2023 APR 12 09:05:22,303,303
