MRO time overlap (UTC),MRO subSC lat (deg),MRO subSC lon (deg),MRO S/C altitude (km),MRO LST (h),MRO Incidence angle (deg),MRO Emission angle (deg),MRO Phase angle (deg),TGO time overlap (UTC),UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),TGO S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
2022 APR 17 06:30:00,-58.8337,33.1526,250.6848,16.0692,64.7067,4.498e-15,64.7067,2022 APR 17 06:09:00,-62.1528,35.3829,378.2486,15.8772,64.5917,0.53622,64.9001
2022 APR 17 10:15:00,-57.1145,-21.9277,251.8803,16.0461,63.9523,4.7735e-14,63.9523,2022 APR 17 10:06:00,-58.8869,-19.4064,380.9913,16.0683,64.6884,1.4546,66.1196
2022 APR 17 15:57:00,-39.3741,-106.9776,250.7336,15.9228,58.197,3.1845e-14,58.197,2022 APR 17 16:03:00,-42.0565,-109.7678,379.3141,15.8342,57.7686,65.6017,112.9439
2022 APR 19 03:24:00,-54.7638,97.0953,250.2362,16.0236,62.7191,2.7406e-14,62.7191,2022 APR 19 03:24:00,-53.7115,97.0307,379.2388,16.0194,62.3711,2.1278,64.4972
2022 APR 19 07:09:00,-52.4485,41.994,250.1442,15.9994,61.8048,6.58e-14,61.8048,2022 APR 19 07:21:00,-50.0817,41.408,378.2167,16.155,62.5884,2.8022,65.3897
2022 APR 20 14:57:00,-50.4319,-62.4909,250.2236,15.9778,60.8125,3.556e-14,60.8125,2022 APR 20 14:48:00,-49.0013,-60.6467,380.5231,15.9547,60.2186,0.56169,60.2787
2022 APR 20 18:42:00,-48.135,-117.4213,250.539,15.9647,60.0635,5.1383e-14,60.0635,2022 APR 20 18:45:00,-45.4029,-116.9365,378.9465,16.0458,60.2373,1.7758,61.9962
2022 APR 20 22:27:00,-46.0858,-172.4979,251.2414,15.9419,59.313,3.8299e-14,59.313,2022 APR 20 22:39:00,-50.3797,-177.4938,380.9073,15.8036,59.1585,2.4905,61.6378
2022 APR 20 22:27:00,-46.0858,-172.4979,251.2414,15.9419,59.313,3.8299e-14,59.313,2022 APR 20 22:42:00,-41.7182,-173.5262,381.2742,16.1167,60.2864,3.1817,63.4659
2022 APR 22 04:24:00,-39.8087,109.8159,251.8203,15.9067,57.4443,5.3221e-14,57.4443,2022 APR 22 04:12:00,-38.0712,114.12,379.8531,15.9989,58.2299,0.57028,58.3321
2022 APR 22 06:15:00,-43.5062,83.1637,250.8722,15.93,58.4013,9.3069e-15,58.4013,2022 APR 22 06:09:00,-40.7029,84.263,379.1685,15.9058,57.5878,0.70536,58.1526
2022 APR 22 10:00:00,-41.2201,28.154,252.281,15.9117,57.7245,2.7909e-14,57.7245,2022 APR 22 10:06:00,-36.9342,27.7553,379.5531,15.9822,57.8497,0.56835,57.9755
2022 APR 22 13:45:00,-39.4889,-26.754,252.8834,15.9,57.2607,6.273e-14,57.2607,2022 APR 22 14:00:00,-42.4801,-31.6757,381.1706,15.8153,56.9094,3.2185,53.7164
