Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
127	Dayside	2021 FEB 02 22:43:56	2021 FEB 02 23:13:26	2021 FEB 02 23:42:56	3540.0	112.9	-161.5	-81.4	-74.6	0.0	74.5	1.3	11.9	3	CH4 CO 2SUBD #4	Science: orders #189, #134, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&mroOverlap; 	
128	Nightside	2021 FEB 02 23:42:56	2021 FEB 03 00:12:25	2021 FEB 03 00:41:54	3538.4	-81.4	3.6	84.3	74.5	1.4	-74.5	178.6	23.9	1	-	-	-		
128	Dayside	2021 FEB 03 00:41:54	2021 FEB 03 01:11:24	2021 FEB 03 01:40:54	3539.6	84.3	169.5	-110.0	-74.5	0.2	74.5	1.5	11.9	1	-		COP row -1: 		
129	Nightside	2021 FEB 03 01:40:54	2021 FEB 03 02:10:23	2021 FEB 03 02:39:53	3539.9	-110.0	-25.4	55.6	74.5	1.3	-74.5	178.4	23.9	3	-	-	-		
129	Dayside	2021 FEB 03 02:39:53	2021 FEB 03 03:09:22	2021 FEB 03 03:38:51	3537.8	55.6	140.6	-138.7	-74.5	0.2	74.6	1.7	11.9	3	CH4 2SUBD 03	Science: orders #136, #136, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&daysideMatch:AEOLIS MENSAE MFF; &daysideMatch:CURIOSITY; 	
130	Nightside	2021 FEB 03 03:38:51	2021 FEB 03 04:08:21	2021 FEB 03 04:37:51	3539.9	-138.7	-54.3	27.0	74.6	1.2	-74.6	178.2	23.9	1	-	-	-		
130	Dayside	2021 FEB 03 04:37:51	2021 FEB 03 05:07:19	2021 FEB 03 05:36:47	3536.1	27.0	111.6	-167.3	-74.6	0.3	74.6	1.9	11.9	1	-		COP row -1: 		
131	Nightside	2021 FEB 03 05:36:47	2021 FEB 03 06:06:16	2021 FEB 03 06:35:46	3538.3	-167.3	-83.2	-1.7	74.6	1.1	-74.6	178.0	23.9	1	-	-	-		
131	Dayside	2021 FEB 03 06:35:46	2021 FEB 03 07:05:13	2021 FEB 03 07:34:41	3535.5	-1.7	82.7	164.0	-74.6	0.4	74.6	2.1	11.9	1	Nominal 4SUBD 01	Science: orders #168, #134, #121, #190, with 195000us integration time (4 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 		
132	Nightside	2021 FEB 03 07:34:41	2021 FEB 03 08:04:10	2021 FEB 03 08:33:38	3537.0	164.0	-112.2	-30.3	74.6	1.1	-74.6	177.8	23.9	14	-	-	-		
132	Dayside	2021 FEB 03 08:33:38	2021 FEB 03 09:03:06	2021 FEB 03 09:32:34	3536.4	-30.3	53.8	135.4	-74.6	0.5	74.6	2.4	11.9	14	-		COP row -1: 		
133	Nightside	2021 FEB 03 09:32:34	2021 FEB 03 10:02:04	2021 FEB 03 10:31:33	3538.6	135.4	-141.1	-58.9	74.6	1.0	-74.6	177.5	23.8	14	-	-	-		
133	Dayside	2021 FEB 03 10:31:33	2021 FEB 03 11:01:02	2021 FEB 03 11:30:31	3538.0	-58.9	24.9	106.8	-74.6	0.5	74.6	2.6	11.9	14	-		COP row -1: 		
134	Nightside	2021 FEB 03 11:30:31	2021 FEB 03 12:00:01	2021 FEB 03 12:29:31	3539.7	106.8	-170.0	-87.5	74.6	0.9	-74.6	177.3	23.8	47	Night Limb #2	Science: orders #158, #158, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 		
134	Dayside	2021 FEB 03 12:29:31	2021 FEB 03 12:59:00	2021 FEB 03 13:28:30	3539.1	-87.5	-4.1	78.1	-74.6	0.6	74.5	2.8	11.8	47	-		COP row -1: 	&trueNightLimb; 	
