THERMAL ORBIT NUMBER WITH LNO MEASURING H2O IN IRDAYSIDE, OBSERVATION NAME, DIFFRACTION ORDER MEASURED
6, H2O 2SUBD 01, 167
8, HDO H2O 2SUBD 01, 169
10, HDO CO 3SUBD 01, 167
12, H2O 2SUBD 01, 167
16, AER H2Oi 3SUBD 01, 169
20, CH4 3SUBD 01, 168
21, CO 2SUBD 02, 167
23, Nominal 6SUBD 01, 168
25, CO 2SUBD 02, 167
32, HDO H2O 2SUBD 01, 169
35, H2O 2SUBD 01, 167
37, H2O 2SUBD 01, 167
41, HDO H2O 2SUBD 01, 169
44, HDO CO 3SUBD 01, 167
45, AER H2Oi 3SUBD 01, 169
50, CH4 3SUBD 01, 168
51, CO 2SUBD 02, 167
56, Nominal 6SUBD 01, 168
59, CO 2SUBD 02, 167
60, HDO H2O 2SUBD 01, 169
65, H2O 2SUBD 01, 167
66, HDO H2O 2SUBD 01, 169
71, HDO CO 3SUBD 01, 167
73, AER H2Oi 3SUBD 01, 169
82, CH4 3SUBD 01, 168
83, CO 2SUBD 02, 167
84, Nominal 6SUBD 01, 168
94, CO 2SUBD 02, 167
95, HDO H2O 2SUBD 01, 169
98, H2O 2SUBD 01, 167
102, HDO H2O 2SUBD 01, 169
104, HDO CO 3SUBD 01, 167
105, AER H2Oi 3SUBD 01, 169
111, CH4 3SUBD 01, 168
112, CO 2SUBD 02, 167
115, Nominal 6SUBD 01, 168
121, CO 2SUBD 02, 167
122, HDO H2O 2SUBD 01, 169
124, H2O 2SUBD 01, 167
130, H2O 2SUBD 01, 167
133, HDO H2O 2SUBD 01, 169
135, HDO CO 3SUBD 01, 167
136, AER H2Oi 3SUBD 01, 169
147, CH4 3SUBD 01, 168
149, H2O 2SUBD 01, 167
150, CO 2SUBD 02, 167
153, Nominal 6SUBD 01, 168
157, CO 2SUBD 02, 167
161, HDO H2O 2SUBD 01, 169
164, H2O 2SUBD 01, 167
165, HDO H2O 2SUBD 01, 169
168, HDO CO 3SUBD 01, 167
170, AER H2Oi 3SUBD 01, 169
175, CH4 3SUBD 01, 168
177, CO 2SUBD 02, 167
179, Nominal 6SUBD 01, 168
181, CO 2SUBD 02, 167
183, HDO H2O 2SUBD 01, 169
186, H2O 2SUBD 01, 167
187, HDO H2O 2SUBD 01, 169
189, HDO CO 3SUBD 01, 167
191, AER H2Oi 3SUBD 01, 169
195, CH4 3SUBD 01, 168
197, CO 2SUBD 02, 167
199, Nominal 6SUBD 01, 168
203, CO 2SUBD 02, 167
205, HDO H2O 2SUBD 01, 169
209, H2O 2SUBD 01, 167
210, HDO H2O 2SUBD 01, 169
212, HDO CO 3SUBD 01, 167
214, AER H2Oi 3SUBD 01, 169
220, CH4 3SUBD 01, 168
221, CO 2SUBD 02, 167
223, Nominal 6SUBD 01, 168
226, CO 2SUBD 02, 167
227, HDO H2O 2SUBD 01, 169
231, H2O 2SUBD 01, 167
232, HDO H2O 2SUBD 01, 169
234, HDO CO 3SUBD 01, 167
236, AER H2Oi 3SUBD 01, 169
241, CH4 3SUBD 01, 168
245, CO 2SUBD 02, 167
247, Nominal 6SUBD 01, 168
253, CO 2SUBD 02, 167
255, HDO H2O 2SUBD 01, 169
259, H2O 2SUBD 01, 167
260, HDO H2O 2SUBD 01, 169
264, HDO CO 3SUBD 01, 167
266, AER H2Oi 3SUBD 01, 169
271, CH4 3SUBD 01, 168
273, CO 2SUBD 02, 167
274, Nominal 6SUBD 01, 168
277, CO 2SUBD 02, 167
278, HDO H2O 2SUBD 01, 169
282, H2O 2SUBD 01, 167
284, HDO H2O 2SUBD 01, 169
286, HDO CO 3SUBD 01, 167
287, AER H2Oi 3SUBD 01, 169
293, CH4 3SUBD 01, 168
294, CO 2SUBD 02, 167
296, Nominal 6SUBD 01, 168
299, CO 2SUBD 02, 167
301, HDO H2O 2SUBD 01, 169
304, H2O 2SUBD 01, 167
308, HDO H2O 2SUBD 01, 169
309, HDO CO 3SUBD 01, 167
310, AER H2Oi 3SUBD 01, 169
316, CH4 3SUBD 01, 168
320, CO 2SUBD 02, 167
321, Nominal 6SUBD 01, 168
324, CO 2SUBD 02, 167
326, HDO H2O 2SUBD 01, 169
329, H2O 2SUBD 01, 167
331, HDO H2O 2SUBD 01, 169
332, HDO CO 3SUBD 01, 167
334, AER H2Oi 3SUBD 01, 169
339, CH4 3SUBD 01, 168
340, CO 2SUBD 02, 167
