Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	1	65	Ingress	2023 MAR 18 15:12:41	2023 MAR 18 15:16:52	2023 MAR 18 15:17:44	303.00	-103.43	-92.75	-91.05	-65.29	-57.24	-55.33	16.28	3	-	-	-		
N/A	1	65	Egress	2023 MAR 18 15:52:17	2023 MAR 18 15:53:07	2023 MAR 18 15:56:57	280.00	-42.59	-39.91	-23.65	62.76	64.43	70.68	20.39	3	-	-	-		
NOMAD	2	65	Ingress	2023 MAR 18 17:10:37	2023 MAR 18 17:14:49	2023 MAR 18 17:15:42	305.00	-132.17	-121.41	-119.67	-65.29	-57.17	-55.21	16.28	1	6SUBD Nom CO #3	Science: orders #136, #169, #186, #187, #189, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&daysideMatch:TIANWEN1; 	
NOMAD	2	65	Egress	2023 MAR 18 17:50:08	2023 MAR 18 17:50:58	2023 MAR 18 17:54:49	281.00	-71.73	-69.11	-53.02	62.44	64.13	70.50	20.36	1	6SUBD CO2 #21	Science: orders #171, #122, #142, #155, #156, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&daysideMatch:TIANWEN1; 	
ACS	3	65	Ingress	2023 MAR 18 19:08:31	2023 MAR 18 19:12:45	2023 MAR 18 19:13:38	307.00	-160.98	-150.07	-148.33	-65.33	-57.11	-55.15	16.29	14	-	-	-		
ACS	3	65	Egress	2023 MAR 18 19:47:58	2023 MAR 18 19:48:49	2023 MAR 18 19:52:41	283.00	-100.84	-98.20	-82.25	62.14	63.88	70.35	20.33	14	-	-	-		
NOMAD	4	65	Ingress	2023 MAR 18 21:06:23	2023 MAR 18 21:10:39	2023 MAR 18 21:11:32	309.00	170.26	-178.70	-176.96	-65.35	-57.03	-55.06	16.29	1	6SUBD CO2 H2O #14	Science: orders #121, #134, #148, #132, #165, #169, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&egressMatch:PHOENIX; 	
NOMAD	4	65	Egress	2023 MAR 18 21:45:47	2023 MAR 18 21:46:38	2023 MAR 18 21:50:31	284.00	-129.83	-127.22	-111.33	61.91	63.67	70.23	20.31	1	6SUBD CO2 H2O #14	Science: orders #121, #134, #148, #132, #165, #169, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&egressMatch:PHOENIX; 	
ACS	5	65	Ingress	2023 MAR 18 23:04:18	2023 MAR 18 23:08:34	2023 MAR 18 23:09:28	310.00	141.78	152.76	154.53	-65.22	-56.85	-54.83	16.30	3	-	-	-		
ACS	5	65	Egress	2023 MAR 18 23:43:37	2023 MAR 18 23:44:28	2023 MAR 18 23:48:23	286.00	-158.80	-156.21	-140.30	61.69	63.46	70.14	20.28	3	-	-	-		
NOMAD	6	65	Ingress	2023 MAR 19 01:02:16	2023 MAR 19 01:06:33	2023 MAR 19 01:07:27	311.00	113.37	124.30	126.05	-65.05	-56.59	-54.55	16.32	1	CO2 Fullscan Fast #3	Diffraction order stepping (fullscan): 10 orders from 125 to 135 in steps of 1 (6 order(s) per 1 second(s))	COP row -1: 		
NOMAD	6	65	Egress	2023 MAR 19 01:41:28	2023 MAR 19 01:42:19	2023 MAR 19 01:46:15	287.00	172.18	174.73	-169.46	61.44	63.22	70.00	20.26	1	6SUBD Nom CO #7	Science: orders #121, #135, #148, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
N/A	7	65	Ingress	2023 MAR 19 03:00:15	2023 MAR 19 03:04:34	2023 MAR 19 03:05:28	313.00	84.76	95.75	97.48	-64.99	-56.40	-54.36	16.33	7	-	-	-		
N/A	7	65	Egress	2023 MAR 19 03:39:21	2023 MAR 19 03:40:13	2023 MAR 19 03:44:09	288.00	143.14	145.71	161.37	61.17	63.01	69.86	20.24	7	-	-	-		
NOMAD	8	65	Ingress	2023 MAR 19 04:58:15	2023 MAR 19 05:02:35	2023 MAR 19 05:03:29	314.00	56.10	67.13	68.87	-64.94	-56.28	-54.22	16.33	1	CO2 Fullscan Fast #2	Diffraction order stepping (fullscan): 10 orders from 160 to 170 in steps of 1 (6 order(s) per 1 second(s))	COP row -1: 		
N/A	8	65	Egress	2023 MAR 19 05:37:15	2023 MAR 19 05:38:07	2023 MAR 19 05:42:05	290.00	114.13	116.67	132.33	60.93	62.77	69.75	20.21	1	-	-	-		
N/A	9	65	Ingress	2023 MAR 19 06:56:10	2023 MAR 19 07:00:31	2023 MAR 19 07:01:26	316.00	27.31	38.44	40.21	-64.96	-56.24	-54.14	16.34	14	-	-	-	&nomadDeimos; 	
N/A	9	65	Egress	2023 MAR 19 07:35:07	2023 MAR 19 07:35:59	2023 MAR 19 07:39:59	292.00	85.11	87.62	103.23	60.66	62.52	69.63	20.19	14	-	-	-	&nomadDeimos; 	
ACS	10	65	Ingress	2023 MAR 19 08:54:02	2023 MAR 19 08:58:25	2023 MAR 19 08:59:20	318.00	-1.47	9.79	11.57	-64.99	-56.17	-54.06	16.34	14	-	-	-		
N/A	10	65	Egress	2023 MAR 19 09:32:55	2023 MAR 19 09:33:48	2023 MAR 19 09:37:48	293.00	56.06	58.58	74.00	60.36	62.27	69.45	20.17	14	-	-	-		
NOMAD	11	65	Ingress	2023 MAR 19 10:51:55	2023 MAR 19 10:56:19	2023 MAR 19 10:57:15	320.00	-30.08	-18.78	-16.99	-64.94	-56.03	-53.87	16.35	1	129 only #2	Science: orders #129, #129, #129, #129, #129, #129, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
NOMAD	11	65	Egress	2023 MAR 19 11:30:43	2023 MAR 19 11:31:36	2023 MAR 19 11:35:37	294.00	27.06	29.55	44.85	60.08	62.01	69.30	20.14	1	6SUBD Nom CO2 #2	Science: orders #121, #149, #164, #165, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
ACS	12	65	Ingress	2023 MAR 19 12:49:55	2023 MAR 19 12:54:20	2023 MAR 19 12:55:16	321.00	-58.45	-47.23	-45.46	-64.74	-55.74	-53.56	16.37	14	-	-	-		
ACS	12	65	Egress	2023 MAR 19 13:28:36	2023 MAR 19 13:29:29	2023 MAR 19 13:33:32	296.00	-1.88	0.58	15.92	59.87	61.80	69.21	20.12	14	-	-	-		
NOMAD	13	65	Ingress	2023 MAR 19 14:47:56	2023 MAR 19 14:52:22	2023 MAR 19 14:53:18	322.00	-86.91	-75.74	-73.98	-64.58	-55.49	-53.30	16.38	1	CO2 Fullscan Fast #4	Diffraction order stepping (fullscan): 10 orders from 165 to 175 in steps of 1 (6 order(s) per 1 second(s))	COP row -1: 		
NOMAD	13	65	Egress	2023 MAR 19 15:26:31	2023 MAR 19 15:27:25	2023 MAR 19 15:31:29	298.00	-30.89	-28.40	-13.13	59.60	61.59	69.09	20.10	1	6SUBD Nominal #52	Science: orders #121, #134, #169, #129, #148, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
ACS	14	65	Ingress	2023 MAR 19 16:45:54	2023 MAR 19 16:50:22	2023 MAR 19 16:51:18	324.00	-115.57	-104.33	-102.57	-64.54	-55.33	-53.13	16.39	14	-	-	-		
ACS	14	65	Egress	2023 MAR 19 17:24:22	2023 MAR 19 17:25:16	2023 MAR 19 17:29:22	300.00	-59.98	-57.53	-42.37	59.26	61.26	68.91	20.07	14	-	-	-		
N/A	15	65	Ingress	2023 MAR 19 18:43:47	2023 MAR 19 18:48:17	2023 MAR 19 18:49:14	327.00	-144.40	-133.00	-131.21	-64.59	-55.28	-53.04	16.39	3	-	-	-	&mroOverlap; 	
N/A	15	65	Egress	2023 MAR 19 19:22:12	2023 MAR 19 19:23:06	2023 MAR 19 19:27:13	301.00	-89.06	-86.66	-71.71	58.89	60.92	68.68	20.04	3	-	-	-	&mroOverlap; 	
NOMAD	16	65	Ingress	2023 MAR 19 20:41:40	2023 MAR 19 20:46:12	2023 MAR 19 20:47:09	329.00	-173.18	-161.65	-159.85	-64.62	-55.21	-52.95	16.39	1	6SUBD CO2 #12	Science: orders #156, #132, #118, #140, #154, #158, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
NOMAD	16	65	Egress	2023 MAR 19 21:20:00	2023 MAR 19 21:20:55	2023 MAR 19 21:25:03	303.00	-118.07	-115.65	-100.80	58.60	60.67	68.53	20.02	1	6SUBD CO #5	Science: orders #132, #186, #186, #186, #186, #186, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
NOMAD	17	65	Ingress	2023 MAR 19 22:39:33	2023 MAR 19 22:44:06	2023 MAR 19 22:45:04	331.00	158.20	169.76	171.58	-64.57	-55.08	-52.77	16.40	1	6SUBD Nominal #12	Science: orders #121, #134, #127, #129, #169, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
NOMAD	17	65	Egress	2023 MAR 19 23:17:49	2023 MAR 19 23:18:44	2023 MAR 19 23:22:54	305.00	-147.01	-144.63	-129.78	58.34	60.43	68.42	20.00	1	6SUBD Nom CO #7	Science: orders #121, #135, #148, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
ACS	18	65	Ingress	2023 MAR 20 00:37:31	2023 MAR 20 00:42:05	2023 MAR 20 00:43:03	332.00	129.81	141.30	143.10	-64.38	-54.79	-52.47	16.42	14	-	-	-		
ACS	18	65	Egress	2023 MAR 20 01:15:39	2023 MAR 20 01:16:34	2023 MAR 20 01:20:45	306.00	-175.99	-173.64	-158.90	58.06	60.16	68.26	19.98	14	-	-	-		
NOMAD	19	65	Ingress	2023 MAR 20 02:35:30	2023 MAR 20 02:40:06	2023 MAR 20 02:41:04	334.00	101.29	112.79	114.57	-64.26	-54.54	-52.20	16.43	1	6SUBD CO #1	Science: orders #132, #183, #184, #185, #186, #187, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&daysideMatch:MAWRTH VALLIS-ARAM CHAOS; 	
NOMAD	19	65	Egress	2023 MAR 20 03:13:31	2023 MAR 20 03:14:27	2023 MAR 20 03:18:39	308.00	155.00	157.38	172.02	57.75	59.91	68.11	19.96	1	HCL #5	Science: orders #121, #134, #130, #130, #130, #130, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&daysideMatch:MAWRTH VALLIS-ARAM CHAOS; 	
ACS	20	65	Ingress	2023 MAR 20 04:33:30	2023 MAR 20 04:38:07	2023 MAR 20 04:39:06	336.00	72.64	84.17	85.98	-64.20	-54.40	-52.02	16.44	14	-	-	-	&daysideMatch:ARGYRE; 	
N/A	20	65	Egress	2023 MAR 20 05:11:24	2023 MAR 20 05:12:20	2023 MAR 20 05:16:34	310.00	126.01	128.35	142.96	57.46	59.63	67.96	19.94	14	-	-	-	&daysideMatch:ARGYRE; 	
N/A	21	65	Ingress	2023 MAR 20 06:31:27	2023 MAR 20 06:36:06	2023 MAR 20 06:37:05	338.00	43.91	55.54	57.35	-64.20	-54.28	-51.89	16.44	14	-	-	-		
N/A	21	65	Egress	2023 MAR 20 07:09:17	2023 MAR 20 07:10:14	2023 MAR 20 07:14:29	312.00	97.03	99.39	113.91	57.17	59.39	67.82	19.92	14	-	-	-		
NOMAD	22	65	Ingress	2023 MAR 20 08:29:21	2023 MAR 20 08:34:01	2023 MAR 20 08:35:01	340.00	15.13	26.86	28.70	-64.22	-54.24	-51.80	16.44	1	6SUBD Nom CO #1	Science: orders #121, #149, #186, #187, #189, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&daysideMatch:CLARITAS RISE; 	
NOMAD	22	65	Egress	2023 MAR 20 09:07:06	2023 MAR 20 09:08:03	2023 MAR 20 09:12:20	314.00	68.03	70.35	84.79	56.84	59.08	67.65	19.90	1	6SUBD Nominal #1	Science: orders #121, #134, #149, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&daysideMatch:CLARITAS RISE; 	
ACS	23	65	Ingress	2023 MAR 20 10:27:13	2023 MAR 20 10:31:55	2023 MAR 20 10:32:55	342.00	-13.55	-1.73	0.11	-64.21	-54.11	-51.66	16.45	14	-	-	-		
N/A	23	65	Egress	2023 MAR 20 11:04:51	2023 MAR 20 11:05:48	2023 MAR 20 11:10:06	315.00	39.03	41.31	55.57	56.49	58.74	67.42	19.87	14	-	-	-		
