Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	1	46	Ingress	2021 OCT 14 12:16:01	2021 OCT 14 12:21:05	2021 OCT 14 12:22:13	372.00	-1.00	-7.79	-9.48	-1.64	-14.18	-17.19	17.58	3	-	-	-		
N/A	1	46	Egress	2021 OCT 14 12:52:02	2021 OCT 14 12:53:11	2021 OCT 14 12:58:24	382.00	-159.63	-162.82	-173.76	-48.66	-45.93	-33.84	7.77	3	-	-	-		
N/A	2	46	Ingress	2021 OCT 14 14:14:08	2021 OCT 14 14:19:12	2021 OCT 14 14:20:20	372.00	-29.94	-36.75	-38.45	-2.09	-14.65	-17.65	17.57	14	-	-	-		
N/A	2	46	Egress	2021 OCT 14 14:50:06	2021 OCT 14 14:51:15	2021 OCT 14 14:56:29	383.00	171.35	168.19	157.29	-48.42	-45.68	-33.52	7.75	14	-	-	-		
N/A	3	46	Ingress	2021 OCT 14 16:12:13	2021 OCT 14 16:17:18	2021 OCT 14 16:18:26	373.00	-58.87	-65.72	-67.43	-2.54	-15.15	-18.16	17.55	14	-	-	-		
N/A	3	46	Egress	2021 OCT 14 16:48:07	2021 OCT 14 16:49:16	2021 OCT 14 16:54:32	385.00	142.47	139.32	128.39	-48.28	-45.53	-33.26	7.74	14	-	-	-		
N/A	4	46	Ingress	2021 OCT 14 18:10:14	2021 OCT 14 18:15:21	2021 OCT 14 18:16:29	375.00	-87.74	-94.66	-96.38	-2.89	-15.61	-18.63	17.54	3	-	-	-		
N/A	4	46	Egress	2021 OCT 14 18:46:04	2021 OCT 14 18:47:14	2021 OCT 14 18:52:31	387.00	113.62	110.43	99.52	-48.16	-45.36	-33.02	7.73	3	-	-	-		
N/A	5	46	Ingress	2021 OCT 14 20:08:12	2021 OCT 14 20:13:19	2021 OCT 14 20:14:28	376.00	-116.57	-123.51	-125.26	-3.19	-15.92	-18.99	17.53	14	-	-	-		
N/A	5	46	Egress	2021 OCT 14 20:44:00	2021 OCT 14 20:45:10	2021 OCT 14 20:50:28	388.00	84.67	81.51	70.62	-47.94	-45.13	-32.72	7.71	14	-	-	-		
N/A	6	46	Ingress	2021 OCT 14 22:06:10	2021 OCT 14 22:11:18	2021 OCT 14 22:12:27	377.00	-145.41	-152.38	-154.13	-3.50	-16.27	-19.34	17.52	14	-	-	-		
N/A	6	46	Egress	2021 OCT 14 22:41:58	2021 OCT 14 22:43:08	2021 OCT 14 22:48:25	387.00	55.69	52.55	41.77	-47.69	-44.88	-32.49	7.70	14	-	-	-		
N/A	7	46	Ingress	2021 OCT 15 00:04:12	2021 OCT 15 00:09:21	2021 OCT 15 00:10:30	378.00	-174.31	178.68	176.92	-3.91	-16.73	-19.79	17.50	8	-	-	-		
N/A	7	46	Egress	2021 OCT 15 00:39:58	2021 OCT 15 00:41:08	2021 OCT 15 00:46:25	387.00	26.77	23.66	12.92	-47.52	-44.70	-32.28	7.68	8	-	-	-		
N/A	8	46	Ingress	2021 OCT 15 02:02:17	2021 OCT 15 02:07:27	2021 OCT 15 02:08:36	379.00	156.78	149.73	147.96	-4.32	-17.19	-20.26	17.49	14	-	-	-		
N/A	8	46	Egress	2021 OCT 15 02:38:00	2021 OCT 15 02:39:10	2021 OCT 15 02:44:28	388.00	-2.17	-5.27	-15.98	-47.32	-44.49	-32.01	7.67	14	-	-	-		
N/A	9	46	Ingress	2021 OCT 15 04:00:20	2021 OCT 15 04:05:31	2021 OCT 15 04:06:40	380.00	127.90	120.80	119.02	-4.68	-17.60	-20.67	17.48	14	-	-	-		
N/A	9	46	Egress	2021 OCT 15 04:36:01	2021 OCT 15 04:37:11	2021 OCT 15 04:42:30	389.00	-31.14	-34.22	-44.90	-47.08	-44.25	-31.69	7.66	14	-	-	-		
N/A	10	46	Ingress	2021 OCT 15 05:58:20	2021 OCT 15 06:03:32	2021 OCT 15 06:04:42	382.00	99.06	91.92	90.11	-4.96	-17.94	-21.06	17.47	3	-	-	-		
N/A	10	46	Egress	2021 OCT 15 06:34:00	2021 OCT 15 06:35:11	2021 OCT 15 06:40:30	390.00	-60.09	-63.19	-73.81	-46.87	-43.98	-31.40	7.64	3	-	-	-		
N/A	11	46	Ingress	2021 OCT 15 07:56:19	2021 OCT 15 08:01:32	2021 OCT 15 08:02:42	383.00	70.21	63.02	61.20	-5.30	-18.34	-21.46	17.45	14	-	-	-		
N/A	11	46	Egress	2021 OCT 15 08:31:57	2021 OCT 15 08:33:08	2021 OCT 15 08:38:29	392.00	-88.97	-92.05	-102.69	-46.71	-43.81	-31.12	7.63	14	-	-	-		
N/A	12	46	Ingress	2021 OCT 15 09:54:16	2021 OCT 15 09:59:31	2021 OCT 15 10:00:41	385.00	41.36	34.11	32.28	-5.63	-18.76	-21.88	17.44	14	-	-	-		
N/A	12	46	Egress	2021 OCT 15 10:29:52	2021 OCT 15 10:31:03	2021 OCT 15 10:36:24	392.00	-117.84	-120.91	-131.50	-46.54	-43.64	-30.93	7.62	14	-	-	-		
N/A	13	46	Ingress	2021 OCT 15 11:52:20	2021 OCT 15 11:57:34	2021 OCT 15 11:58:44	384.00	12.44	5.19	3.35	-6.09	-19.18	-22.30	17.43	14	-	-	-		
N/A	13	46	Egress	2021 OCT 15 12:27:53	2021 OCT 15 12:29:04	2021 OCT 15 12:34:25	392.00	-146.87	-149.91	-160.42	-46.24	-43.34	-30.60	7.60	14	-	-	-		
N/A	14	46	Ingress	2021 OCT 15 13:50:26	2021 OCT 15 13:55:40	2021 OCT 15 13:56:50	384.00	-16.49	-23.76	-25.61	-6.53	-19.62	-22.73	17.41	3	-	-	-	&mroOverlap; 	
N/A	14	46	Egress	2021 OCT 15 14:25:58	2021 OCT 15 14:27:09	2021 OCT 15 14:32:30	392.00	-175.93	-178.94	170.62	-45.92	-43.00	-30.24	7.58	3	-	-	-	&mroOverlap; 	
N/A	15	46	Ingress	2021 OCT 15 15:48:32	2021 OCT 15 15:53:47	2021 OCT 15 15:54:57	385.00	-45.42	-52.74	-54.60	-6.96	-20.10	-23.22	17.40	14	-	-	-		
N/A	15	46	Egress	2021 OCT 15 16:24:01	2021 OCT 15 16:25:12	2021 OCT 15 16:30:35	394.00	155.11	152.12	141.68	-45.70	-42.77	-29.90	7.56	14	-	-	-		
N/A	16	46	Ingress	2021 OCT 15 17:46:35	2021 OCT 15 17:51:51	2021 OCT 15 17:53:02	387.00	-74.32	-81.69	-83.59	-7.36	-20.55	-23.72	17.38	3	-	-	-	&mroOverlap; 	
N/A	16	46	Egress	2021 OCT 15 18:22:02	2021 OCT 15 18:23:14	2021 OCT 15 18:28:38	396.00	126.22	123.20	112.78	-45.53	-42.55	-29.61	7.55	3	-	-	-	&mroOverlap; 	
N/A	17	46	Ingress	2021 OCT 15 19:44:35	2021 OCT 15 19:49:52	2021 OCT 15 19:51:03	388.00	-103.18	-110.61	-112.52	-7.71	-20.96	-24.13	17.37	14	-	-	-		
N/A	17	46	Egress	2021 OCT 15 20:19:59	2021 OCT 15 20:21:11	2021 OCT 15 20:26:36	397.00	97.32	94.32	83.91	-45.33	-42.35	-29.34	7.54	14	-	-	-		
N/A	18	46	Ingress	2021 OCT 15 21:42:32	2021 OCT 15 21:47:50	2021 OCT 15 21:49:01	389.00	-132.01	-139.48	-141.40	-7.99	-21.29	-24.46	17.36	14	-	-	-		
N/A	18	46	Egress	2021 OCT 15 22:17:56	2021 OCT 15 22:19:08	2021 OCT 15 22:24:33	397.00	68.33	65.36	55.02	-45.05	-42.05	-29.02	7.52	14	-	-	-		
N/A	19	46	Ingress	2021 OCT 15 23:40:34	2021 OCT 15 23:45:52	2021 OCT 15 23:47:03	389.00	-160.91	-168.40	-170.33	-8.41	-21.70	-24.87	17.34	3	-	-	-		
N/A	19	46	Egress	2021 OCT 16 00:15:56	2021 OCT 16 00:17:08	2021 OCT 16 00:22:33	397.00	39.40	36.44	26.17	-44.82	-41.83	-28.78	7.51	3	-	-	-		
N/A	20	46	Ingress	2021 OCT 16 01:38:38	2021 OCT 16 01:43:57	2021 OCT 16 01:45:08	390.00	170.17	162.63	160.69	-8.83	-22.17	-25.33	17.33	14	-	-	-		
N/A	20	46	Egress	2021 OCT 16 02:13:58	2021 OCT 16 02:15:10	2021 OCT 16 02:20:35	397.00	10.46	7.52	-2.70	-44.60	-41.60	-28.53	7.49	14	-	-	-		
N/A	21	46	Ingress	2021 OCT 16 03:36:42	2021 OCT 16 03:42:01	2021 OCT 16 03:43:13	391.00	141.28	133.71	131.73	-9.21	-22.55	-25.76	17.32	14	-	-	-		
N/A	21	46	Egress	2021 OCT 16 04:12:01	2021 OCT 16 04:13:13	2021 OCT 16 04:18:39	398.00	-18.52	-21.43	-31.63	-44.34	-41.33	-28.20	7.48	14	-	-	-		
N/A	22	46	Ingress	2021 OCT 16 05:34:44	2021 OCT 16 05:40:04	2021 OCT 16 05:41:16	392.00	112.42	104.80	102.81	-9.52	-22.92	-26.13	17.30	8	-	-	-		
N/A	22	46	Egress	2021 OCT 16 06:10:02	2021 OCT 16 06:11:15	2021 OCT 16 06:16:41	399.00	-47.49	-50.43	-60.55	-44.07	-41.00	-27.84	7.46	8	-	-	-		
N/A	23	46	Ingress	2021 OCT 16 07:32:44	2021 OCT 16 07:38:06	2021 OCT 16 07:39:18	394.00	83.59	75.89	73.89	-9.81	-23.30	-26.51	17.29	14	-	-	-		
N/A	23	46	Egress	2021 OCT 16 08:08:00	2021 OCT 16 08:09:13	2021 OCT 16 08:14:40	400.00	-76.42	-79.33	-89.44	-43.83	-40.76	-27.53	7.45	14	-	-	-		
N/A	24	46	Ingress	2021 OCT 16 09:30:41	2021 OCT 16 09:36:04	2021 OCT 16 09:37:16	395.00	54.73	46.97	44.96	-10.16	-23.70	-26.92	17.28	14	-	-	-		
N/A	24	46	Egress	2021 OCT 16 10:05:56	2021 OCT 16 10:07:09	2021 OCT 16 10:12:36	400.00	-105.28	-108.18	-118.25	-43.66	-40.59	-27.34	7.44	14	-	-	-		
N/A	25	46	Ingress	2021 OCT 16 11:28:42	2021 OCT 16 11:34:05	2021 OCT 16 11:35:17	395.00	25.84	18.06	16.03	-10.56	-24.09	-27.31	17.26	7	-	-	-		
N/A	25	46	Egress	2021 OCT 16 12:03:55	2021 OCT 16 12:05:08	2021 OCT 16 12:10:35	400.00	-134.25	-137.13	-147.13	-43.38	-40.30	-27.04	7.42	7	-	-	-		
N/A	26	46	Ingress	2021 OCT 16 13:26:46	2021 OCT 16 13:32:09	2021 OCT 16 13:33:21	395.00	-3.07	-10.88	-12.92	-10.96	-24.49	-27.70	17.25	14	-	-	-	&possibleOCM; 	
N/A	26	46	Egress	2021 OCT 16 14:02:00	2021 OCT 16 14:03:13	2021 OCT 16 14:08:40	400.00	-163.33	-166.18	-176.10	-42.99	-39.91	-26.62	7.40	14	-	-	-	&possibleOCM; 	
N/A	27	46	Ingress	2021 OCT 16 15:24:53	2021 OCT 16 15:30:16	2021 OCT 16 15:31:28	395.00	-32.01	-39.85	-41.90	-11.40	-24.93	-28.14	17.23	14	-	-	-		
N/A	27	46	Egress	2021 OCT 16 16:00:04	2021 OCT 16 16:01:17	2021 OCT 16 16:06:45	401.00	167.65	164.83	154.95	-42.68	-39.58	-26.24	7.38	14	-	-	-		
N/A	28	46	Ingress	2021 OCT 16 17:22:58	2021 OCT 16 17:28:21	2021 OCT 16 17:29:34	396.00	-60.95	-68.82	-70.92	-11.85	-25.39	-28.64	17.22	14	-	-	-		
N/A	28	46	Egress	2021 OCT 16 17:58:06	2021 OCT 16 17:59:19	2021 OCT 16 18:04:49	403.00	138.74	135.94	126.04	-42.47	-39.36	-25.91	7.37	14	-	-	-		
N/A	29	46	Ingress	2021 OCT 16 19:21:00	2021 OCT 16 19:26:24	2021 OCT 16 19:27:37	397.00	-89.84	-97.78	-99.90	-12.25	-25.84	-29.09	17.20	14	-	-	-		
N/A	29	46	Egress	2021 OCT 16 19:56:05	2021 OCT 16 19:57:19	2021 OCT 16 20:02:49	404.00	109.86	107.03	97.17	-42.27	-39.12	-25.63	7.36	14	-	-	-		
