Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	46	Nightside	2021 OCT 14 12:07:49	2021 OCT 14 12:37:04	2021 OCT 14 13:06:19	3510.59	9.06	44.28	174.73	16.68	-67.75	-16.50	128.83	21.31	3	-	-	-		
1	46	Dayside	2021 OCT 14 13:06:19	2021 OCT 14 13:36:06	2021 OCT 14 14:05:53	3573.56	174.73	-149.09	-19.84	-16.50	68.24	16.34	51.22	9.38	3	Surface Ice 4SUBD 02	Science: orders #199, #189, #188, #187, with 195000us integration time (4 orders per 15 second(s) for detector lines 80 to 224)	COP row 85: NADIR: Horizontal Bin (57:245;0:1047), Tint = 7000 ms,20 bit,Rhythm = 12409 ms, Binning=3		
2	46	Nightside	2021 OCT 14 14:05:53	2021 OCT 14 14:35:08	2021 OCT 14 15:04:23	3510.63	-19.84	15.87	145.84	16.34	-67.99	-16.16	128.76	21.33	14	-	-	-		
2	46	Dayside	2021 OCT 14 15:04:23	2021 OCT 14 15:34:10	2021 OCT 14 16:03:56	3572.48	145.84	-177.44	-48.72	-16.16	68.52	16.01	51.31	9.40	14	-		COP row -1: UVIS off		
3	46	Nightside	2021 OCT 14 16:03:56	2021 OCT 14 16:33:11	2021 OCT 14 17:02:27	3510.67	-48.72	-12.62	116.97	16.01	-68.26	-15.84	128.64	21.35	14	-	-	-		
3	46	Dayside	2021 OCT 14 17:02:27	2021 OCT 14 17:32:12	2021 OCT 14 18:01:57	3570.00	116.97	154.12	-77.58	-15.84	68.79	15.70	51.42	9.42	14	-		COP row -1: UVIS off		
4	46	Nightside	2021 OCT 14 18:01:57	2021 OCT 14 18:31:11	2021 OCT 14 19:00:26	3509.74	-77.58	-41.11	88.12	15.70	-68.54	-15.55	128.51	21.37	3	-	-	-		
4	46	Dayside	2021 OCT 14 19:00:26	2021 OCT 14 19:30:11	2021 OCT 14 19:59:55	3568.74	88.12	125.65	-106.43	-15.55	69.04	15.40	51.53	9.44	3	Ice CO 2SUBD #2	Science: orders #193, #189, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 85: NADIR: Horizontal Bin (57:245;0:1047), Tint = 7000 ms,20 bit,Rhythm = 12409 ms, Binning=3		
5	46	Nightside	2021 OCT 14 19:59:55	2021 OCT 14 20:29:09	2021 OCT 14 20:58:23	3507.92	-106.43	-69.46	59.27	15.40	-68.80	-15.24	128.43	21.39	14	-	-	-		
5	46	Dayside	2021 OCT 14 20:58:23	2021 OCT 14 21:28:08	2021 OCT 14 21:57:54	3570.66	59.27	97.33	-135.29	-15.24	69.28	15.08	51.60	9.46	14	-		COP row 89: NADIR: Horizontal Bin (57:245;0:1047), Tint = 10000 ms,20 bit,Rhythm = 15364 ms, Binning=3		
6	46	Nightside	2021 OCT 14 21:57:54	2021 OCT 14 22:27:08	2021 OCT 14 22:56:22	3508.75	-135.29	-97.63	30.40	15.08	-69.03	-14.90	128.41	21.42	14	-	-	-		
6	46	Dayside	2021 OCT 14 22:56:22	2021 OCT 14 23:26:09	2021 OCT 14 23:55:55	3572.61	30.40	69.17	-164.17	-14.90	69.48	14.72	51.61	9.50	14	-		COP row -1: UVIS off		
7	46	Nightside	2021 OCT 14 23:55:55	2021 OCT 15 00:25:11	2021 OCT 15 00:54:26	3511.09	-164.17	-125.80	1.51	14.72	-69.28	-14.55	128.38	21.46	8	-	-	-		
7	46	Dayside	2021 OCT 15 00:54:26	2021 OCT 15 01:24:12	2021 OCT 15 01:53:59	3572.51	1.51	40.97	166.93	-14.55	69.70	14.35	51.64	9.54	8	Limb 2SUBD 07	Science: orders #164, #164, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 95: NADIR: Horizontal Bin (57:245;0:1047), Tint = 20000 ms,20 bit,Rhythm = 22017 ms, Binning=3		
8	46	Nightside	2021 OCT 15 01:53:59	2021 OCT 15 02:23:14	2021 OCT 15 02:52:30	3511.65	166.93	-154.02	-27.39	14.35	-69.55	-14.19	128.31	21.50	14	-	-	-		
8	46	Dayside	2021 OCT 15 02:52:30	2021 OCT 15 03:22:16	2021 OCT 15 03:52:03	3572.37	-27.39	12.68	138.04	-14.19	69.95	14.00	51.72	9.57	14	-		COP row 89: NADIR: Horizontal Bin (57:245;0:1047), Tint = 10000 ms,20 bit,Rhythm = 15364 ms, Binning=3		
