MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2020 FEB 23 04:32:45,2020 FEB 23 04:37:45,7,7
2020 FEB 23 08:31:30,2020 FEB 23 08:36:30,9,9
2020 FEB 24 06:03:17,2020 FEB 24 06:08:17,20,20
2020 FEB 24 18:03:18,2020 FEB 24 18:03:32,26,26
2020 FEB 24 21:59:30,2020 FEB 24 22:04:30,28,28
2020 FEB 25 11:32:55,2020 FEB 25 11:37:55,35,35
2020 FEB 25 15:24:47,2020 FEB 25 15:29:47,37,37
2020 FEB 25 23:27:32,2020 FEB 25 23:32:32,41,41
2020 FEB 26 07:19:40,2020 FEB 26 07:24:40,45,45
2020 FEB 26 11:08:00,2020 FEB 26 11:13:00,47,47
2020 FEB 26 15:01:16,2020 FEB 26 15:06:16,49,49
2020 FEB 27 00:54:40,2020 FEB 27 00:59:40,54,54
2020 FEB 27 06:54:38,2020 FEB 27 06:58:44,57,57
2020 FEB 27 12:20:59,2020 FEB 27 12:25:59,60,60
2020 FEB 28 10:15:49,2020 FEB 28 10:20:49,71,71
2020 FEB 29 00:12:01,2020 FEB 29 00:17:01,78,78
2020 FEB 29 04:03:43,2020 FEB 29 04:08:43,80,80
2020 FEB 29 06:06:11,2020 FEB 29 06:11:11,81,81
2020 FEB 29 08:04:30,2020 FEB 29 08:09:30,82,82
2020 FEB 29 19:39:24,2020 FEB 29 19:44:24,88,88
2020 MAR 01 07:26:07,2020 MAR 01 07:31:07,94,94
2020 MAR 01 13:20:58,2020 MAR 01 13:25:58,97,97
2020 MAR 01 17:20:45,2020 MAR 01 17:25:45,99,99
2020 MAR 01 19:18:50,2020 MAR 01 19:23:02,100,100
2020 MAR 01 23:03:31,2020 MAR 01 23:08:31,102,102
2020 MAR 02 01:18:46,2020 MAR 02 01:23:46,103,103
2020 MAR 02 14:52:36,2020 MAR 02 14:57:36,110,110
2020 MAR 04 08:09:51,2020 MAR 04 08:14:51,131,131
2020 MAR 04 20:03:21,2020 MAR 04 20:08:21,137,137
2020 MAR 05 13:39:24,2020 MAR 05 13:44:24,146,146
2020 MAR 07 11:00:28,2020 MAR 07 11:05:28,169,169
2020 MAR 07 16:41:08,2020 MAR 07 16:46:08,172,172
2020 MAR 07 18:44:28,2020 MAR 07 18:49:28,173,173
2020 MAR 08 16:20:21,2020 MAR 08 16:25:21,184,184
2020 MAR 08 22:20:20,2020 MAR 08 22:25:20,187,187
2020 MAR 09 09:55:58,2020 MAR 09 10:00:58,193,193
2020 MAR 09 13:50:50,2020 MAR 09 13:53:06,195,195
2020 MAR 09 17:44:01,2020 MAR 09 17:48:50,197,197
2020 MAR 09 21:42:34,2020 MAR 09 21:47:34,199,199
2020 MAR 11 01:31:18,2020 MAR 11 01:31:48,213,213
2020 MAR 11 17:04:35,2020 MAR 11 17:09:35,221,221
2020 MAR 12 10:44:45,2020 MAR 12 10:49:45,230,230
2020 MAR 12 12:49:09,2020 MAR 12 12:51:16,231,231
2020 MAR 12 18:34:48,2020 MAR 12 18:39:48,234,234
2020 MAR 12 20:34:14,2020 MAR 12 20:39:14,235,235
2020 MAR 14 00:13:39,2020 MAR 14 00:18:39,249,249
2020 MAR 14 21:34:18,2020 MAR 14 21:39:18,260,260
2020 MAR 15 13:29:25,2020 MAR 15 13:34:25,268,268
2020 MAR 15 15:17:17,2020 MAR 15 15:22:17,269,269
2020 MAR 15 19:13:22,2020 MAR 15 19:18:22,271,271
2020 MAR 16 03:12:34,2020 MAR 16 03:17:34,275,275
2020 MAR 16 05:13:37,2020 MAR 16 05:18:37,276,276
2020 MAR 16 12:52:00,2020 MAR 16 12:57:00,280,280
2020 MAR 16 16:49:25,2020 MAR 16 16:54:25,282,282
2020 MAR 17 00:42:24,2020 MAR 17 00:46:49,286,286
2020 MAR 17 02:38:57,2020 MAR 17 02:43:57,287,287
2020 MAR 17 12:30:29,2020 MAR 17 12:35:29,292,292
2020 MAR 18 00:15:53,2020 MAR 18 00:20:53,298,298
2020 MAR 18 08:02:58,2020 MAR 18 08:07:58,302,302
2020 MAR 19 01:44:36,2020 MAR 19 01:49:36,311,311
2020 MAR 19 05:37:32,2020 MAR 19 05:42:32,313,313
2020 MAR 20 05:14:28,2020 MAR 20 05:19:28,325,325
2020 MAR 20 17:02:56,2020 MAR 20 17:04:24,331,331
2020 MAR 20 19:12:02,2020 MAR 20 19:17:02,332,332
2020 MAR 21 00:59:57,2020 MAR 21 01:04:57,335,335
