MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2023 JUN 11 08:18:24,2023 JUN 11 08:20:57,9,9
2023 JUN 12 17:42:02,2023 JUN 12 17:47:02,26,26
2023 JUN 13 03:32:02,2023 JUN 13 03:37:02,31,31
2023 JUN 13 11:27:27,2023 JUN 13 11:32:27,35,35
2023 JUN 13 15:23:10,2023 JUN 13 15:24:04,37,37
2023 JUN 15 10:29:01,2023 JUN 15 10:34:01,59,59
2023 JUN 16 12:15:15,2023 JUN 16 12:16:25,72,72
2023 JUN 16 18:01:40,2023 JUN 16 18:06:40,75,75
2023 JUN 17 19:42:44,2023 JUN 17 19:43:06,88,88
2023 JUN 19 16:45:47,2023 JUN 19 16:48:59,111,111
2023 JUN 21 17:51:23,2023 JUN 21 17:56:23,136,136
2023 JUN 22 01:45:57,2023 JUN 22 01:50:57,140,140
2023 JUN 22 15:26:40,2023 JUN 22 15:31:18,147,147
2023 JUN 22 23:35:26,2023 JUN 22 23:35:36,151,151
2023 JUN 24 18:40:04,2023 JUN 24 18:42:17,173,173
2023 JUN 26 02:15:39,2023 JUN 26 02:20:39,189,189
2023 JUN 26 09:52:29,2023 JUN 26 09:57:29,193,193
2023 JUN 26 23:44:17,2023 JUN 26 23:49:17,200,200
2023 JUN 27 07:38:04,2023 JUN 27 07:43:04,204,204
2023 JUN 27 21:22:51,2023 JUN 27 21:27:51,211,211
2023 JUN 28 07:05:49,2023 JUN 28 07:10:49,216,216
2023 JUN 28 09:06:28,2023 JUN 28 09:11:28,217,217
2023 JUN 29 12:42:43,2023 JUN 29 12:47:43,231,231
2023 JUN 29 22:25:13,2023 JUN 29 22:30:13,236,236
2023 JUL 03 22:45:27,2023 JUL 03 22:50:27,285,285
2023 JUL 04 10:31:24,2023 JUL 04 10:36:24,291,291
2023 JUL 04 22:20:36,2023 JUL 04 22:25:36,297,297
2023 JUL 07 03:25:46,2023 JUL 07 03:30:46,324,324
2023 JUL 07 09:20:05,2023 JUL 07 09:25:05,327,327
