Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Ingress solar occultation observation number,Merged Occultation (YES = 1; NO = 0),Thermal orbit/nightside number,ESA orbit number,LNO+UVIS operating (YES = 1; NO = 0),UVIS alone operating (YES = 1; NO = 0),LNO alone operating (YES = 1; NO = 0),SO+UVIS operating (YES = 1; NO = 0),SO alone operating (YES = 1; NO = 0),TC20 execution start time (UTC),TC20 execution end time (UTC),SO start time (UTC),SO end time (UTC),UVIS start time (UTC),UVIS end time (UTC),Limb Height 250 km (UTC),Latitude probed @ limb height 250 km (deg),Longitude probed @ limb height 250 km (deg),Limb Height 0 km (UTC),Latitude probed @ limb height 0 km (deg),Longitude probed @ limb height 0 km (deg),Limb Height 50 km: switch SCI1 to SCI2 (UTC),Beta angle (deg),Eclipse duration (Umbra end - Umbra start) (s),Local Solar Time (LST): TGO2SUN vector surface intercept point @ limb height 0 km (h),Solar longitude Ls (deg),SO+SINBAD data volume (Mbit),UVIS+SINBAD data volume (Mbit),SO+UVIS+SINBAD data volume (Mbit),TC20 SO_START_TIME,TC20 SO_START_SCIENCE_1,TC20 SO_START_SCIENCE_2,TC20 SO_DURATION_REFERENCE_1,TC20 SO_DURATION_REFERENCE_2,TC20 SO_DURATION_TIME,TC20 SO_COP_GENERAL,TC20 SO_COP_PRECOOLING,TC20 SO_COP_SCIENCE_1,TC20 SO_COP_SCIENCE_2,TC20 LNO_START_TIME,TC20 LNO_START_SCIENCE_1,TC20 LNO_START_SCIENCE_2,TC20 LNO_DURATION_REFERENCE_1,TC20 LNO_DURATION_REFERENCE_2,TC20 LNO_DURATION_TIME,TC20 LNO_COP_GENERAL,TC20 LNO_COP_PRECOOLING,TC20 LNO_COP_SCIENCE_1,TC20 LNO_COP_SCIENCE_2,TC20 UVIS_START_TIME,TC20 UVIS_DURATION_TIME,TC20 UVIS_COP_ROW,TC20 CHECKSUM,TC20 (HEX)
5,5,1,1,19,2188,0,0,0,1,0,2018 MAY 21 03:43:14,2018 MAY 21 04:28:31,2018 MAY 21 03:43:24,2018 MAY 21 04:28:31,2018 MAY 21 03:53:24,2018 MAY 21 04:28:31,2018 MAY 21 03:53:54,88.8794,-163.7547,2018 MAY 21 04:07:13,46.3775,-151.591,2018 MAY 21 04:03:16,62.5725,364,5.8186,179.1936,200.9003,89.2121,288.9671,10,640,1439,30,30,2707,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,2107,327,1259,1400002C000A0280059F1E1E0A93000109D009D0000000000000000000000000000000000262083B014704EB
5,5,2,1,22,2191,0,0,0,1,0,2018 MAY 21 09:36:52,2018 MAY 21 10:22:55,2018 MAY 21 09:37:02,2018 MAY 21 10:22:55,2018 MAY 21 09:47:02,2018 MAY 21 10:22:55,2018 MAY 21 09:47:32,89.1156,109.2391,2018 MAY 21 09:59:12,52.2693,124.4767,2018 MAY 21 09:56:13,61.8903,616,5.9328,179.331,205.2538,91.1597,295.2432,10,640,1340,30,30,2753,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,2153,327,1252,1400002C000A0280053C1E1E0AC1000109D009D00000000000000000000000000000000002620869014704E4
1,1,3,0,27,2196,0,0,0,1,0,2018 MAY 21 19:25:58,2018 MAY 21 19:47:21,2018 MAY 21 19:26:08,2018 MAY 21 19:47:21,2018 MAY 21 19:36:08,2018 MAY 21 19:47:21,2018 MAY 21 19:36:38,89.806,-93.542,2018 MAY 21 19:46:51,58.0954,-19.0959,2018 MAY 21 19:44:30,60.6675,867,5.8939,179.5605,65.1834,28.4954,93.3167,10,640,1112,30,30,1273,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,673,327,1379,1400002C000A028004581E1E04F9000109D009D000000000000000000000000000000000026202A101470563
1,1,4,0,28,2197,0,0,0,1,0,2018 MAY 21 21:23:47,2018 MAY 21 21:44:57,2018 MAY 21 21:23:57,2018 MAY 21 21:44:57,2018 MAY 21 21:33:57,2018 MAY 21 21:44:57,2018 MAY 21 21:34:27,89.7745,-174.6482,2018 MAY 21 21:44:27,59.047,-46.7922,2018 MAY 21 21:42:12,60.4509,909,5.955,179.6065,63.9531,27.9449,91.543,10,640,1105,30,30,1260,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,660,327,1346,1400002C000A028004511E1E04EC000109D009D0000000000000000000000000000000000262029401470542
1,1,5,0,29,2198,0,0,0,1,0,2018 MAY 21 23:21:35,2018 MAY 21 23:42:34,2018 MAY 21 23:21:45,2018 MAY 21 23:42:34,2018 MAY 21 23:31:45,2018 MAY 21 23:42:34,2018 MAY 21 23:32:15,89.6857,136.2484,2018 MAY 21 23:42:04,59.8088,-76.5799,2018 MAY 21 23:39:52,60.2368,947,5.8769,179.6525,62.912,27.4792,90.0422,10,640,1097,30,30,1249,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,649,327,1316,1400002C000A028004491E1E04E1000109D009D0000000000000000000000000000000000262028901470524
1,1,6,0,31,2200,0,0,0,1,0,2018 MAY 22 03:17:13,2018 MAY 22 03:37:46,2018 MAY 22 03:17:23,2018 MAY 22 03:37:46,2018 MAY 22 03:27:23,2018 MAY 22 03:37:46,2018 MAY 22 03:27:53,89.4981,63.0678,2018 MAY 22 03:37:16,61.5323,-133.6749,2018 MAY 22 03:35:13,59.7238,1020,5.8861,179.7444,60.4513,26.3783,86.4949,10,640,1080,30,30,1223,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,623,327,1247,1400002C000A028004381E1E04C7000109D009D0000000000000000000000000000000000262026F014704DF
1,1,7,0,32,2201,0,0,0,1,0,2018 MAY 22 05:15:02,2018 MAY 22 05:35:23,2018 MAY 22 05:15:12,2018 MAY 22 05:35:23,2018 MAY 22 05:25:12,2018 MAY 22 05:35:23,2018 MAY 22 05:25:42,89.2017,28.192,2018 MAY 22 05:34:53,62.5431,-161.7258,2018 MAY 22 05:32:55,59.4533,1059,5.9239,179.7904,59.3156,25.8702,84.8576,10,640,1073,30,30,1211,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,611,327,1216,1400002C000A028004311E1E04BB000109D009D00000000000000000000000000000000002620263014704C0
1,1,8,0,35,2204,0,0,0,1,0,2018 MAY 22 11:08:39,2018 MAY 22 11:28:32,2018 MAY 22 11:08:49,2018 MAY 22 11:28:32,2018 MAY 22 11:18:49,2018 MAY 22 11:28:32,2018 MAY 22 11:19:19,89.0744,-62.4493,2018 MAY 22 11:28:02,64.3126,111.7756,2018 MAY 22 11:26:12,58.7731,1151,5.8858,179.9285,56.6656,24.6847,81.0374,10,640,1053,30,30,1183,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,583,327,1140,1400002C000A0280041D1E1E049F000109D009D0000000000000000000000000000000000262024701470474
1,1,9,0,39,2208,0,0,0,1,0,2018 MAY 22 18:59:58,2018 MAY 22 19:19:18,2018 MAY 22 19:00:08,2018 MAY 22 19:19:18,2018 MAY 22 19:10:08,2018 MAY 22 19:19:18,2018 MAY 22 19:10:38,88.5064,179.0841,2018 MAY 22 19:18:48,66.8518,-2.6146,2018 MAY 22 19:17:08,57.7345,1257,5.8964,180.1128,53.5425,23.2874,76.535,10,640,1030,30,30,1150,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,550,327,1051,1400002C000A028004061E1E047E000109D009D000000000000000000000000000000000026202260147041B
1,1,10,0,43,2212,0,0,0,1,0,2018 MAY 23 02:51:17,2018 MAY 23 03:10:11,2018 MAY 23 02:51:27,2018 MAY 23 03:10:11,2018 MAY 23 03:01:27,2018 MAY 23 03:10:11,2018 MAY 23 03:01:57,88.1311,62.3349,2018 MAY 23 03:09:41,68.7849,-117.848,2018 MAY 23 03:08:08,56.7794,1348,5.8525,180.2971,51.0818,22.1866,72.9876,10,640,1011,30,30,1124,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,524,327,1235,1400002C000A028003F31E1E0464000109D009D0000000000000000000000000000000000262020C014704D3
1,1,11,0,47,2216,0,0,0,1,0,2018 MAY 23 10:42:45,2018 MAY 23 11:01:14,2018 MAY 23 10:42:55,2018 MAY 23 11:01:14,2018 MAY 23 10:52:55,2018 MAY 23 11:01:14,2018 MAY 23 10:53:25,87.7095,-53.6554,2018 MAY 23 11:00:44,70.7199,128.985,2018 MAY 23 10:59:18,55.7737,1438,5.9492,180.4817,48.7157,21.1281,69.5767,10,640,993,30,30,1099,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,499,327,1422,1400002C000A028003E11E1E044B000109D009D000000000000000000000000000000000026201F30147058E
1,1,12,0,52,2221,0,0,0,1,0,2018 MAY 23 20:31:55,2018 MAY 23 20:50:00,2018 MAY 23 20:32:05,2018 MAY 23 20:50:00,2018 MAY 23 20:42:05,2018 MAY 23 20:50:00,2018 MAY 23 20:42:35,87.1014,162.1073,2018 MAY 23 20:49:30,72.8212,-14.7739,2018 MAY 23 20:48:10,54.4918,1527,5.9158,180.7125,46.4443,20.1119,66.3022,10,640,975,30,30,1075,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,475,327,1356,1400002C000A028003CF1E1E0433000109D009D000000000000000000000000000000000026201DB0147054C
1,1,13,0,55,2224,0,0,0,1,0,2018 MAY 24 02:25:24,2018 MAY 24 02:43:15,2018 MAY 24 02:25:34,2018 MAY 24 02:43:15,2018 MAY 24 02:35:34,2018 MAY 24 02:43:15,2018 MAY 24 02:36:04,86.9288,75.3207,2018 MAY 24 02:42:45,73.8473,-98.9665,2018 MAY 24 02:41:29,53.7739,1577,6.0331,180.851,45.1193,19.5191,64.3921,10,640,965,30,30,1061,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,461,327,1318,1400002C000A028003C51E1E0425000109D009D000000000000000000000000000000000026201CD01470526
1,1,14,0,56,2225,0,0,0,1,0,2018 MAY 24 04:23:12,2018 MAY 24 04:41:00,2018 MAY 24 04:23:22,2018 MAY 24 04:41:00,2018 MAY 24 04:33:22,2018 MAY 24 04:41:00,2018 MAY 24 04:33:52,86.6763,46.8359,2018 MAY 24 04:40:30,74.2939,-130.9107,2018 MAY 24 04:39:14,53.4928,1594,5.8136,180.8972,44.8354,19.3921,63.9828,10,640,962,30,30,1058,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,458,327,1309,1400002C000A028003C21E1E0422000109D009D000000000000000000000000000000000026201CA0147051D
1,1,15,0,59,2228,0,0,0,1,0,2018 MAY 24 10:16:51,2018 MAY 24 10:34:26,2018 MAY 24 10:17:01,2018 MAY 24 10:34:26,2018 MAY 24 10:27:01,2018 MAY 24 10:34:26,2018 MAY 24 10:27:31,86.4461,-39.7489,2018 MAY 24 10:33:56,75.3314,143.6346,2018 MAY 24 10:32:43,52.7238,1643,5.8497,181.0359,43.605,18.8417,62.2091,10,640,952,30,30,1045,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,445,327,1273,1400002C000A028003B81E1E0415000109D009D000000000000000000000000000000000026201BD014704F9
1,1,16,0,62,2231,0,0,0,1,0,2018 MAY 24 16:10:16,2018 MAY 24 16:27:39,2018 MAY 24 16:10:26,2018 MAY 24 16:27:39,2018 MAY 24 16:20:26,2018 MAY 24 16:27:39,2018 MAY 24 16:20:56,86.0826,-125.9482,2018 MAY 24 16:27:09,76.4485,61.2277,2018 MAY 24 16:25:59,51.9579,1685,6.0856,181.1746,42.4693,18.3336,60.5719,10,640,943,30,30,1033,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,433,327,1240,1400002C000A028003AF1E1E0409000109D009D000000000000000000000000000000000026201B1014704D8
1,1,17,0,64,2233,0,0,0,1,0,2018 MAY 24 20:06:03,2018 MAY 24 20:23:20,2018 MAY 24 20:06:13,2018 MAY 24 20:23:20,2018 MAY 24 20:16:13,2018 MAY 24 20:23:20,2018 MAY 24 20:16:43,85.9552,176.3475,2018 MAY 24 20:22:50,76.973,0.56766,2018 MAY 24 20:21:41,51.4274,1712,5.8647,181.2672,41.9015,18.0795,59.7533,10,640,938,30,30,1027,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,427,327,1223,1400002C000A028003AA1E1E0403000109D009D000000000000000000000000000000000026201AB014704C7
