Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Dayside nadir observation number,Thermal orbit/dayside number,ESA orbit number,LNO+UVIS operating (YES = 1; NO = 0),UVIS alone operating (YES = 1; NO = 0),LNO alone operating (YES = 1; NO = 0),SO+UVIS operating (YES = 1; NO = 0),SO alone operating (YES = 1; NO = 0),TC20 execution start time (UTC),TC20 execution end time (UTC),LNO start time (UTC),LNO end time (UTC),UVIS start time (UTC),UVIS end time (UTC),SubSC latitude (deg) @ TC20 execution start time (UTC),SubSC longitude (deg) @ TC20 execution start time (UTC),SubSC LST @ TC20 execution start time (h),SubSC phase angle (deg) @ TC20 execution start time (UTC),SubSC solar incidence angle (deg) @ TC20 execution start time (UTC),SubSC emission angle (deg) @ TC20 execution start time (UTC),SubSC latitude (deg) @ TC20 execution end time (UTC),SubSC longitude (deg) @ TC20 execution end time (UTC),SubSC LST @ TC20 execution end time (h),SubSC phase angle (deg) @ TC20 execution end time (UTC),SubSC solar incidence angle (deg) @ TC20 execution end time (UTC),SubSC emission angle (deg) @ TC20 execution end time (UTC),Beta angle (deg),Solar longitude Ls (deg),LNO+SINBAD data volume (Mbit),UVIS+SINBAD data volume (Mbit),LNO+UVIS+SINBAD data volume (Mbit),TC20 SO_START_TIME,TC20 SO_START_SCIENCE_1,TC20 SO_START_SCIENCE_2,TC20 SO_DURATION_REFERENCE_1,TC20 SO_DURATION_REFERENCE_2,TC20 SO_DURATION_TIME,TC20 SO_COP_GENERAL,TC20 SO_COP_PRECOOLING,TC20 SO_COP_SCIENCE_1,TC20 SO_COP_SCIENCE_2,TC20 LNO_START_TIME,TC20 LNO_START_SCIENCE_1,TC20 LNO_START_SCIENCE_2,TC20 LNO_DURATION_REFERENCE_1,TC20 LNO_DURATION_REFERENCE_2,TC20 LNO_DURATION_TIME,TC20 LNO_COP_GENERAL,TC20 LNO_COP_PRECOOLING,TC20 LNO_COP_SCIENCE_1,TC20 LNO_COP_SCIENCE_2,TC20 UVIS_START_TIME,TC20 UVIS_DURATION_TIME,TC20 UVIS_COP_ROW,TC20 CHECKSUM,TC20 (HEX)
3,3,1,1,2170,1,0,0,0,0,2018 MAY 19 17:03:54,2018 MAY 19 18:16:31,2018 MAY 19 17:04:04,2018 MAY 19 18:16:19,2018 MAY 19 17:04:04,2018 MAY 19 18:16:30,-11.8698,-11.0271,5.0706,103.7807,103.7807,2.8135e-14,52.0981,169.9049,18.3106,92.2991,92.2991,7.1119e-15,66.6345,178.3733,25.8748,437.5841,461.0969,0,0,0,0,0,0,0,0,0,0,10,640,2485,30,30,4335,1,1,1844,1844,10,4346,104,1209,1400002C00000000000000000000000000000000000A028009B51E1E10EF010107340734000A10FA006804B9
4,4,2,2,2171,0,1,0,0,0,2018 MAY 19 19:11:58,2018 MAY 19 19:45:49,N/A,N/A,2018 MAY 19 19:12:08,2018 MAY 19 19:45:48,-41.442,-30.9406,5.8206,92.4582,92.4582,2.1097e-14,-30.2642,115.6712,16.1436,66.6536,66.6536,2.7909e-14,66.4094,178.4232,N/A,203.3925,203.3925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2020,104,413,1400002C0000000000000000000000000000000000000000000000000000000000000000000A07E40068019D
4,4,3,2,2171,0,1,0,0,0,2018 MAY 19 19:45:54,2018 MAY 19 20:06:24,N/A,N/A,2018 MAY 19 19:46:04,2018 MAY 19 20:06:23,-30.0219,115.748,16.15,66.6688,66.6688,2.1097e-14,29.7758,130.282,17.4517,82.5522,82.5522,5.6895e-14,66.3232,178.4364,N/A,122.7425,122.7425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1219,104,377,1400002C0000000000000000000000000000000000000000000000000000000000000000000A04C300680179
4,4,4,2,2172,0,1,0,0,0,2018 MAY 19 20:06:29,2018 MAY 19 20:14:34,N/A,N/A,2018 MAY 19 20:06:39,2018 MAY 19 20:14:34,30.0148,130.3569,17.4581,82.6492,82.6492,5.1285e-14,52.5921,141.2681,18.3164,92.332,92.332,1.1901e-14,66.3177,178.4444,N/A,47.8316,47.8316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,475,104,398,1400002C0000000000000000000000000000000000000000000000000000000000000000000A01DB0068018E
5,5,5,3,2172,1,0,0,0,0,2018 MAY 19 21:09:59,2018 MAY 19 22:12:34,2018 MAY 19 21:17:30,2018 MAY 19 21:54:45,2018 MAY 19 21:10:09,2018 MAY 19 22:12:33,-41.938,-59.7187,5.8164,92.4795,92.4795,2.1336e-14,53.058,112.6193,18.3208,92.3514,92.3514,2.0365e-14,66.2263,178.4692,11.5545,376.9707,387.3101,0,0,0,0,0,0,0,0,0,0,451,1081,1876,30,30,2235,1,1,1844,1844,10,3744,104,1075,1400002C0000000000000000000000000000000001C3043907541E1E08BB010107340734000A0EA000680433
3,3,6,4,2173,1,0,0,0,0,2018 MAY 19 22:57:56,2018 MAY 20 00:10:30,2018 MAY 19 22:58:06,2018 MAY 20 00:10:21,2018 MAY 19 22:58:06,2018 MAY 20 00:10:29,-13.3067,-97.5902,5.0428,104.1119,104.1119,1.7565e-14,53.4419,83.9761,18.3242,92.3698,92.3698,1.4494e-14,66.0474,178.5112,25.8748,437.282,460.7948,0,0,0,0,0,0,0,0,0,0,10,640,2485,30,30,4335,1,1,1844,1844,10,4343,104,1206,1400002C00000000000000000000000000000000000A028009B51E1E10EF010107340734000A10F7006804B6
5,5,7,5,2174,1,0,0,0,0,2018 MAY 20 01:05:51,2018 MAY 20 02:08:25,2018 MAY 20 01:13:43,2018 MAY 20 01:50:13,2018 MAY 20 01:06:01,2018 MAY 20 02:08:24,-42.6707,-117.2166,5.8092,92.5127,92.5127,1.4224e-14,53.6741,55.3168,18.3264,92.3873,92.3873,4.6091e-14,65.7849,178.5611,11.2476,376.87,386.9271,0,0,0,0,0,0,0,0,0,0,472,1102,1882,30,30,2190,1,1,1844,1844,10,3743,104,1077,1400002C0000000000000000000000000000000001D8044E075A1E1E088E010107340734000A0E9F00680435
4,4,8,6,2175,0,1,0,0,0,2018 MAY 20 03:03:48,2018 MAY 20 03:37:08,N/A,N/A,2018 MAY 20 03:03:58,2018 MAY 20 03:37:07,-42.9518,-145.9951,5.8039,92.5491,92.5491,6.1673e-14,-30.2377,-0.096704,16.0714,65.7031,65.7031,3.1806e-14,65.5369,178.607,N/A,200.2712,200.2712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1989,104,382,1400002C0000000000000000000000000000000000000000000000000000000000000000000A07C50068017E
4,4,9,6,2175,0,1,0,0,0,2018 MAY 20 03:37:13,2018 MAY 20 03:57:43,N/A,N/A,2018 MAY 20 03:37:23,2018 MAY 20 03:57:42,-29.9956,-0.019988,16.0778,65.7157,65.7157,2.0116e-14,29.7504,14.5244,17.38,81.6609,81.6609,1.3587e-14,65.4531,178.62,N/A,122.7425,122.7425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1219,104,377,1400002C0000000000000000000000000000000000000000000000000000000000000000000A04C300680179
4,4,10,6,2176,0,1,0,0,0,2018 MAY 20 03:57:48,2018 MAY 20 04:06:24,N/A,N/A,2018 MAY 20 03:57:58,2018 MAY 20 04:06:23,29.9892,14.5994,17.3861,81.7605,81.7605,2.9194e-14,53.9189,26.6297,18.3278,92.397,92.397,2.9836e-14,65.4318,178.6281,N/A,50.8522,50.8522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,505,104,428,1400002C0000000000000000000000000000000000000000000000000000000000000000000A01F9006801AC
