Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Nightside nadir observation number,Thermal orbit/nightside number,ESA orbit number,LNO+UVIS operating (YES = 1; NO = 0),UVIS alone operating (YES = 1; NO = 0),LNO alone operating (YES = 1; NO = 0),SO+UVIS operating (YES = 1; NO = 0),SO alone operating (YES = 1; NO = 0),TC20 execution start time (UTC),TC20 execution end time (UTC),LNO start time (UTC),LNO end time (UTC),UVIS start time (UTC),UVIS end time (UTC),SubSC latitude (deg) @ TC20 execution start time (UTC),SubSC longitude (deg) @ TC20 execution start time (UTC),SubSC LST @ TC20 execution start time (h),SubSC phase angle (deg) @ TC20 execution start time (UTC),SubSC solar incidence angle (deg) @ TC20 execution start time (UTC),SubSC emission angle (deg) @ TC20 execution start time (UTC),SubSC latitude (deg) @ TC20 execution end time (UTC),SubSC longitude (deg) @ TC20 execution end time (UTC),SubSC LST @ TC20 execution end time (h),SubSC phase angle (deg) @ TC20 execution end time (UTC),SubSC solar incidence angle (deg) @ TC20 execution end time (UTC),SubSC emission angle (deg) @ TC20 execution end time (UTC),Beta angle (deg),Solar longitude Ls (deg),LNO+SINBAD data volume (Mbit),UVIS+SINBAD data volume (Mbit),LNO+UVIS+SINBAD data volume (Mbit),TC20 SO_START_TIME,TC20 SO_START_SCIENCE_1,TC20 SO_START_SCIENCE_2,TC20 SO_DURATION_REFERENCE_1,TC20 SO_DURATION_REFERENCE_2,TC20 SO_DURATION_TIME,TC20 SO_COP_GENERAL,TC20 SO_COP_PRECOOLING,TC20 SO_COP_SCIENCE_1,TC20 SO_COP_SCIENCE_2,TC20 LNO_START_TIME,TC20 LNO_START_SCIENCE_1,TC20 LNO_START_SCIENCE_2,TC20 LNO_DURATION_REFERENCE_1,TC20 LNO_DURATION_REFERENCE_2,TC20 LNO_DURATION_TIME,TC20 LNO_COP_GENERAL,TC20 LNO_COP_PRECOOLING,TC20 LNO_COP_SCIENCE_1,TC20 LNO_COP_SCIENCE_2,TC20 UVIS_START_TIME,TC20 UVIS_DURATION_TIME,TC20 UVIS_COP_ROW,TC20 CHECKSUM,TC20 (HEX)
7,7,1,13,2182,1,0,0,0,0,2018 MAY 20 16:02:22,2018 MAY 20 16:41:29,2018 MAY 20 16:02:32,2018 MAY 20 16:41:17,2018 MAY 20 16:02:32,2018 MAY 20 16:41:28,72.5884,-102.5576,21.3294,102.641,102.641,1.9347e-14,-21.9947,3.9819,5.0664,103.1232,103.1232,2.0381e-14,64.0025,178.9106,12.1682,235.204,246.1079,0,0,0,0,0,0,0,0,0,0,10,640,1480,30,30,2325,1,1,1844,1844,10,2336,104,774,1400002C00000000000000000000000000000000000A028005C81E1E0915010107340734000A092000680306
7,7,2,15,2184,1,0,0,0,0,2018 MAY 20 19:58:22,2018 MAY 20 20:37:32,2018 MAY 20 19:58:32,2018 MAY 20 20:37:17,2018 MAY 20 19:58:32,2018 MAY 20 20:37:31,72.8272,-158.157,21.4508,102.8466,102.8466,2.9538e-14,-22.8425,-53.7631,5.0458,103.3151,103.3151,2.642e-14,63.5509,179.0026,12.1682,235.506,246.41,0,0,0,0,0,0,0,0,0,0,10,640,1480,30,30,2325,1,1,1844,1844,10,2339,104,777,1400002C00000000000000000000000000000000000A028005C81E1E0915010107340734000A092300680309
7,7,3,24,2193,1,0,0,0,0,2018 MAY 21 13:39:56,2018 MAY 21 14:18:59,2018 MAY 21 13:40:06,2018 MAY 21 14:18:51,2018 MAY 21 13:40:06,2018 MAY 21 14:18:58,73.4678,-48.6512,21.9714,103.8017,103.8017,2.0365e-14,-25.592,46.458,4.9456,104.3095,104.3095,8.996e-15,61.4629,179.4171,12.1682,234.8012,245.7052,0,0,0,0,0,0,0,0,0,0,10,640,1480,30,30,2325,1,1,1844,1844,10,2332,104,770,1400002C00000000000000000000000000000000000A028005C81E1E0915010107340734000A091C00680302
7,7,4,25,2194,1,0,0,0,0,2018 MAY 21 15:37:51,2018 MAY 21 16:16:56,2018 MAY 21 15:38:01,2018 MAY 21 16:16:46,2018 MAY 21 15:38:01,2018 MAY 21 16:16:55,73.439,-76.8664,22.0033,103.915,103.915,1.0579e-14,-25.81,17.578,4.9336,104.4352,104.4352,2.1336e-14,61.19,179.4631,12.1682,235.0026,245.9065,0,0,0,0,0,0,0,0,0,0,10,640,1480,30,30,2325,1,1,1844,1844,10,2334,104,772,1400002C00000000000000000000000000000000000A028005C81E1E0915010107340734000A091E00680304
7,7,5,34,2203,1,0,0,0,0,2018 MAY 22 09:19:26,2018 MAY 22 09:58:29,2018 MAY 22 09:19:36,2018 MAY 22 09:58:21,2018 MAY 22 09:19:36,2018 MAY 22 09:58:28,73.5222,31.5735,22.4531,104.8933,104.8933,2.6847e-14,-28.3045,117.6484,4.8247,105.4474,105.4474,2.0365e-14,59.0158,179.8781,12.1682,234.8012,245.7052,0,0,0,0,0,0,0,0,0,0,10,640,1480,30,30,2325,1,1,1844,1844,10,2332,104,770,1400002C00000000000000000000000000000000000A028005C81E1E0915010107340734000A091C00680302
7,7,6,37,2206,1,0,0,0,0,2018 MAY 22 15:13:08,2018 MAY 22 15:52:09,2018 MAY 22 15:13:18,2018 MAY 22 15:52:03,2018 MAY 22 15:13:18,2018 MAY 22 15:52:08,73.442,-52.6242,22.5772,105.2307,105.2307,3.1365e-14,-28.9612,31.0594,4.7892,105.7783,105.7783,5.3788e-14,58.2798,180.0165,12.1682,234.5998,245.5038,0,0,0,0,0,0,0,0,0,0,10,640,1480,30,30,2325,1,1,1844,1844,10,2330,104,768,1400002C00000000000000000000000000000000000A028005C81E1E0915010107340734000A091A00680300
17,17,7,70,2239,0,1,0,0,0,2018 MAY 25 08:04:26,2018 MAY 25 08:41:23,N/A,N/A,2018 MAY 25 08:04:36,2018 MAY 25 08:41:22,71.4508,93.1184,23.4156,108.7809,108.7809,2.492e-14,-29.4771,155.6648,4.1847,113.045,113.045,4.2908e-14,49.8952,181.5428,N/A,222.1202,222.1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2206,104,344,1400002C0000000000000000000000000000000000000000000000000000000000000000000A089E00680158
17,17,8,71,2240,0,1,0,0,0,2018 MAY 25 10:02:23,2018 MAY 25 10:39:19,N/A,N/A,2018 MAY 25 10:02:33,2018 MAY 25 10:39:18,71.3885,64.7973,23.4408,108.8804,108.8804,2.0427e-14,-29.6776,126.7444,4.1697,113.1702,113.1702,4.5871e-14,49.6429,181.5892,N/A,222.0195,222.0195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2205,104,343,1400002C0000000000000000000000000000000000000000000000000000000000000000000A089D00680157
17,17,9,72,2241,0,1,0,0,0,2018 MAY 25 12:00:17,2018 MAY 25 12:37:12,N/A,N/A,2018 MAY 25 12:00:27,2018 MAY 25 12:37:11,71.3468,36.4388,23.4628,108.9566,108.9566,2.163e-14,-29.8421,97.8325,4.1544,113.3066,113.3066,2.0992e-14,49.4091,181.6356,N/A,221.9188,221.9188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2204,104,342,1400002C0000000000000000000000000000000000000000000000000000000000000000000A089C00680156
17,17,10,73,2242,0,1,0,0,0,2018 MAY 25 13:58:09,2018 MAY 25 14:35:02,N/A,N/A,2018 MAY 25 13:58:19,2018 MAY 25 14:35:01,71.2572,8.1134,23.4864,109.0804,109.0804,9.1354e-15,-29.9901,68.9541,4.1406,113.4285,113.4285,1.8271e-14,49.1664,181.6819,N/A,221.7174,221.7174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2202,104,340,1400002C0000000000000000000000000000000000000000000000000000000000000000000A089A00680154
17,17,11,174,2343,0,1,0,0,0,2018 JUN 02 20:24:17,2018 JUN 02 21:01:06,N/A,N/A,2018 JUN 02 20:24:27,2018 JUN 02 21:01:05,64.0812,-14.5452,23.1061,117.6079,117.6079,1.4423e-14,-40.3336,28.4608,2.5703,124.1616,124.1616,4.5981e-14,22.1612,186.3967,N/A,221.3147,221.3147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2198,104,336,1400002C0000000000000000000000000000000000000000000000000000000000000000000A089600680150
17,17,12,175,2344,0,1,0,0,0,2018 JUN 02 22:22:11,2018 JUN 02 22:59:01,N/A,N/A,2018 JUN 02 22:22:21,2018 JUN 02 22:59:00,64.0147,-43.4589,23.0911,117.6654,117.6654,1.7128e-14,-40.3698,-0.48412,2.5533,124.266,124.266,3.4259e-14,21.8792,186.4437,N/A,221.4154,221.4154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2199,104,337,1400002C0000000000000000000000000000000000000000000000000000000000000000000A089700680151
17,17,13,176,2345,0,1,0,0,0,2018 JUN 03 00:20:05,2018 JUN 03 00:56:57,N/A,N/A,2018 JUN 03 00:20:15,2018 JUN 03 00:56:56,63.9781,-72.3323,23.0786,117.6985,117.6985,1.242e-14,-40.4916,-29.4366,2.5364,124.3143,124.3143,3.381e-14,21.6078,186.4907,N/A,221.6167,221.6167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2201,104,339,1400002C0000000000000000000000000000000000000000000000000000000000000000000A089900680153
17,17,14,330,2499,0,1,0,0,0,2018 JUN 15 14:51:40,2018 JUN 15 15:28:26,N/A,N/A,2018 JUN 15 14:51:50,2018 JUN 15 15:28:25,55.9487,159.2444,20.9458,118.0059,118.0059,1.5581e-14,-49.4052,-163.5887,0.02,124.4257,124.4257,2.0674e-14,-20.6455,193.8028,N/A,221.0126,221.0126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2195,104,333,1400002C0000000000000000000000000000000000000000000000000000000000000000000A08930068014D
17,17,15,331,2500,0,1,0,0,0,2018 JUN 15 16:49:35,2018 JUN 15 17:26:19,N/A,N/A,2018 JUN 15 16:49:45,2018 JUN 15 17:26:18,55.8793,130.3199,20.93,117.9585,117.9585,2.915e-14,-49.4198,167.4332,0.00027778,124.3918,124.3918,7.857e-14,-20.9332,193.8508,N/A,220.8112,220.8112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2193,104,331,1400002C0000000000000000000000000000000000000000000000000000000000000000000A08910068014B
17,17,16,332,2501,0,1,0,0,0,2018 JUN 15 18:47:29,2018 JUN 15 19:24:11,N/A,N/A,2018 JUN 15 18:47:39,2018 JUN 15 19:24:10,55.8519,101.4398,20.9172,117.9042,117.9042,2.1351e-14,-49.4384,138.4398,23.9792,124.3527,124.3527,3.2435e-14,-21.2169,193.8988,N/A,220.6099,220.6099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2191,104,329,1400002C0000000000000000000000000000000000000000000000000000000000000000000A088F00680149
