Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Thermal orbit number,Thermal orbit start (TDN2(n)+2min),Thermal orbit end (TDN2(n+1)+2min-1s),Thermal orbit duration (s),Nightside nadir start = TD2N(n),Nightside nadir end = TN2D(n)-1s,Nightside duration (s),Dayside nadir start = TN2D(n),Dayside nadir end = TD2N(n+1)-1s,Dayside duration (s),Dayside nadir min. phase angle (deg),Dayside nadir min. phase angle time (UTC)
3,3,76,2018 MAY 25 19:43:45,2018 MAY 25 21:41:40,7075,2018 MAY 25 19:41:45,2018 MAY 25 20:40:54,3549,2018 MAY 25 20:40:55,2018 MAY 25 21:39:40,3525,48.2263,2018 MAY 25 21:10:05
1,1,77,2018 MAY 25 21:41:41,2018 MAY 25 23:39:35,7074,2018 MAY 25 21:39:41,2018 MAY 25 22:38:51,3550,2018 MAY 25 22:38:52,2018 MAY 25 23:37:35,3523,47.9832,2018 MAY 25 23:08:01
4,4,78,2018 MAY 25 23:39:36,2018 MAY 26 01:37:28,7072,2018 MAY 25 23:37:36,2018 MAY 26 00:36:44,3548,2018 MAY 26 00:36:45,2018 MAY 26 01:35:28,3523,47.7503,2018 MAY 26 01:05:54
3,3,79,2018 MAY 26 01:37:29,2018 MAY 26 03:35:18,7069,2018 MAY 26 01:35:29,2018 MAY 26 02:34:34,3545,2018 MAY 26 02:34:35,2018 MAY 26 03:33:18,3523,47.4962,2018 MAY 26 03:03:44
1,1,80,2018 MAY 26 03:35:19,2018 MAY 26 05:33:11,7072,2018 MAY 26 03:33:19,2018 MAY 26 04:32:25,3546,2018 MAY 26 04:32:26,2018 MAY 26 05:31:11,3525,47.2219,2018 MAY 26 05:01:36
4,4,81,2018 MAY 26 05:33:12,2018 MAY 26 07:31:07,7075,2018 MAY 26 05:31:12,2018 MAY 26 06:30:20,3548,2018 MAY 26 06:30:21,2018 MAY 26 07:29:07,3526,46.9455,2018 MAY 26 06:59:32
3,3,82,2018 MAY 26 07:31:08,2018 MAY 26 09:29:04,7076,2018 MAY 26 07:29:08,2018 MAY 26 08:28:16,3548,2018 MAY 26 08:28:17,2018 MAY 26 09:27:04,3527,46.6699,2018 MAY 26 08:57:28
4,4,83,2018 MAY 26 09:29:05,2018 MAY 26 11:26:59,7074,2018 MAY 26 09:27:05,2018 MAY 26 10:26:11,3546,2018 MAY 26 10:26:12,2018 MAY 26 11:24:59,3527,46.4077,2018 MAY 26 10:55:23
3,3,84,2018 MAY 26 11:27:00,2018 MAY 26 13:24:51,7071,2018 MAY 26 11:25:00,2018 MAY 26 12:24:05,3545,2018 MAY 26 12:24:06,2018 MAY 26 13:22:51,3525,46.1656,2018 MAY 26 12:53:15
4,4,85,2018 MAY 26 13:24:52,2018 MAY 26 15:22:42,7070,2018 MAY 26 13:22:52,2018 MAY 26 14:21:56,3544,2018 MAY 26 14:21:57,2018 MAY 26 15:20:42,3525,45.9276,2018 MAY 26 14:51:06
3,3,86,2018 MAY 26 15:22:43,2018 MAY 26 17:20:34,7071,2018 MAY 26 15:20:43,2018 MAY 26 16:19:46,3543,2018 MAY 26 16:19:47,2018 MAY 26 17:18:34,3527,45.6581,2018 MAY 26 16:48:58
4,4,87,2018 MAY 26 17:20:35,2018 MAY 26 19:18:28,7073,2018 MAY 26 17:18:35,2018 MAY 26 18:17:40,3545,2018 MAY 26 18:17:41,2018 MAY 26 19:16:28,3527,45.3623,2018 MAY 26 18:46:51
3,3,88,2018 MAY 26 19:18:29,2018 MAY 26 21:16:24,7075,2018 MAY 26 19:16:29,2018 MAY 26 20:15:36,3547,2018 MAY 26 20:15:37,2018 MAY 26 21:14:24,3527,45.0816,2018 MAY 26 20:44:48
1,1,89,2018 MAY 26 21:16:25,2018 MAY 26 23:14:20,7075,2018 MAY 26 21:14:25,2018 MAY 26 22:13:34,3549,2018 MAY 26 22:13:35,2018 MAY 26 23:12:20,3525,44.8261,2018 MAY 26 22:42:45
4,4,90,2018 MAY 26 23:14:21,2018 MAY 27 01:12:13,7072,2018 MAY 26 23:12:21,2018 MAY 27 00:11:28,3547,2018 MAY 27 00:11:29,2018 MAY 27 01:10:13,3524,44.5875,2018 MAY 27 00:40:39
1,1,91,2018 MAY 27 01:12:14,2018 MAY 27 03:10:04,7070,2018 MAY 27 01:10:14,2018 MAY 27 02:09:19,3545,2018 MAY 27 02:09:20,2018 MAY 27 03:08:04,3524,44.3438,2018 MAY 27 02:38:29
1,1,92,2018 MAY 27 03:10:05,2018 MAY 27 05:07:54,7069,2018 MAY 27 03:08:05,2018 MAY 27 04:07:09,3544,2018 MAY 27 04:07:10,2018 MAY 27 05:05:54,3524,44.0731,2018 MAY 27 04:36:19
1,1,93,2018 MAY 27 05:07:55,2018 MAY 27 07:05:49,7074,2018 MAY 27 05:05:55,2018 MAY 27 06:05:02,3547,2018 MAY 27 06:05:03,2018 MAY 27 07:03:49,3526,43.7969,2018 MAY 27 06:34:13
3,3,94,2018 MAY 27 07:05:50,2018 MAY 27 09:03:46,7076,2018 MAY 27 07:03:50,2018 MAY 27 08:02:57,3547,2018 MAY 27 08:02:58,2018 MAY 27 09:01:46,3528,43.5166,2018 MAY 27 08:32:09
4,4,95,2018 MAY 27 09:03:47,2018 MAY 27 11:01:41,7074,2018 MAY 27 09:01:47,2018 MAY 27 10:00:52,3545,2018 MAY 27 10:00:53,2018 MAY 27 10:59:41,3528,43.2438,2018 MAY 27 10:30:04
3,3,96,2018 MAY 27 11:01:42,2018 MAY 27 12:59:35,7073,2018 MAY 27 10:59:42,2018 MAY 27 11:58:47,3545,2018 MAY 27 11:58:48,2018 MAY 27 12:57:35,3527,42.9897,2018 MAY 27 12:27:57
1,1,97,2018 MAY 27 12:59:36,2018 MAY 27 14:57:25,7069,2018 MAY 27 12:57:36,2018 MAY 27 13:56:39,3543,2018 MAY 27 13:56:40,2018 MAY 27 14:55:25,3525,42.7495,2018 MAY 27 14:25:49
4,4,98,2018 MAY 27 14:57:26,2018 MAY 27 16:55:15,7069,2018 MAY 27 14:55:26,2018 MAY 27 15:54:28,3542,2018 MAY 27 15:54:29,2018 MAY 27 16:53:15,3526,42.4953,2018 MAY 27 16:23:39
