NOM_02, OCCEG, 85
NOM_02, OCCIN, 65, 123
NOM_03, OCCEG, 32, 40, 42, 45, 48, 63, 74, 106, 114, 121, 126, 131, 136, 142, 166, 168, 174, 182, 201, 203, 228, 230, 242, 244, 265, 276, 285, 288, 290
NOM_03, OCCIN, 36, 56, 71, 96, 116, 129, 142, 148, 159, 163, 192, 247, 250, 254, 271, 279, 327
NOM_03, OCCME, 15, 17, 18, 20
CO_001, OCCEG, 133, 141
CO_001, OCCIN, 284, 312, 331, 339
CO_002, OCCEG, 36, 49, 65, 71, 73, 146, 156, 158, 195, 216, 218, 272, 274
CO_002, OCCIN, 48, 59, 94, 106, 134, 136, 161, 179, 241, 252, 277, 302
CO2_01, OCCEG, 24, 29, 52, 107, 119, 151, 210, 232, 305, 307
CO2_01, OCCIN, 24, 49, 63, 67, 74, 85, 103, 128, 204, 239, 268
CO2_02, OCCEG, 59, 80, 88, 98, 128, 170, 184, 234, 323, 334
CO2_02, OCCIN, 31, 119, 131, 153, 208, 222, 227, 235
HCL_01, OCCEG, 34, 58, 67, 92, 94, 103, 109, 116, 123, 124, 144, 148, 154, 180, 246, 263, 303, 315, 317
HCL_01, OCCIN, 22, 26, 32, 34, 42, 45, 58, 73, 78, 92, 117, 146, 175, 190, 225, 266, 293, 297, 308
FUL_01, OCCEG, 90, 149, 198, 292, 332
FUL_01, OCCIN, 29, 40, 80, 84, 90, 107, 121, 133, 141, 144, 165, 194, 281, 314, 329
