TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,LNO_OBSERVING (1=YES;0=NO),OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
1,1,779,779,0,2,ingress,2021 MAR 20 17:13:42,SO ON
1,1,929,929,0,4,ingress,2021 MAR 20 21:09:35,SO ON
1,1,1511,1511,0,7,ingress,2021 MAR 21 03:03:23,SO ON
1,1,2735,2735,0,15,ingress,2021 MAR 21 18:46:42,SO ON
1,1,3182,3182,0,17,ingress,2021 MAR 21 22:42:38,SO ON
1,1,1889,1889,0,19,ingress,2021 MAR 22 02:38:29,SO ON
1,1,3185,3185,0,21,ingress,2021 MAR 22 06:34:16,SO ON
1,1,3128,3128,0,27,ingress,2021 MAR 22 18:21:47,SO ON
1,1,46,46,0,29,ingress,2021 MAR 22 22:17:42,SO ON
1,1,3128,3128,0,31,ingress,2021 MAR 23 02:13:36,SO ON
1,1,53,53,0,42,ingress,2021 MAR 23 23:50:44,SO ON
1,1,755,755,0,44,ingress,2021 MAR 24 03:46:34,SO ON
1,1,3179,3179,0,46,ingress,2021 MAR 24 07:42:22,SO ON
1,1,809,809,0,48,ingress,2021 MAR 24 11:38:18,SO ON
1,1,785,785,0,54,ingress,2021 MAR 24 23:25:49,SO ON
1,1,761,761,0,56,ingress,2021 MAR 25 03:21:41,SO ON
1,1,3182,3182,0,59,ingress,2021 MAR 25 09:15:24,SO ON
1,1,1781,1781,0,69,ingress,2021 MAR 26 04:54:41,SO ON
1,1,1397,1397,0,71,ingress,2021 MAR 26 08:50:30,SO ON
1,1,3127,3127,0,73,ingress,2021 MAR 26 12:46:25,SO ON
1,1,755,755,0,75,ingress,2021 MAR 26 16:42:12,SO ON
1,1,3151,3151,0,81,ingress,2021 MAR 27 04:29:48,SO ON
1,1,53,53,0,83,ingress,2021 MAR 27 08:25:33,SO ON
1,1,3101,3101,0,89,ingress,2021 MAR 27 20:13:05,SO ON
1,1,3122,3122,0,98,ingress,2021 MAR 28 13:54:31,SO ON
1,1,755,755,0,100,ingress,2021 MAR 28 17:50:18,SO ON
1,1,3121,3121,0,102,ingress,2021 MAR 28 21:46:06,SO ON
1,1,905,905,0,104,ingress,2021 MAR 29 01:42:02,SO ON
1,1,905,905,0,112,ingress,2021 MAR 29 17:25:23,SO ON
1,1,3151,3151,0,114,ingress,2021 MAR 29 21:21:11,SO ON
1,1,3122,3122,0,116,ingress,2021 MAR 30 01:17:06,SO ON
1,1,3182,3182,0,126,ingress,2021 MAR 30 20:56:16,SO ON
1,1,2735,2735,0,128,ingress,2021 MAR 31 00:52:09,SO ON
1,1,3126,3126,0,131,ingress,2021 MAR 31 06:45:57,SO ON
1,1,3151,3151,0,133,ingress,2021 MAR 31 10:41:46,SO ON
3,1,31,31,0,139,ingress,2021 MAR 31 22:29:17,SO ON
1,1,1781,1781,0,141,ingress,2021 APR 01 02:25:13,SO ON
1,1,749,749,0,143,ingress,2021 APR 01 06:21:06,SO ON
1,1,53,53,0,152,ingress,2021 APR 02 00:02:20,SO ON
3,1,31,31,0,154,ingress,2021 APR 02 03:58:17,SO ON
1,1,1781,1781,0,156,ingress,2021 APR 02 07:54:06,SO ON
1,1,749,749,0,160,ingress,2021 APR 02 15:45:51,SO ON
1,1,929,929,0,166,ingress,2021 APR 03 03:33:23,SO ON
1,1,2069,2069,0,168,ingress,2021 APR 03 07:29:15,SO ON
1,1,3128,3128,0,173,ingress,2021 APR 03 17:18:54,SO ON
1,1,3101,3101,0,183,ingress,2021 APR 04 12:58:07,SO ON
1,1,42,42,0,185,ingress,2021 APR 04 16:54:03,SO ON
1,1,3176,3176,0,187,ingress,2021 APR 04 20:49:49,SO ON
1,1,1397,1397,0,189,ingress,2021 APR 05 00:45:38,SO ON
1,1,34,34,0,195,ingress,2021 APR 05 12:33:13,SO ON
1,1,749,749,0,197,ingress,2021 APR 05 16:29:10,SO ON
1,1,2705,2705,0,199,ingress,2021 APR 05 20:24:58,SO ON
1,1,3151,3151,0,208,ingress,2021 APR 06 14:06:20,SO ON
1,1,905,905,0,210,ingress,2021 APR 06 18:02:15,SO ON
1,1,3179,3179,0,212,ingress,2021 APR 06 21:58:01,SO ON
1,1,3151,3151,0,214,ingress,2021 APR 07 01:53:52,SO ON
1,1,2735,2735,0,220,ingress,2021 APR 07 13:41:28,SO ON
1,1,929,929,0,222,ingress,2021 APR 07 17:37:25,SO ON
1,1,3127,3127,0,224,ingress,2021 APR 07 21:33:13,SO ON
1,1,755,755,0,235,ingress,2021 APR 08 19:10:32,SO ON
1,1,809,809,0,237,ingress,2021 APR 08 23:06:17,SO ON
1,1,1397,1397,0,239,ingress,2021 APR 09 03:02:11,SO ON
1,1,3110,3110,0,241,ingress,2021 APR 09 06:58:08,SO ON
1,1,53,53,0,248,ingress,2021 APR 09 20:43:40,SO ON
1,1,3152,3152,0,249,ingress,2021 APR 09 22:41:33,SO ON
1,1,1397,1397,0,251,ingress,2021 APR 10 02:37:24,SO ON
1,1,905,905,0,254,ingress,2021 APR 10 08:31:20,SO ON
1,1,2723,2723,0,259,ingress,2021 APR 10 18:21:01,SO ON
1,1,3126,3126,0,261,ingress,2021 APR 10 22:16:49,SO ON
1,1,749,749,0,265,ingress,2021 APR 11 06:08:37,SO ON
1,1,905,905,0,269,ingress,2021 APR 11 14:00:17,SO ON
1,1,767,767,0,270,ingress,2021 APR 11 15:58:18,SO ON
1,1,3176,3176,0,272,ingress,2021 APR 11 19:54:14,SO ON
1,1,53,53,0,274,ingress,2021 APR 11 23:50:02,SO ON
1,1,749,749,0,276,ingress,2021 APR 12 03:45:53,SO ON
1,1,42,42,0,277,ingress,2021 APR 12 05:43:52,SO ON
1,1,821,821,0,281,ingress,2021 APR 12 13:35:34,SO ON
1,1,1511,1511,0,283,ingress,2021 APR 12 17:31:34,SO ON
1,1,905,905,0,284,ingress,2021 APR 12 19:29:33,SO ON
1,1,3152,3152,0,286,ingress,2021 APR 12 23:25:21,SO ON
1,1,53,53,0,292,ingress,2021 APR 13 11:13:06,SO ON
1,1,3127,3127,0,295,ingress,2021 APR 13 17:06:53,SO ON
1,1,905,905,0,297,ingress,2021 APR 13 21:02:50,SO ON
1,1,3128,3128,0,299,ingress,2021 APR 14 00:58:37,SO ON
1,1,767,767,0,302,ingress,2021 APR 14 06:52:32,SO ON
1,1,761,761,0,304,ingress,2021 APR 14 10:48:28,SO ON
1,1,3152,3152,0,309,ingress,2021 APR 14 20:38:16,SO ON
1,1,3128,3128,0,311,ingress,2021 APR 15 00:34:04,SO ON
1,1,1397,1397,0,314,ingress,2021 APR 15 06:27:57,SO ON
1,1,56,56,1,317,ingress,2021 APR 15 12:21:52,LNO ON
1,1,1193,1193,0,321,ingress,2021 APR 15 20:13:45,SO ON
1,1,875,875,0,323,ingress,2021 APR 16 00:09:35,SO ON
1,1,3182,3182,0,324,ingress,2021 APR 16 02:07:29,SO ON
1,1,749,749,0,327,ingress,2021 APR 16 08:01:29,SO ON
1,1,3151,3151,0,332,ingress,2021 APR 16 17:51:17,SO ON
1,1,1781,1781,0,333,ingress,2021 APR 16 19:49:20,SO ON
1,1,905,905,0,335,ingress,2021 APR 16 23:45:15,SO ON
1,1,1397,1397,0,338,ingress,2021 APR 17 05:39:05,SO ON
1,1,2723,2723,0,341,ingress,2021 APR 17 11:33:06,SO ON
