NOM_02, OCCEG, 40, 135, 148, 322
NOM_02, OCCIN, 45, 76, 101, 144, 161, 198, 236, 266, 277, 328
NOM_03, OCCEG, 25, 52, 79, 81, 91, 150, 175, 191, 218, 243, 247, 249, 262, 271, 277, 310, 315, 333, 342
NOM_03, OCCIN, 18, 22, 47, 60, 82, 115, 127, 134, 209, 213, 215, 250, 287, 310, 322, 325, 333
CO_001, OCCEG, 126, 166, 287, 298, 324
CO_001, OCCIN, 282, 324
CO2_01, OCCEG, 13, 23, 50, 61, 69, 124, 164, 312
CO2_01, OCCIN, 57, 90, 169, 184, 242, 271, 303, 305
HCL_01, OCCEG, 11, 27, 34, 42, 54, 77, 106, 108, 112, 137, 146, 152, 177, 183, 193, 206, 208, 216, 228, 235, 250, 260, 270, 325, 334, 336, 339
HCL_01, OCCIN, 20, 28, 32, 70, 74, 99, 103, 117, 132, 142, 157, 174, 196, 200, 225, 262, 296, 300, 312, 334
FUL_01, OCCEG, 119, 139, 162, 255, 278, 296, 300, 303
FUL_01, OCCIN, 30, 43, 84, 140, 153, 155, 249, 275, 293, 318
