TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2024 JUN 08 17:45:00,2,2
2024 JUN 08 19:45:00,3,3
2024 JUN 08 21:45:00,4,4
2024 JUN 08 21:39:00,4,4
2024 JUN 08 23:39:00,5,5
2024 JUN 09 01:39:00,6,6
2024 JUN 09 03:39:00,7,7
2024 JUN 09 03:33:00,7,7
2024 JUN 10 05:15:00,20,20
2024 JUN 10 07:12:00,21,21
2024 JUN 10 09:12:00,22,22
2024 JUN 10 13:09:00,24,24
2024 JUN 10 13:06:00,24,24
2024 JUN 10 15:06:00,25,25
2024 JUN 11 18:39:00,39,39
2024 JUN 11 20:39:00,40,40
2024 JUN 11 22:36:00,41,41
2024 JUN 12 04:33:00,44,44
2024 JUN 13 04:09:00,56,56
2024 JUN 13 06:06:00,57,57
2024 JUN 13 08:03:00,58,58
2024 JUN 13 10:03:00,59,59
2024 JUN 13 12:00:00,60,60
2024 JUN 13 17:57:00,63,63
2024 JUN 14 19:30:00,76,76
2024 JUN 14 21:27:00,77,77
2024 JUN 15 01:24:00,79,79
2024 JUN 15 03:21:00,80,80
2024 JUN 16 08:51:00,95,95
2024 JUN 18 06:06:00,118,118
2024 JUN 18 12:00:00,121,121
2024 JUN 19 19:27:00,137,137
2024 JUN 20 01:21:00,140,140
2024 JUN 21 08:48:00,156,156
2024 JUN 21 14:42:00,159,159
2024 JUN 22 22:09:00,175,175
2024 JUN 23 04:03:00,178,178
2024 JUN 24 11:30:00,194,194
2024 JUN 24 17:24:00,197,197
2024 JUN 26 08:42:00,217,217
2024 JUL 05 14:48:00,330,330
2024 JUL 05 20:42:00,333,333
