Dayside Nadir Index	UTC Start Time	UTC End Time	UTC Minimum Incidence Angle Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Local Time (hrs)	
0	2018 DEC 01 14:58:01	2018 DEC 01 16:00:33	2018 DEC 01 15:29:15	3750.0	146.5	-168.7	-47.9	13.7	-68.3	-13.6	9.8	
1	2018 DEC 01 16:56:01	2018 DEC 01 17:58:31	2018 DEC 01 17:27:15	3748.0	117.6	163.1	-76.7	13.3	-68.6	-13.2	9.9	
2	2018 DEC 01 18:53:59	2018 DEC 01 19:56:27	2018 DEC 01 19:25:11	3746.0	88.8	134.9	-105.6	12.9	-68.8	-12.8	9.9	
3	2018 DEC 01 20:51:53	2018 DEC 01 21:54:23	2018 DEC 01 21:23:05	3748.0	59.9	106.8	-134.4	12.6	-69.1	-12.4	9.9	
4	2018 DEC 01 22:49:50	2018 DEC 01 23:52:21	2018 DEC 01 23:21:03	3750.0	31.0	78.8	-163.3	12.3	-69.3	-12.1	10.0	
5	2018 DEC 02 00:47:51	2018 DEC 02 01:50:23	2018 DEC 02 01:19:05	3750.0	2.2	50.9	167.8	11.8	-69.5	-11.6	10.0	
6	2018 DEC 02 02:45:53	2018 DEC 02 03:48:25	2018 DEC 02 03:17:07	3750.0	-26.7	22.8	139.0	11.4	-69.8	-11.2	10.1	
7	2018 DEC 02 04:43:54	2018 DEC 02 05:46:25	2018 DEC 02 05:15:09	3750.0	-55.6	-5.3	110.1	11.0	-70.0	-10.8	10.1	
8	2018 DEC 02 06:41:51	2018 DEC 02 07:44:21	2018 DEC 02 07:13:05	3748.0	-84.4	-33.4	81.3	10.6	-70.3	-10.5	10.2	
9	2018 DEC 02 08:39:47	2018 DEC 02 09:42:15	2018 DEC 02 09:11:01	3746.0	-113.3	-61.4	52.4	10.2	-70.5	-10.1	10.2	
10	2018 DEC 02 10:37:44	2018 DEC 02 11:40:15	2018 DEC 02 11:08:59	3750.0	-142.1	-89.1	23.5	9.9	-70.7	-9.7	10.3	
11	2018 DEC 02 12:35:44	2018 DEC 02 13:38:17	2018 DEC 02 13:06:59	3752.0	-171.0	-116.9	-5.3	9.4	-70.9	-9.2	10.3	
12	2018 DEC 02 14:33:45	2018 DEC 02 15:36:19	2018 DEC 02 15:05:01	3752.0	160.1	-144.6	-34.2	9.0	-71.1	-8.8	10.4	
13	2018 DEC 02 16:31:47	2018 DEC 02 17:34:17	2018 DEC 02 17:03:01	3750.0	131.2	-172.7	-63.1	8.6	-71.3	-8.4	10.5	
14	2018 DEC 02 18:29:46	2018 DEC 02 19:32:15	2018 DEC 02 19:00:59	3748.0	102.4	159.6	-92.0	8.2	-71.6	-8.0	10.5	
15	2018 DEC 02 20:27:42	2018 DEC 02 21:30:11	2018 DEC 02 20:58:55	3748.0	73.5	131.7	-120.8	7.8	-71.8	-7.6	10.6	
16	2018 DEC 02 22:25:38	2018 DEC 02 23:28:09	2018 DEC 02 22:56:51	3750.0	44.7	104.2	-149.6	7.4	-71.9	-7.2	10.6	
17	2018 DEC 03 00:23:38	2018 DEC 03 01:26:09	2018 DEC 03 00:54:51	3750.0	15.8	76.5	-178.5	7.0	-72.0	-6.8	10.7	
18	2018 DEC 03 02:21:40	2018 DEC 03 03:24:11	2018 DEC 03 02:52:55	3750.0	-13.1	48.7	152.6	6.6	-72.2	-6.4	10.8	
19	2018 DEC 03 04:19:42	2018 DEC 03 05:22:13	2018 DEC 03 04:50:57	3750.0	-42.0	20.9	123.7	6.1	-72.4	-6.0	10.8	
20	2018 DEC 03 06:17:41	2018 DEC 03 07:20:11	2018 DEC 03 06:48:57	3750.0	-70.9	-7.0	94.8	5.8	-72.5	-5.6	10.9	
21	2018 DEC 03 08:15:38	2018 DEC 03 09:18:07	2018 DEC 03 08:46:53	3748.0	-99.7	-34.5	66.0	5.4	-72.7	-5.2	11.0	
22	2018 DEC 03 10:13:35	2018 DEC 03 11:16:03	2018 DEC 03 10:44:49	3748.0	-128.6	-62.1	37.1	5.0	-72.8	-4.8	11.0	
23	2018 DEC 03 12:11:34	2018 DEC 03 13:14:05	2018 DEC 03 12:42:49	3752.0	-157.4	-89.6	8.3	4.6	-72.9	-4.4	11.1	
24	2018 DEC 03 14:09:35	2018 DEC 03 15:12:07	2018 DEC 03 14:40:51	3752.0	173.7	-117.0	-20.6	4.1	-73.0	-3.9	11.2	
25	2018 DEC 03 16:07:37	2018 DEC 03 17:10:07	2018 DEC 03 16:38:51	3750.0	144.8	-144.5	-49.5	3.7	-73.1	-3.5	11.3	
26	2018 DEC 03 18:05:38	2018 DEC 03 19:08:05	2018 DEC 03 18:36:51	3748.0	115.9	-172.1	-78.4	3.3	-73.2	-3.1	11.4	
27	2018 DEC 03 20:03:35	2018 DEC 03 21:06:01	2018 DEC 03 20:34:47	3746.0	87.1	160.3	-107.2	2.9	-73.4	-2.8	11.4	
