Instrument	Occultation Index	Occultation Type	UTC Start Time	UTC End Time	UTC Transition Time	Duration (s)	Tangent Centre Longitude	Tangent Centre Latitude	Tangent Centre Local Time (hrs)	
N/A	0	Ingress	2018 DEC 01 14:08:20	2018 DEC 01 14:15:41	2018 DEC 01 14:14:03	441.0	-26.5	0.3	18.0	
N/A	1	Egress	2018 DEC 01 14:44:24	2018 DEC 01 14:51:39	2018 DEC 01 14:46:02	435.0	171.3	47.9	7.8	
NOMAD	2	Ingress	2018 DEC 01 16:06:23	2018 DEC 01 16:13:45	2018 DEC 01 16:12:07	442.0	-55.4	0.8	18.0	
NOMAD	3	Egress	2018 DEC 01 16:42:22	2018 DEC 01 16:49:39	2018 DEC 01 16:44:00	437.0	142.4	47.7	7.8	
ACS	4	Ingress	2018 DEC 01 18:04:23	2018 DEC 01 18:11:47	2018 DEC 01 18:10:08	444.0	-84.3	1.2	18.0	
ACS	5	Egress	2018 DEC 01 18:40:17	2018 DEC 01 18:47:36	2018 DEC 01 18:41:55	439.0	113.5	47.5	7.8	
NOMAD	6	Ingress	2018 DEC 01 20:02:19	2018 DEC 01 20:09:45	2018 DEC 01 20:08:06	446.0	-113.2	1.8	18.0	
NOMAD	7	Egress	2018 DEC 01 20:38:11	2018 DEC 01 20:45:32	2018 DEC 01 20:39:50	441.0	84.6	47.3	7.7	
ACS	8	Ingress	2018 DEC 01 22:00:18	2018 DEC 01 22:07:43	2018 DEC 01 22:06:04	445.0	-142.1	2.3	17.9	
ACS	9	Egress	2018 DEC 01 22:36:08	2018 DEC 01 22:43:29	2018 DEC 01 22:37:47	441.0	55.5	46.9	7.7	
NOMAD	10	Ingress	2018 DEC 01 23:58:18	2018 DEC 02 00:05:44	2018 DEC 02 00:04:05	446.0	-171.0	2.8	17.9	
NOMAD	11	Egress	2018 DEC 02 00:34:06	2018 DEC 02 00:41:27	2018 DEC 02 00:35:44	441.0	26.6	46.7	7.7	
N/A	12	Ingress	2018 DEC 02 01:56:19	2018 DEC 02 02:03:46	2018 DEC 02 02:02:07	447.0	160.2	3.2	17.9	
N/A	13	Egress	2018 DEC 02 02:32:04	2018 DEC 02 02:39:26	2018 DEC 02 02:33:43	442.0	-2.3	46.5	7.7	
N/A	14	Ingress	2018 DEC 02 03:54:20	2018 DEC 02 04:01:49	2018 DEC 02 04:00:09	449.0	131.3	3.5	17.9	
N/A	15	Egress	2018 DEC 02 04:30:03	2018 DEC 02 04:37:25	2018 DEC 02 04:31:42	442.0	-31.3	46.2	7.7	
NOMAD	16	Ingress	2018 DEC 02 05:52:19	2018 DEC 02 05:59:50	2018 DEC 02 05:58:10	451.0	102.4	3.9	17.9	
NOMAD	17	Egress	2018 DEC 02 06:28:00	2018 DEC 02 06:35:24	2018 DEC 02 06:29:39	444.0	-60.3	45.9	7.7	
ACS	18	Ingress	2018 DEC 02 07:50:17	2018 DEC 02 07:57:49	2018 DEC 02 07:56:09	452.0	73.5	4.5	17.9	
ACS	19	Egress	2018 DEC 02 08:25:55	2018 DEC 02 08:33:20	2018 DEC 02 08:27:34	445.0	-89.2	45.7	7.6	
NOMAD	20	Ingress	2018 DEC 02 09:48:15	2018 DEC 02 09:55:47	2018 DEC 02 09:54:06	452.0	44.8	4.7	17.9	
NOMAD	21	Egress	2018 DEC 02 10:23:49	2018 DEC 02 10:31:16	2018 DEC 02 10:25:29	447.0	-118.1	45.5	7.6	
ACS	22	Ingress	2018 DEC 02 11:46:16	2018 DEC 02 11:53:47	2018 DEC 02 11:52:07	451.0	15.7	5.5	17.9	
ACS	23	Egress	2018 DEC 02 12:21:49	2018 DEC 02 12:29:16	2018 DEC 02 12:23:30	447.0	-147.2	45.1	7.6	
N/A	24	Ingress	2018 DEC 02 13:44:19	2018 DEC 02 13:51:51	2018 DEC 02 13:50:10	452.0	-13.1	5.8	17.8	
N/A	25	Egress	2018 DEC 02 14:19:51	2018 DEC 02 14:27:19	2018 DEC 02 14:21:31	448.0	-176.2	44.7	7.6	
N/A	26	Ingress	2018 DEC 02 15:42:23	2018 DEC 02 15:49:55	2018 DEC 02 15:48:14	452.0	-42.0	6.2	17.8	
N/A	27	Egress	2018 DEC 02 16:17:51	2018 DEC 02 16:25:20	2018 DEC 02 16:19:32	449.0	154.8	44.4	7.6	
NOMAD	28	Ingress	2018 DEC 02 17:40:24	2018 DEC 02 17:47:58	2018 DEC 02 17:46:17	454.0	-70.9	6.7	17.8	
NOMAD	29	Egress	2018 DEC 02 18:15:48	2018 DEC 02 18:23:20	2018 DEC 02 18:17:29	452.0	125.9	44.2	7.5	
ACS	30	Ingress	2018 DEC 02 19:38:22	2018 DEC 02 19:45:58	2018 DEC 02 19:44:16	456.0	-99.8	7.2	17.8	
ACS	31	Egress	2018 DEC 02 20:13:44	2018 DEC 02 20:21:16	2018 DEC 02 20:15:25	452.0	97.0	43.9	7.5	
NOMAD	32	Ingress	2018 DEC 02 21:36:19	2018 DEC 02 21:43:54	2018 DEC 02 21:42:13	455.0	-128.7	7.7	17.8	
NOMAD	33	Egress	2018 DEC 02 22:11:40	2018 DEC 02 22:19:13	2018 DEC 02 22:13:21	453.0	68.0	43.5	7.5	
NOMAD	34	Ingress	2018 DEC 02 23:34:19	2018 DEC 02 23:41:54	2018 DEC 02 23:40:13	455.0	-157.6	8.2	17.8	
NOMAD	35	Egress	2018 DEC 03 00:09:39	2018 DEC 03 00:17:11	2018 DEC 03 00:11:20	452.0	39.0	43.2	7.5	
N/A	36	Ingress	2018 DEC 03 01:32:21	2018 DEC 03 01:39:56	2018 DEC 03 01:38:15	455.0	173.5	8.6	17.8	
N/A	37	Egress	2018 DEC 03 02:07:38	2018 DEC 03 02:15:11	2018 DEC 03 02:09:19	453.0	10.0	42.9	7.5	
ACS	38	Ingress	2018 DEC 03 03:30:22	2018 DEC 03 03:37:59	2018 DEC 03 03:36:17	457.0	144.7	9.0	17.8	
ACS	39	Egress	2018 DEC 03 04:05:38	2018 DEC 03 04:13:11	2018 DEC 03 04:07:19	453.0	-18.9	42.6	7.5	
N/A	40	Ingress	2018 DEC 03 05:28:22	2018 DEC 03 05:36:00	2018 DEC 03 05:34:18	458.0	115.8	9.3	17.7	
N/A	41	Egress	2018 DEC 03 06:03:37	2018 DEC 03 06:11:11	2018 DEC 03 06:05:18	454.0	-47.9	42.3	7.4	
NOMAD	42	Ingress	2018 DEC 03 07:26:21	2018 DEC 03 07:34:01	2018 DEC 03 07:32:18	460.0	86.9	9.8	17.7	
NOMAD	43	Egress	2018 DEC 03 08:01:34	2018 DEC 03 08:09:09	2018 DEC 03 08:03:16	455.0	-76.8	42.0	7.4	
ACS	44	Ingress	2018 DEC 03 09:24:19	2018 DEC 03 09:31:59	2018 DEC 03 09:30:17	460.0	58.0	10.4	17.7	
ACS	45	Egress	2018 DEC 03 09:59:29	2018 DEC 03 10:07:05	2018 DEC 03 10:01:11	456.0	-105.7	41.7	7.4	
NOMAD	46	Ingress	2018 DEC 03 11:22:18	2018 DEC 03 11:29:58	2018 DEC 03 11:28:15	460.0	29.1	10.9	17.7	
NOMAD	47	Egress	2018 DEC 03 11:57:27	2018 DEC 03 12:05:04	2018 DEC 03 11:59:09	457.0	-134.7	41.3	7.4	
N/A	48	Ingress	2018 DEC 03 13:20:20	2018 DEC 03 13:27:59	2018 DEC 03 13:26:17	459.0	0.2	11.3	17.7	
N/A	49	Egress	2018 DEC 03 13:55:29	2018 DEC 03 14:03:06	2018 DEC 03 13:57:11	457.0	-163.8	40.9	7.4	
N/A	50	Ingress	2018 DEC 03 15:18:24	2018 DEC 03 15:26:03	2018 DEC 03 15:24:21	459.0	-28.6	11.6	17.7	
N/A	51	Egress	2018 DEC 03 15:53:31	2018 DEC 03 16:01:09	2018 DEC 03 15:55:14	458.0	167.2	40.5	7.3	
NOMAD	52	Ingress	2018 DEC 03 17:16:27	2018 DEC 03 17:24:07	2018 DEC 03 17:22:24	460.0	-57.7	12.4	17.7	
NOMAD	53	Egress	2018 DEC 03 17:51:31	2018 DEC 03 17:59:10	2018 DEC 03 17:53:13	459.0	138.3	40.2	7.3	
ACS	54	Ingress	2018 DEC 03 19:14:27	2018 DEC 03 19:22:08	2018 DEC 03 19:20:25	461.0	-86.4	12.5	17.7	
ACS	55	Egress	2018 DEC 03 19:49:28	2018 DEC 03 19:57:09	2018 DEC 03 19:51:10	461.0	109.4	39.9	7.3	
NOMAD	56	Ingress	2018 DEC 03 21:12:23	2018 DEC 03 21:20:05	2018 DEC 03 21:18:22	462.0	-115.4	13.1	17.6	
NOMAD	57	Egress	2018 DEC 03 21:47:24	2018 DEC 03 21:55:05	2018 DEC 03 21:49:07	461.0	80.4	39.5	7.3	
ACS	58	Ingress	2018 DEC 03 23:10:22	2018 DEC 03 23:18:02	2018 DEC 03 23:16:19	460.0	-144.3	13.6	17.6	
ACS	59	Egress	2018 DEC 03 23:45:22	2018 DEC 03 23:53:03	2018 DEC 03 23:47:05	461.0	51.4	39.1	7.3	
N/A	60	Ingress	2018 DEC 04 01:08:22	2018 DEC 04 01:16:03	2018 DEC 04 01:14:20	461.0	-173.2	14.0	17.6	
N/A	61	Egress	2018 DEC 04 01:43:22	2018 DEC 04 01:51:02	2018 DEC 04 01:45:05	460.0	22.4	38.7	7.3	
NOMAD	62	Ingress	2018 DEC 04 03:06:24	2018 DEC 04 03:14:05	2018 DEC 04 03:12:22	461.0	158.0	14.4	17.6	
NOMAD	63	Egress	2018 DEC 04 03:41:22	2018 DEC 04 03:49:03	2018 DEC 04 03:43:05	461.0	-6.5	38.4	7.2	
N/A	64	Ingress	2018 DEC 04 05:04:24	2018 DEC 04 05:12:06	2018 DEC 04 05:10:23	462.0	129.1	14.8	17.6	
N/A	65	Egress	2018 DEC 04 05:39:23	2018 DEC 04 05:47:03	2018 DEC 04 05:41:06	460.0	-35.5	38.0	7.2	
ACS	66	Ingress	2018 DEC 04 07:02:23	2018 DEC 04 07:10:06	2018 DEC 04 07:08:23	463.0	100.2	15.2	17.6	
ACS	67	Egress	2018 DEC 04 07:37:21	2018 DEC 04 07:45:03	2018 DEC 04 07:39:04	462.0	-64.5	37.7	7.2	
NOMAD	68	Ingress	2018 DEC 04 09:00:21	2018 DEC 04 09:08:05	2018 DEC 04 09:06:21	464.0	71.3	15.7	17.6	
NOMAD	69	Egress	2018 DEC 04 09:35:18	2018 DEC 04 09:43:00	2018 DEC 04 09:37:01	462.0	-93.4	37.3	7.2	
NOMAD	70	Ingress	2018 DEC 04 10:58:19	2018 DEC 04 11:06:02	2018 DEC 04 11:04:19	463.0	42.4	16.3	17.6	
NOMAD	71	Egress	2018 DEC 04 11:33:15	2018 DEC 04 11:40:57	2018 DEC 04 11:34:58	462.0	-122.4	36.9	7.2	
N/A	72	Ingress	2018 DEC 04 12:56:20	2018 DEC 04 13:04:02	2018 DEC 04 13:02:18	462.0	13.5	16.7	17.5	
N/A	73	Egress	2018 DEC 04 13:31:17	2018 DEC 04 13:38:59	2018 DEC 04 13:33:00	462.0	-151.4	36.4	7.1	
N/A	74	Ingress	2018 DEC 04 14:54:22	2018 DEC 04 15:02:04	2018 DEC 04 15:00:21	462.0	-15.3	17.0	17.5	
N/A	75	Egress	2018 DEC 04 15:29:20	2018 DEC 04 15:37:02	2018 DEC 04 15:31:03	462.0	179.6	36.0	7.1	
N/A	76	Ingress	2018 DEC 04 16:52:26	2018 DEC 04 17:00:07	2018 DEC 04 16:58:24	461.0	-44.2	17.4	17.5	
N/A	77	Egress	2018 DEC 04 17:27:22	2018 DEC 04 17:35:05	2018 DEC 04 17:29:05	463.0	150.6	35.6	7.1	
ACS	78	Ingress	2018 DEC 04 18:50:27	2018 DEC 04 18:58:09	2018 DEC 04 18:56:26	462.0	-73.3	18.2	17.5	
ACS	79	Egress	2018 DEC 04 19:25:21	2018 DEC 04 19:33:05	2018 DEC 04 19:27:04	464.0	121.7	35.2	7.1	
NOMAD	80	Ingress	2018 DEC 04 20:48:25	2018 DEC 04 20:56:07	2018 DEC 04 20:54:24	462.0	-102.0	18.4	17.5	
NOMAD	81	Egress	2018 DEC 04 21:23:18	2018 DEC 04 21:31:03	2018 DEC 04 21:25:01	465.0	92.7	34.8	7.1	
ACS	82	Ingress	2018 DEC 04 22:46:21	2018 DEC 04 22:54:03	2018 DEC 04 22:52:20	462.0	-131.0	18.9	17.5	
ACS	83	Egress	2018 DEC 04 23:21:16	2018 DEC 04 23:29:00	2018 DEC 04 23:22:59	464.0	63.7	34.4	7.1	
N/A	84	Ingress	2018 DEC 05 00:44:21	2018 DEC 05 00:52:02	2018 DEC 05 00:50:19	461.0	-159.9	19.3	17.5	
N/A	85	Egress	2018 DEC 05 01:19:16	2018 DEC 05 01:26:59	2018 DEC 05 01:20:59	463.0	34.8	33.9	7.0	
NOMAD	86	Ingress	2018 DEC 05 02:42:22	2018 DEC 05 02:50:03	2018 DEC 05 02:48:20	461.0	171.2	19.7	17.5	
NOMAD	87	Egress	2018 DEC 05 03:17:17	2018 DEC 05 03:25:00	2018 DEC 05 03:19:00	463.0	5.8	33.6	7.0	
N/A	88	Ingress	2018 DEC 05 04:40:23	2018 DEC 05 04:48:04	2018 DEC 05 04:46:21	461.0	142.4	20.1	17.4	
N/A	89	Egress	2018 DEC 05 05:15:19	2018 DEC 05 05:23:01	2018 DEC 05 05:17:02	462.0	-23.1	33.1	7.0	
NOMAD	90	Ingress	2018 DEC 05 06:38:23	2018 DEC 05 06:46:04	2018 DEC 05 06:44:21	461.0	113.5	20.5	17.4	
NOMAD	91	Egress	2018 DEC 05 07:13:19	2018 DEC 05 07:21:01	2018 DEC 05 07:15:02	462.0	-52.1	32.7	7.0	
ACS	92	Ingress	2018 DEC 05 08:36:21	2018 DEC 05 08:44:03	2018 DEC 05 08:42:20	462.0	84.6	20.9	17.4	
ACS	93	Egress	2018 DEC 05 09:11:17	2018 DEC 05 09:19:00	2018 DEC 05 09:13:00	463.0	-81.0	32.3	7.0	
NOMAD	94	Ingress	2018 DEC 05 10:34:18	2018 DEC 05 10:42:00	2018 DEC 05 10:40:17	462.0	55.6	21.5	17.4	
NOMAD	95	Egress	2018 DEC 05 11:09:14	2018 DEC 05 11:16:57	2018 DEC 05 11:10:57	463.0	-110.0	31.9	7.0	
N/A	96	Ingress	2018 DEC 05 12:32:18	2018 DEC 05 12:39:58	2018 DEC 05 12:38:15	460.0	26.7	22.0	17.4	
N/A	97	Egress	2018 DEC 05 13:07:15	2018 DEC 05 13:14:57	2018 DEC 05 13:08:58	462.0	-139.0	31.4	6.9	
N/A	98	Ingress	2018 DEC 05 14:30:19	2018 DEC 05 14:37:58	2018 DEC 05 14:36:15	459.0	-2.1	22.3	17.4	
N/A	99	Egress	2018 DEC 05 15:05:19	2018 DEC 05 15:13:00	2018 DEC 05 15:07:01	461.0	-168.0	30.8	6.9	
N/A	100	Ingress	2018 DEC 05 16:28:22	2018 DEC 05 16:36:00	2018 DEC 05 16:34:18	458.0	-31.0	22.7	17.4	
N/A	101	Egress	2018 DEC 05 17:03:22	2018 DEC 05 17:11:04	2018 DEC 05 17:05:05	462.0	163.0	30.4	6.9	
ACS	102	Ingress	2018 DEC 05 18:26:24	2018 DEC 05 18:34:03	2018 DEC 05 18:32:20	459.0	-59.9	23.1	17.4	
ACS	103	Egress	2018 DEC 05 19:01:23	2018 DEC 05 19:09:06	2018 DEC 05 19:03:06	463.0	134.1	30.0	6.9	
NOMAD	104	Ingress	2018 DEC 05 20:24:24	2018 DEC 05 20:32:02	2018 DEC 05 20:30:19	458.0	-88.8	23.6	17.3	
NOMAD	105	Egress	2018 DEC 05 20:59:22	2018 DEC 05 21:07:05	2018 DEC 05 21:01:05	463.0	105.1	29.5	6.9	
ACS	106	Ingress	2018 DEC 05 22:22:19	2018 DEC 05 22:29:57	2018 DEC 05 22:28:14	458.0	-117.8	24.1	17.3	
ACS	107	Egress	2018 DEC 05 22:57:19	2018 DEC 05 23:05:02	2018 DEC 05 22:59:02	463.0	76.2	29.1	6.8	
N/A	108	Ingress	2018 DEC 06 00:20:17	2018 DEC 06 00:27:53	2018 DEC 06 00:26:11	456.0	-146.7	24.6	17.3	
N/A	109	Egress	2018 DEC 06 00:55:19	2018 DEC 06 01:03:00	2018 DEC 06 00:57:02	461.0	47.2	28.5	6.8	
NOMAD	110	Ingress	2018 DEC 06 02:18:17	2018 DEC 06 02:25:53	2018 DEC 06 02:24:11	456.0	-175.6	25.0	17.3	
NOMAD	111	Egress	2018 DEC 06 02:53:21	2018 DEC 06 03:01:01	2018 DEC 06 02:55:03	460.0	18.3	28.1	6.8	
NOMAD	112	Ingress	2018 DEC 06 04:16:18	2018 DEC 06 04:23:53	2018 DEC 06 04:22:11	455.0	155.6	25.3	17.3	
NOMAD	113	Egress	2018 DEC 06 04:51:23	2018 DEC 06 04:59:02	2018 DEC 06 04:53:05	459.0	-10.7	27.7	6.8	
N/A	114	Ingress	2018 DEC 06 06:14:18	2018 DEC 06 06:21:53	2018 DEC 06 06:20:11	455.0	126.7	25.6	17.3	
N/A	115	Egress	2018 DEC 06 06:49:25	2018 DEC 06 06:57:03	2018 DEC 06 06:51:07	458.0	-39.6	27.2	6.8	
ACS	116	Ingress	2018 DEC 06 08:12:16	2018 DEC 06 08:19:52	2018 DEC 06 08:18:10	456.0	97.8	26.1	17.3	
ACS	117	Egress	2018 DEC 06 08:47:24	2018 DEC 06 08:55:03	2018 DEC 06 08:49:06	459.0	-68.6	26.8	6.8	
NOMAD	118	Ingress	2018 DEC 06 10:10:14	2018 DEC 06 10:17:49	2018 DEC 06 10:16:07	455.0	69.1	26.2	17.3	
NOMAD	119	Egress	2018 DEC 06 10:45:22	2018 DEC 06 10:53:01	2018 DEC 06 10:47:04	459.0	-97.5	26.3	6.8	
N/A	120	Ingress	2018 DEC 06 12:08:11	2018 DEC 06 12:15:45	2018 DEC 06 12:14:04	454.0	40.1	26.7	17.2	
N/A	121	Egress	2018 DEC 06 12:43:21	2018 DEC 06 12:50:59	2018 DEC 06 12:45:03	458.0	-126.4	25.8	6.7	
ACS	122	Ingress	2018 DEC 06 14:06:11	2018 DEC 06 14:13:43	2018 DEC 06 14:12:01	452.0	11.2	27.1	17.2	
ACS	123	Egress	2018 DEC 06 14:41:25	2018 DEC 06 14:49:01	2018 DEC 06 14:43:06	456.0	-155.5	25.2	6.7	
N/A	124	Ingress	2018 DEC 06 16:04:13	2018 DEC 06 16:11:43	2018 DEC 06 16:10:02	450.0	-17.9	27.8	17.2	
N/A	125	Egress	2018 DEC 06 16:39:29	2018 DEC 06 16:47:05	2018 DEC 06 16:41:10	456.0	175.6	24.7	6.7	
N/A	126	Ingress	2018 DEC 06 18:02:16	2018 DEC 06 18:09:46	2018 DEC 06 18:08:05	450.0	-46.7	28.1	17.2	
N/A	127	Egress	2018 DEC 06 18:37:32	2018 DEC 06 18:45:08	2018 DEC 06 18:39:14	456.0	146.6	24.2	6.7	
