Obs Index	Obs Type Index	Orbit No	Obs Type	IR Status	UVIS Status	TC Start Time	UVIS Start Time	UVIS End Time	IR Precooling Time	IR Start Time	 IR Transition Time	IR End Time	New TC Start Time	New UVIS Start Time	New UVIS End Time	New IR Precooling Time	New IR Start Time	New IR End Time	IR Duration	UVIS Duration	New IR duration	New UVIS Duration	TC20 FIXED	TC20 SCI1	TC20 SCI2	SCI1 description	SCI2 description	
0	0	0	Dayside_Nadir	LNO_L	UVIS_L	2018 DEC 01 14:47:53	2018 DEC 01 14:48:03	2018 DEC 01 16:00:33	2018 DEC 01 14:48:03	2018 DEC 01 14:58:03	-	2018 DEC 01 16:00:33	Same	Same	2018 DEC 01 15:56:08	Same	Same	2018 DEC 01 15:56:08	3750.0	4350.0	3485.0	4085.0	1	1029	1029	Science: orders #167, #169, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	-	
1	2	1	Ingress	SO_O	UVIS_O	2018 DEC 01 15:56:13	2018 DEC 01 16:06:23	2018 DEC 01 16:13:45	2018 DEC 01 15:56:23	2018 DEC 01 16:06:23	2018 DEC 01 16:12:07	2018 DEC 01 16:13:45	Same	Same	Same	Same	Same	Same	442.0	442.0	442.0	442.0	1	1465	1465	Science: orders #132, #132, #132, #132, #132, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	-	
2	3	1	Egress	SO_O	UVIS_O	2018 DEC 01 16:32:12	2018 DEC 01 16:42:22	2018 DEC 01 16:49:39	2018 DEC 01 16:32:22	2018 DEC 01 16:42:22	2018 DEC 01 16:44:00	2018 DEC 01 16:49:39	Same	Same	Same	Same	Same	Same	437.0	437.0	437.0	437.0	1	1452	1453	Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	Science: orders #168, #134, #190, #121, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	
3	1	1	Dayside_Nadir	LNO_M	UVIS_L	2018 DEC 01 16:55:53	2018 DEC 01 16:56:03	2018 DEC 01 17:58:31	2018 DEC 01 16:56:03	2018 DEC 01 17:06:03	-	2018 DEC 01 17:46:03	Same	Same	Same	2018 DEC 01 16:59:36	2018 DEC 01 17:09:36	2018 DEC 01 17:44:57	2400.0	3748.0	2121.0	3748.0	1	1090	1090	Science: orders #121, #169, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	-	
4	2	2	Dayside_Nadir	OFF	UVIS_1	2018 DEC 01 18:53:51	2018 DEC 01 18:54:01	2018 DEC 01 19:56:27	-	-	-	-	Same	Same	2018 DEC 01 19:52:04	-	-	-	-	3746.0	-	3483.0	-	-	-	-	-	
5	2	2	Dayside_Nadir	OFF	UVIS_2	2018 DEC 01 18:53:51	2018 DEC 01 18:54:01	2018 DEC 01 19:56:27	-	-	-	-	Same	Same	2018 DEC 01 19:52:04	-	-	-	-	3746.0	-	3483.0	-	-	-	-	-	
6	2	2	Dayside_Nadir	OFF	UVIS_3	2018 DEC 01 18:53:51	2018 DEC 01 18:54:01	2018 DEC 01 19:56:27	-	-	-	-	Same	Same	2018 DEC 01 19:52:04	-	-	-	-	3746.0	-	3483.0	-	-	-	-	-	
7	6	3	Ingress	SO_O	UVIS_O	2018 DEC 01 19:52:09	2018 DEC 01 20:02:19	2018 DEC 01 20:09:45	2018 DEC 01 19:52:19	2018 DEC 01 20:02:19	2018 DEC 01 20:08:06	2018 DEC 01 20:09:45	Same	Same	Same	Same	Same	Same	446.0	446.0	446.0	446.0	1	1176	1176	Science: orders #168, #133, #134, #135, #136, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	-	
8	7	3	Egress	SO_O	UVIS_O	2018 DEC 01 20:28:01	2018 DEC 01 20:38:11	2018 DEC 01 20:45:32	2018 DEC 01 20:28:11	2018 DEC 01 20:38:11	2018 DEC 01 20:39:50	2018 DEC 01 20:45:32	Same	Same	Same	Same	Same	Same	441.0	441.0	441.0	441.0	1	3951	3951	Science: orders #168, #134, #190, #121, #165, #149, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	-	
9	3	3	Dayside_Nadir	LNO_M	UVIS_L	2018 DEC 01 20:51:45	2018 DEC 01 20:51:55	2018 DEC 01 21:54:23	2018 DEC 01 20:51:55	2018 DEC 01 21:01:55	-	2018 DEC 01 21:41:55	Same	Same	Same	2018 DEC 01 20:55:32	2018 DEC 01 21:05:32	2018 DEC 01 21:40:45	2400.0	3748.0	2113.0	3748.0	1	1779	1779	Science: orders #167, #121, #190, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	-	
