UTC TIME WHEN LNO OBSERVING CLOSE TO CURIOSITY, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2020 JUN 15 00:26:30, 55.2, 15.6, #134 #168
2020 JUN 20 02:16:13, 38.5, 14.5, #134 #136
2020 JUN 22 03:23:52, 32.3, 14.0, #134 #136
2020 JUN 25 04:05:38, 21.9, 13.3, #136 #190
2020 JUN 29 06:21:40, 14.9, 12.4, #134 #190
2020 JUL 06 09:19:55, 23.1, 10.8, #134 #190
2020 JUL 08 10:28:19, 29.4, 10.4, #134 #190
2020 JUL 11 11:10:06, 37.3, 9.7, #136 #190
