UTC TIME WHEN LNO OBSERVING CLOSE TO INSIGHT, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2020 JUN 15 00:29:00, 59.6, 15.8, #134 #168
2020 JUN 17 01:36:49, 53.7, 15.3, #167 #169
2020 JUN 20 02:18:43, 43.5, 14.6, #134 #136
2020 JUN 22 03:26:52, 38.9, 14.2, #134 #136
2020 JUN 24 04:34:54, 34.6, 13.8, #167 #169 #190
2020 JUN 29 06:24:40, 24.1, 12.6, #134 #190
2020 JUL 06 09:22:55, 28.7, 11.0, #134 #190
2020 JUL 08 10:30:19, 32.4, 10.5, #134 #190
2020 JUL 10 11:39:11, 39.2, 10.1, #167 #169
