TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2021 JAN 24 15:24:00,13,13
2021 JAN 24 17:21:00,14,14
2021 JAN 24 19:18:00,15,15
2021 JAN 25 22:51:00,29,29
2021 JAN 26 10:42:00,35,35
2021 JAN 26 12:39:00,36,36
2021 JAN 27 14:12:00,49,49
2021 JAN 28 07:57:00,58,58
2021 JAN 29 05:33:00,69,69
2021 JAN 29 09:30:00,71,71
2021 JAN 29 11:27:00,72,72
2021 JAN 31 02:48:00,92,92
2021 JAN 31 04:45:00,93,93
2021 FEB 02 23:36:00,127,127
2021 FEB 04 16:54:00,148,148
2021 FEB 10 01:57:00,214,214
2021 FEB 11 06:09:00,228,228
2021 FEB 11 12:03:00,231,231
2021 FEB 16 00:09:00,286,286
2021 FEB 16 06:03:00,289,289
