Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Thermal orbit number,Thermal orbit start (TDN2(n)+2min),Thermal orbit end (TDN2(n+1)+2min-1s),Thermal orbit duration (s),Nightside nadir start = TD2N(n),Nightside nadir end = TN2D(n)-1s,Nightside duration (s),Dayside nadir start = TN2D(n),Dayside nadir end = TD2N(n+1)-1s,Dayside duration (s),Dayside nadir min. phase angle (deg),Dayside nadir min. phase angle time (UTC)
3,3,1,2018 DEC 29 14:14:47,2018 DEC 29 16:12:40,7073,2018 DEC 29 14:12:47,2018 DEC 29 15:11:53,3546,2018 DEC 29 15:11:54,2018 DEC 29 16:10:40,3526,3.5553,2018 DEC 29 15:41:04
1,1,2,2018 DEC 29 16:12:41,2018 DEC 29 18:10:32,7071,2018 DEC 29 16:10:41,2018 DEC 29 17:09:47,3546,2018 DEC 29 17:09:48,2018 DEC 29 18:08:32,3524,3.7948,2018 DEC 29 17:38:57
4,4,3,2018 DEC 29 18:10:33,2018 DEC 29 20:08:23,7070,2018 DEC 29 18:08:33,2018 DEC 29 19:07:37,3544,2018 DEC 29 19:07:38,2018 DEC 29 20:06:23,3525,4.0283,2018 DEC 29 19:36:47
1,1,4,2018 DEC 29 20:08:24,2018 DEC 29 22:06:13,7069,2018 DEC 29 20:06:24,2018 DEC 29 21:05:27,3543,2018 DEC 29 21:05:28,2018 DEC 29 22:04:13,3525,4.2845,2018 DEC 29 21:34:36
4,4,5,2018 DEC 29 22:06:14,2018 DEC 30 00:04:07,7073,2018 DEC 29 22:04:14,2018 DEC 29 23:03:19,3545,2018 DEC 29 23:03:20,2018 DEC 30 00:02:07,3527,4.5529,2018 DEC 29 23:32:30
1,1,6,2018 DEC 30 00:04:08,2018 DEC 30 02:02:03,7075,2018 DEC 30 00:02:08,2018 DEC 30 01:01:14,3546,2018 DEC 30 01:01:15,2018 DEC 30 02:00:03,3528,4.8248,2018 DEC 30 01:30:26
4,4,7,2018 DEC 30 02:02:04,2018 DEC 30 03:59:57,7073,2018 DEC 30 02:00:04,2018 DEC 30 02:59:08,3544,2018 DEC 30 02:59:09,2018 DEC 30 03:57:57,3528,5.0953,2018 DEC 30 03:28:20
4,4,8,2018 DEC 30 03:59:58,2018 DEC 30 05:57:49,7071,2018 DEC 30 03:57:58,2018 DEC 30 04:57:01,3543,2018 DEC 30 04:57:02,2018 DEC 30 05:55:49,3527,5.3497,2018 DEC 30 05:26:12
1,1,9,2018 DEC 30 05:57:50,2018 DEC 30 07:55:39,7069,2018 DEC 30 05:55:50,2018 DEC 30 06:54:53,3543,2018 DEC 30 06:54:54,2018 DEC 30 07:53:39,3525,5.5863,2018 DEC 30 07:24:02
4,4,10,2018 DEC 30 07:55:40,2018 DEC 30 09:53:30,7070,2018 DEC 30 07:53:40,2018 DEC 30 08:52:42,3542,2018 DEC 30 08:52:43,2018 DEC 30 09:51:30,3527,5.824,2018 DEC 30 09:21:52
1,1,11,2018 DEC 30 09:53:31,2018 DEC 30 11:51:22,7071,2018 DEC 30 09:51:31,2018 DEC 30 10:50:32,3541,2018 DEC 30 10:50:33,2018 DEC 30 11:49:22,3529,6.0952,2018 DEC 30 11:19:44
4,4,12,2018 DEC 30 11:51:23,2018 DEC 30 13:49:16,7073,2018 DEC 30 11:49:23,2018 DEC 30 12:48:27,3544,2018 DEC 30 12:48:28,2018 DEC 30 13:47:16,3528,6.3827,2018 DEC 30 13:17:38
4,4,13,2018 DEC 30 13:49:17,2018 DEC 30 15:47:11,7074,2018 DEC 30 13:47:17,2018 DEC 30 14:46:23,3546,2018 DEC 30 14:46:24,2018 DEC 30 15:45:11,3527,6.6525,2018 DEC 30 15:15:33
1,1,14,2018 DEC 30 15:47:12,2018 DEC 30 17:45:04,7072,2018 DEC 30 15:45:12,2018 DEC 30 16:44:18,3546,2018 DEC 30 16:44:19,2018 DEC 30 17:43:04,3525,6.8986,2018 DEC 30 17:13:28
4,4,15,2018 DEC 30 17:45:05,2018 DEC 30 19:42:54,7069,2018 DEC 30 17:43:05,2018 DEC 30 18:42:09,3544,2018 DEC 30 18:42:10,2018 DEC 30 19:40:54,3524,7.132,2018 DEC 30 19:11:19
1,1,16,2018 DEC 30 19:42:55,2018 DEC 30 21:40:44,7069,2018 DEC 30 19:40:55,2018 DEC 30 20:39:58,3543,2018 DEC 30 20:39:59,2018 DEC 30 21:38:44,3525,7.378,2018 DEC 30 21:09:07
1,1,17,2018 DEC 30 21:40:45,2018 DEC 30 23:38:36,7071,2018 DEC 30 21:38:45,2018 DEC 30 22:37:49,3544,2018 DEC 30 22:37:50,2018 DEC 30 23:36:36,3526,7.6445,2018 DEC 30 23:06:59
4,4,18,2018 DEC 30 23:38:37,2018 DEC 31 01:36:31,7074,2018 DEC 30 23:36:37,2018 DEC 31 00:35:42,3545,2018 DEC 31 00:35:43,2018 DEC 31 01:34:31,3528,7.916,2018 DEC 31 01:04:54
7,7,19,2018 DEC 31 01:36:32,2018 DEC 31 03:34:27,7075,2018 DEC 31 01:34:32,2018 DEC 31 02:33:37,3545,2018 DEC 31 02:33:38,2018 DEC 31 03:32:27,3529,8.1909,2018 DEC 31 03:02:49
17,17,20,2018 DEC 31 03:34:28,2018 DEC 31 05:32:20,7072,2018 DEC 31 03:32:28,2018 DEC 31 04:31:31,3543,2018 DEC 31 04:31:32,2018 DEC 31 05:30:20,3528,8.4559,2018 DEC 31 05:00:42
1,1,21,2018 DEC 31 05:32:21,2018 DEC 31 07:30:11,7070,2018 DEC 31 05:30:21,2018 DEC 31 06:29:23,3542,2018 DEC 31 06:29:24,2018 DEC 31 07:28:11,3527,8.7008,2018 DEC 31 06:58:33
4,4,22,2018 DEC 31 07:30:12,2018 DEC 31 09:28:00,7068,2018 DEC 31 07:28:12,2018 DEC 31 08:27:13,3541,2018 DEC 31 08:27:14,2018 DEC 31 09:26:00,3526,8.9359,2018 DEC 31 08:56:23
1,1,23,2018 DEC 31 09:28:01,2018 DEC 31 11:25:52,7071,2018 DEC 31 09:26:01,2018 DEC 31 10:25:02,3541,2018 DEC 31 10:25:03,2018 DEC 31 11:23:52,3529,9.1941,2018 DEC 31 10:54:14
1,1,24,2018 DEC 31 11:25:53,2018 DEC 31 13:23:46,7073,2018 DEC 31 11:23:53,2018 DEC 31 12:22:55,3542,2018 DEC 31 12:22:56,2018 DEC 31 13:21:46,3530,9.4838,2018 DEC 31 12:52:07
4,4,25,2018 DEC 31 13:23:47,2018 DEC 31 15:21:40,7073,2018 DEC 31 13:21:47,2018 DEC 31 14:20:51,3544,2018 DEC 31 14:20:52,2018 DEC 31 15:19:40,3528,9.7641,2018 DEC 31 14:50:02
4,4,26,2018 DEC 31 15:21:41,2018 DEC 31 17:19:34,7073,2018 DEC 31 15:19:41,2018 DEC 31 16:18:47,3546,2018 DEC 31 16:18:48,2018 DEC 31 17:17:34,3526,10.0217,2018 DEC 31 16:47:58
1,1,27,2018 DEC 31 17:19:35,2018 DEC 31 19:17:26,7071,2018 DEC 31 17:17:35,2018 DEC 31 18:16:40,3545,2018 DEC 31 18:16:41,2018 DEC 31 19:15:26,3525,10.2634,2018 DEC 31 18:45:50
4,4,28,2018 DEC 31 19:17:27,2018 DEC 31 21:15:16,7069,2018 DEC 31 19:15:27,2018 DEC 31 20:14:30,3543,2018 DEC 31 20:14:31,2018 DEC 31 21:13:16,3525,10.5024,2018 DEC 31 20:43:40
1,1,29,2018 DEC 31 21:15:17,2018 DEC 31 23:13:07,7070,2018 DEC 31 21:13:17,2018 DEC 31 22:12:19,3542,2018 DEC 31 22:12:20,2018 DEC 31 23:11:07,3527,10.7637,2018 DEC 31 22:41:29
4,4,30,2018 DEC 31 23:13:08,2019 JAN 01 01:11:01,7073,2018 DEC 31 23:11:08,2019 JAN 01 00:10:12,3544,2019 JAN 01 00:10:13,2019 JAN 01 01:09:01,3528,11.034,2019 JAN 01 00:39:23
17,17,31,2019 JAN 01 01:11:02,2019 JAN 01 03:08:56,7074,2019 JAN 01 01:09:02,2019 JAN 01 02:08:06,3544,2019 JAN 01 02:08:07,2019 JAN 01 03:06:56,3529,11.3098,2019 JAN 01 02:37:19
4,4,32,2019 JAN 01 03:08:57,2019 JAN 01 05:06:50,7073,2019 JAN 01 03:06:57,2019 JAN 01 04:06:01,3544,2019 JAN 01 04:06:02,2019 JAN 01 05:04:50,3528,11.5829,2019 JAN 01 04:35:12
1,1,33,2019 JAN 01 05:06:51,2019 JAN 01 07:04:42,7071,2019 JAN 01 05:04:51,2019 JAN 01 06:03:53,3542,2019 JAN 01 06:03:54,2019 JAN 01 07:02:42,3528,11.8386,2019 JAN 01 06:33:04
1,1,34,2019 JAN 01 07:04:43,2019 JAN 01 09:02:32,7069,2019 JAN 01 07:02:43,2019 JAN 01 08:01:44,3541,2019 JAN 01 08:01:45,2019 JAN 01 09:00:32,3527,12.077,2019 JAN 01 08:30:54
4,4,35,2019 JAN 01 09:02:33,2019 JAN 01 11:00:22,7069,2019 JAN 01 09:00:33,2019 JAN 01 09:59:33,3540,2019 JAN 01 09:59:34,2019 JAN 01 10:58:22,3528,12.3209,2019 JAN 01 10:28:44
1,1,36,2019 JAN 01 11:00:23,2019 JAN 01 12:58:15,7072,2019 JAN 01 10:58:23,2019 JAN 01 11:57:24,3541,2019 JAN 01 11:57:25,2019 JAN 01 12:56:15,3530,12.5969,2019 JAN 01 12:26:36
4,4,37,2019 JAN 01 12:58:16,2019 JAN 01 14:56:09,7073,2019 JAN 01 12:56:16,2019 JAN 01 13:55:19,3543,2019 JAN 01 13:55:20,2019 JAN 01 14:54:09,3529,12.8843,2019 JAN 01 14:24:30
4,4,38,2019 JAN 01 14:56:10,2019 JAN 01 16:54:03,7073,2019 JAN 01 14:54:10,2019 JAN 01 15:53:14,3544,2019 JAN 01 15:53:15,2019 JAN 01 16:52:03,3528,13.1534,2019 JAN 01 16:22:25
1,1,39,2019 JAN 01 16:54:04,2019 JAN 01 18:51:55,7071,2019 JAN 01 16:52:04,2019 JAN 01 17:51:08,3544,2019 JAN 01 17:51:09,2019 JAN 01 18:49:55,3526,13.4022,2019 JAN 01 18:20:19
1,1,40,2019 JAN 01 18:51:56,2019 JAN 01 20:49:45,7069,2019 JAN 01 18:49:56,2019 JAN 01 19:48:59,3543,2019 JAN 01 19:49:00,2019 JAN 01 20:47:45,3525,13.6399,2019 JAN 01 20:18:09
4,4,41,2019 JAN 01 20:49:46,2019 JAN 01 22:47:35,7069,2019 JAN 01 20:47:46,2019 JAN 01 21:46:48,3542,2019 JAN 01 21:46:49,2019 JAN 01 22:45:35,3526,13.8918,2019 JAN 01 22:15:57
1,1,42,2019 JAN 01 22:47:36,2019 JAN 02 00:45:28,7072,2019 JAN 01 22:45:36,2019 JAN 01 23:44:39,3543,2019 JAN 01 23:44:40,2019 JAN 02 00:43:28,3528,14.16,2019 JAN 02 00:13:50
17,17,43,2019 JAN 02 00:45:29,2019 JAN 02 02:43:23,7074,2019 JAN 02 00:43:29,2019 JAN 02 01:42:33,3544,2019 JAN 02 01:42:34,2019 JAN 02 02:41:23,3529,14.4338,2019 JAN 02 02:11:45
4,4,44,2019 JAN 02 02:43:24,2019 JAN 02 04:41:18,7074,2019 JAN 02 02:41:24,2019 JAN 02 03:40:27,3543,2019 JAN 02 03:40:28,2019 JAN 02 04:39:18,3530,14.7113,2019 JAN 02 04:09:39
1,1,45,2019 JAN 02 04:41:19,2019 JAN 02 06:39:10,7071,2019 JAN 02 04:39:19,2019 JAN 02 05:38:20,3541,2019 JAN 02 05:38:21,2019 JAN 02 06:37:10,3529,14.9773,2019 JAN 02 06:07:32
4,4,46,2019 JAN 02 06:39:11,2019 JAN 02 08:37:01,7070,2019 JAN 02 06:37:11,2019 JAN 02 07:36:12,3541,2019 JAN 02 07:36:13,2019 JAN 02 08:35:01,3528,15.2231,2019 JAN 02 08:05:22
3,3,47,2019 JAN 02 08:37:02,2019 JAN 02 10:34:50,7068,2019 JAN 02 08:35:02,2019 JAN 02 09:34:01,3539,2019 JAN 02 09:34:02,2019 JAN 02 10:32:50,3528,15.4612,2019 JAN 02 10:03:12
4,4,48,2019 JAN 02 10:34:51,2019 JAN 02 12:32:42,7071,2019 JAN 02 10:32:51,2019 JAN 02 11:31:51,3540,2019 JAN 02 11:31:52,2019 JAN 02 12:30:42,3530,15.7254,2019 JAN 02 12:01:03
1,1,49,2019 JAN 02 12:32:43,2019 JAN 02 14:30:36,7073,2019 JAN 02 12:30:43,2019 JAN 02 13:29:45,3542,2019 JAN 02 13:29:46,2019 JAN 02 14:28:36,3530,16.0163,2019 JAN 02 13:58:57
1,1,50,2019 JAN 02 14:30:37,2019 JAN 02 16:28:31,7074,2019 JAN 02 14:28:37,2019 JAN 02 15:27:41,3544,2019 JAN 02 15:27:42,2019 JAN 02 16:26:31,3529,16.2959,2019 JAN 02 15:56:52
4,4,51,2019 JAN 02 16:28:32,2019 JAN 02 18:26:24,7072,2019 JAN 02 16:26:32,2019 JAN 02 17:25:36,3544,2019 JAN 02 17:25:37,2019 JAN 02 18:24:24,3527,16.5544,2019 JAN 02 17:54:47
1,1,52,2019 JAN 02 18:26:25,2019 JAN 02 20:24:15,7070,2019 JAN 02 18:24:25,2019 JAN 02 19:23:28,3543,2019 JAN 02 19:23:29,2019 JAN 02 20:22:15,3526,16.7973,2019 JAN 02 19:52:39
4,4,53,2019 JAN 02 20:24:16,2019 JAN 02 22:22:04,7068,2019 JAN 02 20:22:16,2019 JAN 02 21:21:17,3541,2019 JAN 02 21:21:18,2019 JAN 02 22:20:04,3526,17.0415,2019 JAN 02 21:50:27
4,4,54,2019 JAN 02 22:22:05,2019 JAN 03 00:19:55,7070,2019 JAN 02 22:20:05,2019 JAN 02 23:19:07,3542,2019 JAN 02 23:19:08,2019 JAN 03 00:17:55,3527,17.3062,2019 JAN 02 23:48:17
1,1,55,2019 JAN 03 00:19:56,2019 JAN 03 02:17:50,7074,2019 JAN 03 00:17:56,2019 JAN 03 01:17:00,3544,2019 JAN 03 01:17:01,2019 JAN 03 02:15:50,3529,17.5775,2019 JAN 03 01:46:12
1,1,56,2019 JAN 03 02:17:51,2019 JAN 03 04:15:45,7074,2019 JAN 03 02:15:51,2019 JAN 03 03:14:54,3543,2019 JAN 03 03:14:55,2019 JAN 03 04:13:45,3530,17.8565,2019 JAN 03 03:44:07
4,4,57,2019 JAN 03 04:15:46,2019 JAN 03 06:13:39,7073,2019 JAN 03 04:13:46,2019 JAN 03 05:12:48,3542,2019 JAN 03 05:12:49,2019 JAN 03 06:11:39,3530,18.1311,2019 JAN 03 05:42:00
1,1,58,2019 JAN 03 06:13:40,2019 JAN 03 08:11:30,7070,2019 JAN 03 06:11:40,2019 JAN 03 07:10:40,3540,2019 JAN 03 07:10:41,2019 JAN 03 08:09:30,3529,18.3877,2019 JAN 03 07:39:51
4,4,59,2019 JAN 03 08:11:31,2019 JAN 03 10:09:19,7068,2019 JAN 03 08:09:31,2019 JAN 03 09:08:30,3539,2019 JAN 03 09:08:31,2019 JAN 03 10:07:19,3528,18.628,2019 JAN 03 09:37:41
4,4,60,2019 JAN 03 10:09:20,2019 JAN 03 12:07:10,7070,2019 JAN 03 10:07:20,2019 JAN 03 11:06:19,3539,2019 JAN 03 11:06:20,2019 JAN 03 12:05:10,3530,18.8782,2019 JAN 03 11:35:31
1,1,61,2019 JAN 03 12:07:11,2019 JAN 03 14:05:03,7072,2019 JAN 03 12:05:11,2019 JAN 03 13:04:11,3540,2019 JAN 03 13:04:12,2019 JAN 03 14:03:03,3531,19.1591,2019 JAN 03 13:33:23
4,4,62,2019 JAN 03 14:05:04,2019 JAN 03 16:02:57,7073,2019 JAN 03 14:03:04,2019 JAN 03 15:02:06,3542,2019 JAN 03 15:02:07,2019 JAN 03 16:00:57,3530,19.4461,2019 JAN 03 15:31:17
1,1,63,2019 JAN 03 16:02:58,2019 JAN 03 18:00:51,7073,2019 JAN 03 16:00:58,2019 JAN 03 17:00:01,3543,2019 JAN 03 17:00:02,2019 JAN 03 17:58:51,3529,19.7148,2019 JAN 03 17:29:12
1,1,64,2019 JAN 03 18:00:52,2019 JAN 03 19:58:43,7071,2019 JAN 03 17:58:52,2019 JAN 03 18:57:55,3543,2019 JAN 03 18:57:56,2019 JAN 03 19:56:43,3527,19.966,2019 JAN 03 19:27:05
