Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	21	Nightside	2019 NOV 02 15:07:25	2019 NOV 02 15:36:45	2019 NOV 02 16:06:05	3519.95	67.17	95.80	-127.32	60.30	-24.02	-60.37	115.18	4.81	3	-	-	-		
1	21	Dayside	2019 NOV 02 16:06:05	2019 NOV 02 16:35:39	2019 NOV 02 17:05:13	3548.46	-127.32	-98.21	38.13	-60.37	25.36	60.42	64.71	16.83	3	Nominal 3SUBD 01	Science: orders #167, #169, #190, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 88: NADIR: Horizontal Bin (57:240;0:1047), Tint = 10000 ms,20 bit,Rhythm = 11964 ms, Binning=3		
2	21	Nightside	2019 NOV 02 17:05:13	2019 NOV 02 17:34:33	2019 NOV 02 18:03:53	3519.81	38.13	66.85	-156.40	60.42	-23.91	-60.50	115.39	4.79	5	-	-	-		
2	21	Dayside	2019 NOV 02 18:03:53	2019 NOV 02 18:33:26	2019 NOV 02 19:03:00	3547.37	-156.40	-127.18	8.85	-60.50	25.14	60.61	64.51	16.81	5	Nominal 6SUBD 01	Science: orders #149, #134, #168, #119, #190, #196, with 220000us integration time (6 orders per 15 second(s) for detector lines 80 to 224)	COP row 95: NADIR: Horizontal Bin (57:240;0:1047), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
3	21	Nightside	2019 NOV 02 19:03:00	2019 NOV 02 19:32:21	2019 NOV 02 20:01:41	3520.83	8.85	37.87	174.30	60.61	-23.66	-60.70	115.60	4.77	14	-	-	-		
3	21	Dayside	2019 NOV 02 20:01:41	2019 NOV 02 20:31:16	2019 NOV 02 21:00:50	3549.50	174.30	-156.18	-20.43	-60.70	24.90	60.80	64.29	16.79	14	-		COP row 88: NADIR: Horizontal Bin (57:240;0:1047), Tint = 10000 ms,20 bit,Rhythm = 11964 ms, Binning=3		
4	21	Nightside	2019 NOV 02 21:00:50	2019 NOV 02 21:30:12	2019 NOV 02 21:59:33	3522.11	-20.43	8.84	144.99	60.80	-23.38	-60.89	115.81	4.75	5	-	-	-		
4	21	Dayside	2019 NOV 02 21:59:33	2019 NOV 02 22:29:08	2019 NOV 02 22:58:43	3550.80	144.99	174.81	-49.60	-60.89	24.72	60.94	64.06	16.77	5	Ice CH4 2SUBD #1	Science: orders #193, #136, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 95: NADIR: Horizontal Bin (57:240;0:1047), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
5	21	Nightside	2019 NOV 02 22:58:43	2019 NOV 02 23:28:05	2019 NOV 02 23:57:27	3523.85	-49.60	-20.18	115.86	60.94	-23.20	-61.02	116.05	4.73	5	-	-	-		
5	21	Dayside	2019 NOV 02 23:57:27	2019 NOV 03 00:27:02	2019 NOV 03 00:56:37	3549.52	115.86	145.80	-78.66	-61.02	24.59	61.06	63.82	16.75	5	-		COP row 88: NADIR: Horizontal Bin (57:240;0:1047), Tint = 10000 ms,20 bit,Rhythm = 11964 ms, Binning=3	&mergedMatch:VERNAL CRATER; 	
