MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2020 SEP 08 03:22:07,2020 SEP 08 03:27:07,31,31
2020 SEP 10 18:15:31,2020 SEP 10 18:20:31,63,63
2020 SEP 11 23:52:23,2020 SEP 11 23:57:23,78,78
2020 SEP 12 03:43:07,2020 SEP 12 03:48:07,80,80
2020 SEP 12 11:37:05,2020 SEP 12 11:42:05,84,84
2020 SEP 13 03:30:41,2020 SEP 13 03:35:41,92,92
2020 SEP 13 09:18:33,2020 SEP 13 09:23:33,95,95
2020 SEP 15 20:21:33,2020 SEP 15 20:26:33,125,125
2020 SEP 16 06:02:49,2020 SEP 16 06:07:49,130,130
2020 SEP 16 17:55:57,2020 SEP 16 18:00:57,136,136
2020 SEP 18 05:24:24,2020 SEP 18 05:29:24,154,154
2020 SEP 18 19:03:55,2020 SEP 18 19:08:55,161,161
2020 SEP 20 04:35:20,2020 SEP 20 04:40:20,178,178
2020 SEP 20 12:30:00,2020 SEP 20 12:35:00,182,182
2020 SEP 23 11:19:00,2020 SEP 23 11:24:00,218,218
2020 SEP 26 04:12:42,2020 SEP 26 04:17:42,251,251
2020 SEP 26 12:02:26,2020 SEP 26 12:07:26,255,255
2020 SEP 27 17:31:52,2020 SEP 27 17:36:52,270,270
2020 SEP 27 21:28:14,2020 SEP 27 21:33:14,272,272
2020 SEP 29 00:55:12,2020 SEP 29 01:00:12,286,286
2020 SEP 29 08:51:29,2020 SEP 29 08:56:29,290,290
2020 SEP 29 18:41:56,2020 SEP 29 18:46:56,295,295
2020 SEP 30 00:36:03,2020 SEP 30 00:41:03,298,298
2020 SEP 30 08:27:12,2020 SEP 30 08:32:12,302,302
2020 SEP 30 18:16:36,2020 SEP 30 18:21:36,307,307
2020 OCT 01 04:04:36,2020 OCT 01 04:09:36,312,312
2020 OCT 01 09:58:55,2020 OCT 01 10:03:55,315,315
2020 OCT 02 07:39:25,2020 OCT 02 07:44:25,326,326
2020 OCT 02 11:34:46,2020 OCT 02 11:37:15,328,328
2020 OCT 02 15:27:26,2020 OCT 02 15:32:26,330,330
2020 OCT 02 21:23:37,2020 OCT 02 21:28:37,333,333
