TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2022 DEC 24 17:36:00,1,1
2022 DEC 24 19:33:00,2,2
2022 DEC 24 21:30:00,3,3
2022 DEC 26 07:00:00,20,20
2022 DEC 26 08:57:00,21,21
2022 DEC 26 10:54:00,22,22
2022 DEC 28 00:18:00,41,41
2022 DEC 28 02:15:00,42,42
2022 DEC 29 11:42:00,59,59
2022 DEC 29 13:39:00,60,60
2022 DEC 31 02:57:00,79,79
2022 DEC 31 06:57:00,81,81
2023 JAN 01 20:18:00,100,100
2023 JAN 15 16:30:00,269,269
2023 JAN 18 21:09:00,308,308
2023 JAN 19 03:03:00,311,311
