S/C,UTC,UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
MRO,2022 OCT 08 00:21:00,-73.2717,165.9742,253.7567,1.7769,88.1913,7.8312e-15,88.1913
TGO,2022 OCT 08 00:03:00,-73.3904,167.7807,380.0657,1.6056,88.3815,2.8642,91.1255

MRO,2022 OCT 11 05:54:00,68.9688,-64.3026,311.0122,13.8925,87.6308,1.7992e-14,87.6308
TGO,2022 OCT 11 05:42:00,70.3156,-64.9694,434.0301,13.6533,88.3053,0.15929,88.2594

MRO,2022 OCT 16 03:36:00,57.3518,20.2417,305.8953,14.0703,77.1798,7.3377e-14,77.1798
TGO,2022 OCT 16 03:42:00,56.2757,19.5901,424.8515,14.1242,76.4895,2.8857,79.0457

MRO,2022 OCT 19 00:42:00,45.1456,92.8695,295.6113,14.1594,66.8116,4.2679e-14,66.8116
TGO,2022 OCT 19 00:33:00,44.9152,94.057,418.6157,14.0928,66.229,0.14262,66.0958

MRO,2022 OCT 20 10:18:00,36.6554,-36.8584,289.8557,14.2106,60.0168,6.0347e-14,60.0168
TGO,2022 OCT 20 10:00:00,37.3764,-35.156,415.1692,14.0319,59.3422,0.36982,59.6669

MRO,2022 OCT 21 21:42:00,14.8481,167.5963,275.3702,14.2922,44.6936,3.0005e-14,44.6936
TGO,2022 OCT 21 21:30:00,14.8972,169.4391,399.2968,14.2206,43.9215,0.11369,43.962

MRO,2022 OCT 23 09:06:00,-7.3548,11.8663,262.438,14.3619,35.3449,2.163e-14,35.3449
TGO,2022 OCT 23 09:00:00,-7.8215,12.7981,386.7448,14.3267,34.7294,2.2881,32.4814

MRO,2022 OCT 24 20:30:00,-29.3111,-143.7749,253.8673,14.4381,37.4658,7.8231e-14,37.4658
TGO,2022 OCT 24 20:30:00,-30.4651,-143.1806,381.2761,14.4775,38.3154,3.6508,35.0383

MRO,2022 OCT 26 06:03:00,-47.8566,87.9715,249.9763,14.5394,47.1613,8.9991e-14,47.1613
TGO,2022 OCT 26 06:00:00,-46.7983,89.9345,377.5453,14.6217,47.2607,0.83926,47.3455

MRO,2022 OCT 27 17:33:00,-50.8396,-70.0268,248.5353,14.5561,49.3001,4.5677e-14,49.3001
TGO,2022 OCT 27 17:24:00,-51.3547,-68.1465,379.4188,14.5356,49.4579,1.6397,48.4184

MRO,2022 OCT 29 08:45:00,-60.8987,79.368,249.2363,14.6669,56.666,6.0535e-14,56.666
TGO,2022 OCT 29 08:45:00,-59.6983,79.0338,378.4215,14.6447,55.7568,1.2389,56.0052

