TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2024 AUG 03 18:42:00,2,2
2024 AUG 03 22:36:00,4,4
2024 AUG 03 22:39:00,4,4
2024 AUG 04 00:36:00,5,5
2024 AUG 04 04:33:00,7,7
2024 AUG 05 04:09:00,19,19
2024 AUG 05 08:06:00,21,21
2024 AUG 05 10:06:00,22,22
2024 AUG 05 12:03:00,23,23
2024 AUG 05 14:03:00,24,24
2024 AUG 05 16:00:00,25,25
2024 AUG 05 17:57:00,26,26
2024 AUG 06 23:33:00,41,41
2024 AUG 07 03:27:00,43,43
2024 AUG 07 05:24:00,44,44
2024 AUG 07 07:21:00,45,45
2024 AUG 08 10:57:00,59,59
2024 AUG 08 12:54:00,60,60
2024 AUG 08 14:51:00,61,61
2024 AUG 08 16:48:00,62,62
2024 AUG 09 02:45:00,67,67
2024 AUG 09 02:48:00,67,67
2024 AUG 09 04:45:00,68,68
2024 AUG 09 22:21:00,77,77
2024 AUG 10 00:18:00,78,78
2024 AUG 10 00:21:00,78,78
2024 AUG 10 02:18:00,79,79
2024 AUG 10 04:15:00,80,80
2024 AUG 10 12:15:00,84,84
2024 AUG 10 14:12:00,85,85
2024 AUG 11 15:39:00,98,98
2024 AUG 10 16:09:00,86,86
2024 AUG 10 20:06:00,88,88
2024 AUG 11 11:45:00,96,96
2024 AUG 11 13:42:00,97,97
2024 AUG 11 23:39:00,102,102
2024 AUG 12 01:36:00,103,103
2024 AUG 12 03:33:00,104,104
2024 AUG 12 23:09:00,114,114
2024 AUG 13 11:00:00,120,120
2024 AUG 13 11:03:00,120,120
2024 AUG 13 12:57:00,121,121
2024 AUG 13 13:00:00,121,121
2024 AUG 13 14:57:00,122,122
2024 AUG 14 20:27:00,137,137
2024 AUG 13 20:54:00,125,125
2024 AUG 14 22:24:00,138,138
2024 AUG 15 00:21:00,139,139
2024 AUG 16 11:45:00,157,157
2024 AUG 15 14:12:00,146,146
2024 AUG 16 05:51:00,154,154
2024 AUG 16 07:51:00,155,155
2024 AUG 16 23:36:00,163,163
2024 AUG 17 03:33:00,165,165
2024 AUG 18 11:00:00,181,181
2024 AUG 21 03:51:00,214,214
2024 AUG 21 09:45:00,217,217
2024 AUG 22 17:12:00,233,233
2024 AUG 24 19:21:00,259,259
2024 AUG 26 07:42:00,277,277
2024 AUG 28 11:48:00,304,304
2024 AUG 30 01:09:00,323,323
