MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2021 AUG 07 18:44:37,2021 AUG 07 18:49:37,2,2
2021 AUG 08 12:33:49,2021 AUG 08 12:38:49,11,11
2021 AUG 08 14:24:14,2021 AUG 08 14:27:55,12,12
2021 AUG 08 16:22:21,2021 AUG 08 16:27:21,13,13
2021 AUG 08 18:22:41,2021 AUG 08 18:27:41,14,14
2021 AUG 08 22:27:44,2021 AUG 08 22:32:44,16,16
2021 AUG 09 02:15:22,2021 AUG 09 02:16:45,18,18
2021 AUG 09 10:16:33,2021 AUG 09 10:21:33,22,22
2021 AUG 09 20:05:07,2021 AUG 09 20:10:07,27,27
2021 AUG 10 19:22:30,2021 AUG 10 19:27:30,39,39
2021 AUG 10 21:25:57,2021 AUG 10 21:30:57,40,40
2021 AUG 10 23:37:43,2021 AUG 10 23:42:43,41,41
2021 AUG 11 01:35:42,2021 AUG 11 01:40:42,42,42
2021 AUG 11 05:21:34,2021 AUG 11 05:26:34,44,44
2021 AUG 12 06:57:43,2021 AUG 12 07:02:43,57,57
2021 AUG 12 12:56:45,2021 AUG 12 13:01:45,60,60
2021 AUG 12 16:39:31,2021 AUG 12 16:44:31,62,62
2021 AUG 13 15:59:05,2021 AUG 13 16:04:05,74,74
2021 AUG 13 20:09:55,2021 AUG 13 20:14:55,76,76
2021 AUG 14 00:02:54,2021 AUG 14 00:07:54,78,78
2021 AUG 14 04:23:50,2021 AUG 14 04:28:50,80,80
2021 AUG 15 19:07:46,2021 AUG 15 19:12:46,100,100
2021 AUG 16 06:51:11,2021 AUG 16 06:56:11,106,106
2021 AUG 17 08:50:28,2021 AUG 17 08:51:31,119,119
2021 AUG 17 10:26:23,2021 AUG 17 10:31:23,120,120
2021 AUG 18 02:35:32,2021 AUG 18 02:40:32,128,128
2021 AUG 18 06:31:29,2021 AUG 18 06:31:33,130,130
2021 AUG 18 10:18:05,2021 AUG 18 10:23:05,132,132
2021 AUG 18 17:48:52,2021 AUG 18 17:53:52,136,136
2021 AUG 21 03:15:11,2021 AUG 21 03:16:34,165,165
