TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 25 19:43:05,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 25 21:48:17,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 25 21:48:17,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 25 21:48:17,COMMENT_GOES_HERE
1,1,2626,2626,Dayside_Nadir,2018 MAR 25 23:43:25,NONE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 26 01:58:31,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 26 01:58:31,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 26 01:58:31,COMMENT_GOES_HERE
1,1,116,116,Dayside_Nadir,2018 MAR 26 03:53:35,NONE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 26 06:08:47,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 26 06:08:47,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 26 06:08:47,COMMENT_GOES_HERE
1,1,1779,1779,Dayside_Nadir,2018 MAR 26 08:03:57,NONE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 26 10:19:07,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 26 10:19:07,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 26 10:19:07,COMMENT_GOES_HERE
1,1,2364,2364,Dayside_Nadir,2018 MAR 26 12:14:15,NONE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 26 14:29:19,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 26 14:29:19,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 26 14:29:19,COMMENT_GOES_HERE
1,1,1029,1029,Dayside_Nadir,2018 MAR 26 16:24:25,NONE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 26 18:39:37,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 26 18:39:37,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 26 18:39:37,COMMENT_GOES_HERE
1,1,1837,1837,Dayside_Nadir,2018 MAR 26 20:34:47,NONE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 26 22:49:59,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 26 22:49:59,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 26 22:49:59,COMMENT_GOES_HERE
1,1,124,124,Dayside_Nadir,2018 MAR 27 00:45:07,NONE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 27 03:00:11,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 27 03:00:11,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 27 03:00:11,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 27 05:05:17,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 27 05:05:17,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 27 05:05:17,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 27 07:10:29,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 27 07:10:29,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 27 07:10:29,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 27 09:15:41,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 27 09:15:41,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 27 09:15:41,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 27 11:20:51,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 27 11:20:51,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 27 11:20:51,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 27 13:25:57,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 27 13:25:57,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 27 13:25:57,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 27 15:31:03,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 27 15:31:03,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 27 15:31:03,COMMENT_GOES_HERE
1,1,1934,1934,Dayside_Nadir,2018 MAR 27 17:26:09,NONE
1,1,1107,1107,Dayside_Nadir,2018 MAR 27 19:31:21,NONE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 27 21:46:33,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 27 21:46:33,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 27 21:46:33,COMMENT_GOES_HERE
1,1,2318,2318,Dayside_Nadir,2018 MAR 27 23:41:43,NONE
1,1,144,144,Dayside_Nadir,2018 MAR 28 01:46:51,NONE
