Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Thermal orbit number,Thermal orbit start (TDN2(n)+2min),Thermal orbit end (TDN2(n+1)+2min-1s),Thermal orbit duration (s),Nightside nadir start = TD2N(n),Nightside nadir end = TN2D(n)-1s,Nightside duration (s),Dayside nadir start = TN2D(n),Dayside nadir end = TD2N(n+1)-1s,Dayside duration (s),Dayside nadir min. phase angle (deg),Dayside nadir min. phase angle time (UTC)
3,3,1,2024 SEP 28 14:36:15,2024 SEP 28 16:34:05,7070,2024 SEP 28 14:34:15,2024 SEP 28 15:33:07,3532,2024 SEP 28 15:33:08,2024 SEP 28 16:32:05,3537,56.8487,2024 SEP 28 16:02:54
1,1,2,2024 SEP 28 16:34:06,2024 SEP 28 18:31:57,7071,2024 SEP 28 16:32:06,2024 SEP 28 17:30:59,3533,2024 SEP 28 17:31:00,2024 SEP 28 18:29:57,3537,56.6186,2024 SEP 28 18:00:47
3,3,3,2024 SEP 28 18:31:58,2024 SEP 28 20:29:53,7075,2024 SEP 28 18:29:58,2024 SEP 28 19:28:53,3535,2024 SEP 28 19:28:54,2024 SEP 28 20:27:53,3539,56.3651,2024 SEP 28 19:58:41
1,1,4,2024 SEP 28 20:29:54,2024 SEP 28 22:27:51,7077,2024 SEP 28 20:27:54,2024 SEP 28 21:26:50,3536,2024 SEP 28 21:26:51,2024 SEP 28 22:25:51,3540,56.1051,2024 SEP 28 21:56:38
3,3,5,2024 SEP 28 22:27:52,2024 SEP 29 00:25:49,7077,2024 SEP 28 22:25:52,2024 SEP 28 23:24:48,3536,2024 SEP 28 23:24:49,2024 SEP 29 00:23:49,3540,55.8542,2024 SEP 28 23:54:37
1,1,6,2024 SEP 29 00:25:50,2024 SEP 29 02:23:44,7074,2024 SEP 29 00:23:50,2024 SEP 29 01:22:46,3536,2024 SEP 29 01:22:47,2024 SEP 29 02:21:44,3537,55.6212,2024 SEP 29 01:52:34
3,3,7,2024 SEP 29 02:23:45,2024 SEP 29 04:21:38,7073,2024 SEP 29 02:21:45,2024 SEP 29 03:20:41,3536,2024 SEP 29 03:20:42,2024 SEP 29 04:19:38,3536,55.398,2024 SEP 29 03:50:28
1,1,8,2024 SEP 29 04:21:39,2024 SEP 29 06:19:30,7071,2024 SEP 29 04:19:39,2024 SEP 29 05:18:33,3534,2024 SEP 29 05:18:34,2024 SEP 29 06:17:30,3536,55.1653,2024 SEP 29 05:48:19
3,3,9,2024 SEP 29 06:19:31,2024 SEP 29 08:17:24,7073,2024 SEP 29 06:17:31,2024 SEP 29 07:16:26,3535,2024 SEP 29 07:16:27,2024 SEP 29 08:15:24,3537,54.9139,2024 SEP 29 07:46:13
1,1,10,2024 SEP 29 08:17:25,2024 SEP 29 10:15:22,7077,2024 SEP 29 08:15:25,2024 SEP 29 09:14:22,3537,2024 SEP 29 09:14:23,2024 SEP 29 10:13:22,3539,54.6632,2024 SEP 29 09:44:11
3,3,11,2024 SEP 29 10:15:23,2024 SEP 29 12:13:22,7079,2024 SEP 29 10:13:23,2024 SEP 29 11:12:20,3537,2024 SEP 29 11:12:21,2024 SEP 29 12:11:22,3541,54.4144,2024 SEP 29 11:42:09
