Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	92	Nightside	2025 APR 12 14:12:46	2025 APR 12 14:42:09	2025 APR 12 15:11:32	3526.30	99.59	131.15	-94.75	65.70	-18.64	-65.70	158.34	1.51	14	-	-	-		
1	92	Dayside	2025 APR 12 15:11:32	2025 APR 12 15:41:07	2025 APR 12 16:10:42	3549.38	-94.75	-62.91	70.83	-65.70	20.13	65.69	21.55	13.53	14	-		COP row -1: 		
2	92	Nightside	2025 APR 12 16:10:42	2025 APR 12 16:40:04	2025 APR 12 17:09:26	3524.64	70.83	102.21	-123.54	65.69	-18.67	-65.68	158.57	1.50	1	-	-	-		
2	92	Dayside	2025 APR 12 17:09:26	2025 APR 12 17:39:00	2025 APR 12 18:08:34	3548.03	-123.54	-91.83	42.04	-65.68	20.18	65.67	21.33	13.52	1	-		COP row -1: 	&daysideMatch:CLARITAS RISE; 	
3	92	Nightside	2025 APR 12 18:08:34	2025 APR 12 18:37:56	2025 APR 12 19:07:18	3524.02	42.04	73.31	-152.36	65.67	-18.73	-65.66	158.78	1.48	3	-	-	-		
3	92	Dayside	2025 APR 12 19:07:18	2025 APR 12 19:36:52	2025 APR 12 20:06:26	3547.98	-152.36	-120.72	13.07	-65.66	20.19	65.64	21.13	13.50	3	Nominal 4SUBD 01	Science: orders #168, #134, #121, #190, with 195000us integration time (4 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&daysideMatch:ULYSSES FOSSAE; 	
4	92	Nightside	2025 APR 12 20:06:26	2025 APR 12 20:35:49	2025 APR 12 21:05:11	3525.03	13.07	44.42	178.65	65.64	-18.77	-65.62	158.98	1.47	1	-	-	-		
4	92	Dayside	2025 APR 12 21:05:11	2025 APR 12 21:34:46	2025 APR 12 22:04:21	3550.01	178.65	-149.64	-15.94	-65.62	20.20	65.59	20.93	13.49	1	-		COP row -1: 		
5	92	Nightside	2025 APR 12 22:04:21	2025 APR 12 22:33:45	2025 APR 12 23:03:08	3526.36	-15.94	15.48	149.62	65.59	-18.75	-65.57	159.19	1.45	47	-	-	COP row -1: 		
5	92	Dayside	2025 APR 12 23:03:08	2025 APR 12 23:32:43	2025 APR 13 00:02:18	3550.66	149.62	-178.57	-44.88	-65.57	20.25	65.56	20.70	13.47	47	-		COP row -1: 	&trueNightLimb; 	
6	92	Nightside	2025 APR 13 00:02:18	2025 APR 13 00:31:42	2025 APR 13 01:01:06	3527.70	-44.88	-13.47	120.68	65.56	-18.75	-65.54	159.41	1.44	14	-	-	-		
6	92	Dayside	2025 APR 13 01:01:06	2025 APR 13 01:30:41	2025 APR 13 02:00:16	3549.45	120.68	152.48	-73.75	-65.54	20.29	65.54	20.47	13.46	14	-		COP row -1: 		
7	92	Nightside	2025 APR 13 02:00:16	2025 APR 13 02:29:40	2025 APR 13 02:59:04	3528.60	-73.75	-42.42	91.88	65.54	-18.81	-65.53	159.65	1.42	1	-	-	-		
7	92	Dayside	2025 APR 13 02:59:04	2025 APR 13 03:28:38	2025 APR 13 03:58:11	3547.25	91.88	123.53	-102.54	-65.53	20.33	65.52	20.24	13.44	1	-		COP row -1: 		
8	92	Nightside	2025 APR 13 03:58:11	2025 APR 13 04:27:35	2025 APR 13 04:56:59	3527.75	-102.54	-71.36	63.13	65.52	-18.88	-65.51	159.89	1.41	1	-	-	-		
8	92	Dayside	2025 APR 13 04:56:59	2025 APR 13 05:26:32	2025 APR 13 05:56:05	3545.99	63.13	94.60	-131.33	-65.51	20.37	65.50	20.01	13.43	1	-		COP row -1: 		
9	92	Nightside	2025 APR 13 05:56:05	2025 APR 13 06:25:28	2025 APR 13 06:54:50	3525.39	-131.33	-100.27	34.30	65.50	-18.91	-65.49	160.11	1.39	14	-	-	-		
9	92	Dayside	2025 APR 13 06:54:50	2025 APR 13 07:24:24	2025 APR 13 07:53:57	3546.92	34.30	65.70	-160.20	-65.49	20.44	65.47	19.80	13.41	14	-		COP row -1: 		
10	92	Nightside	2025 APR 13 07:53:57	2025 APR 13 08:23:20	2025 APR 13 08:52:43	3525.48	-160.20	-129.17	5.31	65.47	-18.92	-65.45	160.30	1.38	1	-	-	-		
10	92	Dayside	2025 APR 13 08:52:43	2025 APR 13 09:22:17	2025 APR 13 09:51:52	3548.61	5.31	36.80	170.78	-65.45	20.44	65.43	19.61	13.40	1	-		COP row -1: 		
