Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	43	Nightside	2021 JUL 10 15:21:28	2021 JUL 10 15:50:47	2021 JUL 10 16:20:06	3518.50	81.72	-135.87	-112.61	-50.39	-34.81	50.43	153.39	1.85	14	-	-	-		
1	43	Dayside	2021 JUL 10 16:20:06	2021 JUL 10 16:49:44	2021 JUL 10 17:19:22	3556.25	-112.61	29.12	52.90	50.43	36.00	-50.48	26.51	13.80	14	-		COP row -1: 		
2	43	Nightside	2021 JUL 10 17:19:22	2021 JUL 10 17:48:43	2021 JUL 10 18:18:03	3520.43	52.90	-164.81	-141.44	-50.48	-34.68	50.53	153.62	1.83	1	-	-	-		
2	43	Dayside	2021 JUL 10 18:18:03	2021 JUL 10 18:47:42	2021 JUL 10 19:17:21	3558.42	-141.44	0.16	24.06	50.53	35.88	-50.58	26.27	13.78	1	-		COP row -1: 		
3	43	Nightside	2021 JUL 10 19:17:21	2021 JUL 10 19:46:41	2021 JUL 10 20:16:01	3520.23	24.06	166.22	-170.31	-50.58	-34.55	50.64	153.87	1.81	3	-	-	-		
3	43	Dayside	2021 JUL 10 20:16:01	2021 JUL 10 20:45:42	2021 JUL 10 21:15:22	3560.31	-170.31	-28.78	-4.83	50.64	35.74	-50.70	26.05	13.77	3	Surface 3SUBD 02	Science: orders #191, #194, #196, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&daysideMatch:MAWRTH VALLIS-ARAM CHAOS; 	
4	43	Nightside	2021 JUL 10 21:15:22	2021 JUL 10 21:44:41	2021 JUL 10 22:14:01	3519.07	-4.83	137.28	160.79	-50.70	-34.42	50.78	154.08	1.80	1	-	-	-		
4	43	Dayside	2021 JUL 10 22:14:01	2021 JUL 10 22:43:41	2021 JUL 10 23:13:21	3560.47	160.79	-57.67	-33.76	50.78	35.59	-50.86	25.85	13.76	1	HDO H2O 2SUBD 03	Science: orders #168, #121, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&mroOverlap; 	
5	43	Nightside	2021 JUL 10 23:13:21	2021 JUL 10 23:42:40	2021 JUL 11 00:11:59	3517.98	-33.76	108.39	131.88	-50.86	-34.32	50.93	154.26	1.78	14	-	-	-		
5	43	Dayside	2021 JUL 11 00:11:59	2021 JUL 11 00:41:39	2021 JUL 11 01:11:18	3558.61	131.88	-86.54	-62.68	50.93	35.44	-51.02	25.67	13.75	14	-		COP row -1: 		
6	43	Nightside	2021 JUL 11 01:11:18	2021 JUL 11 01:40:36	2021 JUL 11 02:09:55	3517.15	-62.68	79.53	102.97	-51.02	-34.19	51.08	154.43	1.77	1	-	-	-		
6	43	Dayside	2021 JUL 11 02:09:55	2021 JUL 11 02:39:33	2021 JUL 11 03:09:12	3556.60	102.97	-115.41	-91.53	51.08	35.32	-51.14	25.49	13.73	1	-		COP row -1: 		
7	43	Nightside	2021 JUL 11 03:09:12	2021 JUL 11 03:38:30	2021 JUL 11 04:07:49	3516.92	-91.53	50.66	74.12	-51.14	-34.03	51.19	154.63	1.76	3	-	-	-		
7	43	Dayside	2021 JUL 11 04:07:49	2021 JUL 11 04:37:27	2021 JUL 11 05:07:06	3557.64	74.12	-144.32	-120.34	51.19	35.23	-51.22	25.29	13.72	3	Nominal 6SUBD #2	Science: orders #149, #134, #168, #121, #189, #196, with 220000us integration time (6 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&mroOverlap; 	
8	43	Nightside	2021 JUL 11 05:07:06	2021 JUL 11 05:36:26	2021 JUL 11 06:05:45	3518.61	-120.34	21.71	45.32	-51.22	-33.91	51.26	154.86	1.75	1	-	-	-		
8	43	Dayside	2021 JUL 11 06:05:45	2021 JUL 11 06:35:24	2021 JUL 11 07:05:04	3558.96	45.32	-173.28	-149.19	51.26	35.09	-51.32	25.04	13.70	1	-		COP row -1: 		
9	43	Nightside	2021 JUL 11 07:05:04	2021 JUL 11 07:34:24	2021 JUL 11 08:03:44	3520.60	-149.19	-7.25	16.47	-51.32	-33.82	51.36	155.09	1.73	14	-	-	-		
9	43	Dayside	2021 JUL 11 08:03:44	2021 JUL 11 08:33:24	2021 JUL 11 09:03:03	3558.52	16.47	157.77	-178.08	51.36	34.95	-51.44	24.80	13.69	14	-		COP row -1: 		
10	43	Nightside	2021 JUL 11 09:03:03	2021 JUL 11 09:32:24	2021 JUL 11 10:01:44	3521.42	-178.08	-36.18	-12.44	-51.44	-33.68	51.50	155.31	1.71	1	-	-	-		
