S/C,UTC,UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
MRO,2026 JUL 04 14:57:00,-69.8085,-23.9558,252.4653,14.8331,57.8007,4.6091e-14,57.8007
TGO,2026 JUL 04 14:18:00,-72.7572,-21.9477,379.8158,14.3344,58.2051,0.35769,58.2066

MRO,2026 JUL 05 00:18:00,-69.3612,-160.6407,251.0213,14.8192,57.523,1.6081e-14,57.523
TGO,2026 JUL 05 00:09:00,-69.9318,-156.0789,379.0967,14.9772,58.5115,0.40569,58.5243

MRO,2026 JUL 05 05:54:00,-71.4747,118.6882,250.9414,14.8903,59.1957,2.8669e-14,59.1957
TGO,2026 JUL 05 06:03:00,-69.2274,118.1775,380.2422,15.0022,58.2246,0.93037,59.1493

MRO,2026 JUL 05 09:39:00,-69.0932,63.0213,249.3823,14.8283,57.4531,3.8464e-14,57.4531
TGO,2026 JUL 06 09:33:00,-70.6179,67.9074,379.8615,14.4111,57.1502,4.0796,61.2261

MRO,2026 JUL 06 04:21:00,-69.0205,149.7115,250.3323,14.8044,57.4434,4.6008e-14,57.4434
TGO,2026 JUL 06 03:39:00,-71.2499,154.4109,380.7375,14.4367,57.6557,0.37303,57.6514

MRO,2026 JUL 11 13:24:00,-62.1494,64.089,249.0486,14.6764,53.3552,1.7128e-14,53.3552
TGO,2026 JUL 11 13:24:00,-64.2332,60.455,378.8339,14.4342,53.5495,0.42413,53.5109

MRO,2026 JUL 11 17:09:00,-60.1581,8.7714,251.679,14.6378,51.9093,1.8614e-14,51.9093
TGO,2026 JUL 11 17:21:00,-60.9143,7.0824,379.1543,14.7197,52.8491,1.6127,51.2412

MRO,2026 JUL 12 21:12:00,-59.9082,-40.7733,250.4988,14.6311,51.9136,1.1018e-14,51.9136
TGO,2026 JUL 12 20:51:00,-62.8888,-40.886,381.1799,14.2831,52.1269,0.42577,52.075

MRO,2026 JUL 13 00:57:00,-57.7535,-95.7572,248.3087,14.6147,50.4993,5.6964e-14,50.4993
TGO,2026 JUL 13 00:48:00,-59.8209,-95.149,379.0783,14.5094,51.1905,0.45816,51.1448

MRO,2026 JUL 13 04:42:00,-55.5151,-150.957,251.1112,14.5842,48.961,8.3486e-14,48.961
TGO,2026 JUL 13 04:45:00,-56.0944,-150.7364,379.4586,14.6475,49.7316,5.8476,55.3969

MRO,2026 JUL 13 06:33:00,-59.493,-177.4079,250.3081,14.6211,51.66,2.6234e-14,51.66
TGO,2026 JUL 13 06:42:00,-58.8284,179.3399,380.4117,14.5503,50.8235,1.3619,49.4617

MRO,2026 JUL 13 10:18:00,-57.7324,127.6424,250.6518,14.6069,50.5032,5.5272e-14,50.5032
TGO,2026 JUL 13 10:39:00,-55.6415,123.4382,379.2588,14.6672,49.6384,1.7433,51.2921

MRO,2026 JUL 13 14:03:00,-55.468,72.6658,249.7736,14.5911,49.0445,1.5581e-14,49.0445
TGO,2026 JUL 13 14:36:00,-52.4357,68.2568,378.3526,14.8325,49.1022,0.54344,49.1958

MRO,2026 JUL 14 12:30:00,-53.166,104.5871,251.1422,14.5661,47.656,3.1845e-14,47.656
TGO,2026 JUL 14 12:12:00,-55.2275,107.9328,379.4543,14.4972,48.426,0.4852,48.3762

MRO,2026 JUL 14 18:06:00,-54.638,22.9484,252.1369,14.5733,48.6185,1.8271e-14,48.6185
TGO,2026 JUL 14 18:06:00,-54.1743,21.9943,378.2925,14.5097,47.9002,0.49143,47.8518

MRO,2026 JUL 14 21:51:00,-52.8803,-32.0473,252.3035,14.5561,47.4793,6.1096e-14,47.4793
TGO,2026 JUL 14 22:03:00,-50.9728,-33.9366,380.7462,14.6247,46.912,0.51279,46.8778

MRO,2026 JUL 15 01:36:00,-50.7709,-86.9621,250.0293,14.5444,46.1974,1.5423e-14,46.1974
TGO,2026 JUL 15 02:00:00,-47.6475,-89.848,379.0832,14.7414,46.1826,0.8891,45.3666

MRO,2026 JUL 16 09:24:00,-47.6685,168.336,251.2461,14.5106,44.4069,2.8845e-14,44.4069
TGO,2026 JUL 16 09:27:00,-45.939,167.8371,380.4029,14.5258,43.6226,0.24058,43.5386

MRO,2026 JUL 16 13:09:00,-45.7876,113.5106,251.5751,14.5047,43.3801,2.4841e-14,43.3801
TGO,2026 JUL 16 13:24:00,-42.6944,110.8622,379.2631,14.5717,42.4815,3.3112,45.6835

MRO,2026 JUL 16 16:54:00,-43.3671,58.5774,250.7727,14.4919,42.0594,3.9213e-14,42.0594
TGO,2026 JUL 16 17:21:00,-39.2247,55.2691,378.3111,14.7094,42.4621,3.1701,39.2925

MRO,2026 JUL 17 15:21:00,-41.0907,90.6347,251.6427,14.4764,40.9553,2.2941e-14,40.9553
TGO,2026 JUL 17 14:57:00,-42.0627,94.9058,379.1395,14.3719,40.4022,3.8353,44.0614

MRO,2026 JUL 17 19:06:00,-38.7315,35.6581,252.5009,14.4608,39.7612,5.5546e-14,39.7612
TGO,2026 JUL 17 18:54:00,-38.4398,39.0231,378.7694,14.4906,39.9508,0.71078,39.2418

MRO,2026 JUL 17 22:51:00,-36.9994,-19.25,253.7333,14.4494,38.9409,1.3114e-14,38.9409
TGO,2026 JUL 17 22:51:00,-34.9929,-18.5408,381.6038,14.4969,38.7114,4.8305,43.4657

MRO,2026 JUL 18 02:36:00,-35.0358,-74.1028,251.7603,14.4419,38.1199,1.4312e-14,38.1199
TGO,2026 JUL 18 02:48:00,-31.6776,-75.129,380.971,14.5683,38.5368,2.2807,40.7381

MRO,2026 JUL 19 08:33:00,-28.2162,-151.7838,255.6612,14.4097,35.7847,1.8271e-14,35.7847
TGO,2026 JUL 19 08:18:00,-27.2831,-147.9341,382.604,14.4231,35.7474,1.8574,37.5948

MRO,2026 JUL 19 16:03:00,-24.4335,98.5418,256.2144,14.3969,34.9106,8.996e-15,34.9106
TGO,2026 JUL 19 16:12:00,-20.5789,97.5112,381.8547,14.4742,35.6056,4.062,39.6487

MRO,2026 JUL 19 17:54:00,-28.0492,71.7608,254.6031,14.4119,35.8078,7.2598e-14,35.8078
TGO,2026 JUL 19 18:06:00,-32.2202,67.0457,379.3273,14.2922,35.5526,5.8107,29.7723
TGO,2026 JUL 19 18:09:00,-23.3271,69.1298,380.8878,14.4797,35.8983,5.7716,30.1733

MRO,2026 JUL 20 22:00:00,-17.2663,20.9162,259.8705,14.3683,34.1248,2.5044e-14,34.1248
TGO,2026 JUL 20 21:42:00,-16.2711,24.965,384.077,14.3464,33.8455,1.4075,32.5644

MRO,2026 JUL 21 01:45:00,-15.4996,-33.9269,259.8568,14.3617,34.1148,3.2435e-14,34.1148
TGO,2026 JUL 21 01:39:00,-12.9986,-32.2979,386.0623,14.3728,34.534,1.8107,32.882

MRO,2026 JUL 21 03:36:00,-19.3423,-60.7414,257.4573,14.3744,34.2242,3.1806e-15,34.2242
TGO,2026 JUL 21 03:36:00,-15.438,-61.4721,384.8902,14.3256,33.6023,4.8498,29.1965

MRO,2026 JUL 21 09:18:00,-1.4397,-144.8243,266.4074,14.3161,36.8822,1.4362e-14,36.8822
TGO,2026 JUL 21 09:33:00,-5.7356,-146.6587,389.1949,14.4369,37.0599,2.3486,35.0725

MRO,2026 JUL 21 11:12:00,4.3517,-172.8396,270.1154,14.2972,39.2887,1.1385e-14,39.2887
TGO,2026 JUL 21 11:33:00,0.55083,-175.5246,392.0197,14.4589,39.6572,6.9305,45.7193

MRO,2026 JUL 21 13:03:00,0.45587,160.3286,267.6612,14.3089,37.5772,6.9575e-16,37.5772
TGO,2026 JUL 21 13:30:00,-2.2811,155.3875,389.9462,14.4175,37.9487,3.595,41.0909

MRO,2026 JUL 22 13:21:00,-0.57877,165.6338,267.1463,14.3111,37.0924,1.5674e-14,37.0924
TGO,2026 JUL 22 13:06:00,0.95219,169.5808,391.8635,14.3308,38.0199,4.6293,34.4272

MRO,2026 JUL 22 15:12:00,-4.5143,138.8135,264.7604,14.3233,35.7857,1.0847e-13,35.7857
TGO,2026 JUL 22 15:03:00,-1.6884,139.0892,389.4876,14.1958,35.0524,5.7779,40.0898

