4,AOTF_IX,10,5 # FULLSCAN_10ORDERS_4STEPPING_6SUBDS
4,AOTF_IX,11,5 # FULLSCAN_11ORDERS_4STEPPING_6SUBDS
4,AOTF_IX,12,5 # FULLSCAN_12ORDERS_4STEPPING_6SUBDS
5,AOTF_IX,14,5 # FULLSCAN_14ORDERS_5STEPPING_6SUBDS
5,AOTF_IX,15,5 # FULLSCAN_15ORDERS_5STEPPING_6SUBDS
5,AOTF_IX,16,5 # FULLSCAN_16ORDERS_5STEPPING_6SUBDS
