Target Name,Flyover #,Orbit type,Thermal orbit number,Start crossing time (UTC),End crossing time (UTC),Start crossing latitude (deg),Start crossing longitude (deg),End crossing latitude (deg),End crossing longitude (deg),Start crossing phase angle (deg),End crossing phase angle (deg),Start crossing solar incidence angle (deg),End crossing solar incidence angle (deg),Start crossing emission angle (deg),End crossing emission angle (deg),Start crossing LST (h),End crossing LST (h)
Arsia Mons                                           ,1,1,73,2023 APR 21 13:08:46,2023 APR 21 13:09:21,-7.8516,-123.4879,-6.0989,-123.1868,49.0008,48.3494,46.3308,45.6166,3.1722,3.1796,14.4986,14.5281
Pavonis Mons                                         ,1,1,110,2023 APR 24 13:54:31,2023 APR 24 13:55:00,1.6481,-112.7379,3.0676,-112.5,40.1852,39.7634,35.3563,34.8633,5.3113,5.3058,14.0453,14.0689
Pavonis Mons                                         ,2,1,222,2023 MAY 03 18:00:09,2023 MAY 03 18:00:45,1.6481,-112.9059,3.4013,-112.6111,19.863,18.221,20.2167,18.5803,0.77192,0.76414,12.2811,12.3103
Pavonis Mons                                         ,3,3,334,2023 MAY 12 22:05:44,2023 MAY 12 22:06:20,1.6481,-113.7921,3.4013,-113.4962,30.7183,29.1909,30.4662,28.924,0.29734,0.31727,10.4653,10.4947
Ascraeus Mons                                        ,1,3,60,2023 APR 20 11:42:15,2023 APR 20 11:42:42,10.6477,-104.2311,11.9606,-104,47.7517,47.6974,44.4445,44.3751,3.3755,3.373,15.0161,15.0389
Ascraeus Mons                                        ,2,3,172,2023 APR 29 15:47:51,2023 APR 29 15:48:27,10.6476,-104.6944,12.4017,-104.3816,20.6703,20.1848,20.5012,20.0034,0.22879,0.22149,13.2328,13.2633
Ascraeus Mons                                        ,3,3,284,2023 MAY 08 19:53:25,2023 MAY 08 19:54:00,10.6476,-105.753,12.4017,-105.4359,13.6651,11.9112,14.0739,12.3947,2.6285,2.5678,11.4064,11.4372
Eastern Coprates                                     ,1,3,21,2023 APR 17 06:55:30,2023 APR 17 06:56:05,-14.3522,-59.6897,-12.5986,-59.3442,58.4267,57.6455,58.7953,58.2108,0.42931,0.58358,15.245,15.2778
Eastern Coprates                                     ,2,3,332,2023 MAY 12 18:04:21,2023 MAY 12 18:04:30,-14.3454,-58.1001,-13.8832,-58,54.5407,54.3383,44.8318,44.3742,9.8865,10.138,10.2622,10.2711
Elysium Cerberus Phlegra                             ,1,3,1,2023 APR 15 15:53:46,2023 APR 15 15:54:23,34.1446,168.5048,35.9038,169.028,60.6917,61.1125,60.5188,60.9425,0.18935,0.18978,16.4653,16.51
Elysium Cerberus Phlegra                             ,2,3,113,2023 APR 24 19:59:24,2023 APR 24 20:00:00,34.1447,168.0608,35.9038,168.5752,35.7847,36.8264,38.058,38.9438,2.5124,2.379,14.685,14.7292
Elysium Cerberus Phlegra                             ,3,3,312,2023 MAY 11 03:02:53,2023 MAY 11 03:03:02,34.1445,169.8685,34.5968,170,15.7285,15.9762,14.1007,14.4195,2.7862,2.7663,11.4728,11.4842
Olympica Fossae-Jovis Tholus                         ,1,1,48,2023 APR 19 12:10:15,2023 APR 19 12:10:45,19.147,-115.296,20.6332,-115,49.7384,49.8976,47.4303,47.5856,2.3159,2.3151,15.37,15.3981
Olympica Fossae-Jovis Tholus                         ,2,1,160,2023 APR 28 16:15:50,2023 APR 28 16:16:25,19.1468,-116.1697,20.9023,-115.8102,24.8907,25.0712,21.9929,22.2803,2.9031,2.8172,13.5592,13.5928
Olympica Fossae-Jovis Tholus                         ,3,3,272,2023 MAY 07 20:21:26,2023 MAY 07 20:22:01,19.1469,-116.5516,20.9022,-116.1971,4.94,3.6913,3.9965,2.7262,0.97428,0.97173,11.7789,11.8122
Ceraunius Fossae                                     ,1,1,197,2023 MAY 01 17:00:07,2023 MAY 01 17:00:43,24.1463,-105.0252,25.9026,-104.6383,12.472,13.525,15.6263,16.4395,3.3844,3.2774,13.1081,13.1436
Ceraunius Fossae                                     ,2,1,309,2023 MAY 10 21:05:41,2023 MAY 10 21:06:17,24.1463,-106.3537,25.9026,-105.9589,9.4213,9.3825,10.3994,10.3953,1.0827,1.0545,11.2628,11.2989
Claritas Rise                                        ,1,3,184,2023 APR 30 15:09:14,2023 APR 30 15:09:50,-29.3521,-99.5714,-27.5987,-99.1529,51.193,49.5503,50.9769,49.2735,1.4021,1.5166,12.3103,12.3478
Claritas Rise                                        ,2,3,296,2023 MAY 09 19:14:50,2023 MAY 09 19:15:26,-29.3522,-100.1448,-27.5986,-99.7081,56.1414,54.3682,55.9621,54.1475,0.5789,0.65287,10.5164,10.5553
South Thaumasia                                      ,1,3,109,2023 APR 24 11:42:29,2023 APR 24 11:43:05,-40.3544,-92.4494,-38.5974,-91.8065,63.0366,61.4465,63.6089,62.1676,0.62733,0.85889,13.2558,13.3083
South Thaumasia                                      ,2,1,221,2023 MAY 03 15:48:04,2023 MAY 03 15:48:40,-40.3533,-93.4796,-38.5981,-92.9133,62.5409,60.7589,62.6433,60.8223,1.1184,1.4683,11.4333,11.4806
East Thaumasia                                       ,1,1,71,2023 APR 21 09:04:55,2023 APR 21 09:05:31,-31.8525,-70.4994,-30.0985,-70.0474,60.7881,59.724,60.1524,58.9903,1.2387,1.3355,14.075,14.1147
East Thaumasia                                       ,2,1,183,2023 APR 30 13:10:29,2023 APR 30 13:11:05,-31.8521,-71.622,-30.0988,-71.1989,54.3815,52.8432,53.4027,51.6853,3.7916,4.1824,12.2469,12.2847
East Thaumasia                                       ,3,3,295,2023 MAY 09 17:16:35,2023 MAY 09 17:16:40,-30.3107,-71.9871,-30.0983,-71.9314,56.5585,56.3381,57.0548,56.8347,3.5705,3.5702,10.4753,10.4803
Uysses Fossae                                        ,1,1,98,2023 APR 23 14:22:22,2023 APR 23 14:22:58,9.6476,-123.3506,11.4016,-123.0394,34.5647,34.3868,36.62,36.4364,2.0611,2.0513,14.4272,14.4575
Uysses Fossae                                        ,2,1,297,2023 MAY 09 21:25:51,2023 MAY 09 21:26:27,9.6477,-121.9101,11.4016,-121.6003,16.6807,15.0511,16.9421,15.3486,1.149,1.1475,11.1911,11.2214
Coprates Rise                                        ,1,3,21,2023 APR 17 06:53:20,2023 APR 17 06:53:33,-20.7563,-60.9898,-20.0988,-60.8549,61.2297,60.9638,61.2217,60.9509,0.41226,0.40875,15.1233,15.1358
Coprates Rise                                        ,2,1,108,2023 APR 24 09:50:50,2023 APR 24 09:50:54,-21.8515,-59.0412,-21.643,-59,51.6432,51.5229,49.0788,48.9285,3.9124,3.9424,13.6717,13.6756
Coprates Rise                                        ,3,3,220,2023 MAY 03 13:56:27,2023 MAY 03 13:57:02,-21.8519,-59.4211,-20.0988,-59.0579,43.6491,41.8812,43.5609,41.7781,0.10666,0.11996,11.8931,11.9269
Coprates Rise                                        ,4,3,332,2023 MAY 12 18:01:55,2023 MAY 12 18:02:29,-21.8469,-59.797,-20.1023,-59.3876,58.2546,57.3167,52.3084,50.5622,6.147,6.9562,10.1094,10.1461
CH4_ROI_ACIDALIA MUD VOLCANOES NE                    ,1,3,45,2023 APR 19 06:25:06,2023 APR 19 06:25:44,43.8225,-21.6964,45.5854,-20.9532,57.3383,58.1406,55.0858,55.8996,2.3349,2.3371,16.0103,16.07
CH4_ROI_ACIDALIA MUD VOLCANOES NE                    ,2,1,157,2023 APR 28 10:30:50,2023 APR 28 10:31:22,44.089,-21.7804,45.5855,-21.1392,35.485,36.7713,36.4866,37.6946,1.5355,1.4552,14.2547,14.3061
CH4_ROI_ACIDALIA MUD VOLCANOES NE                    ,3,1,269,2023 MAY 07 14:36:56,2023 MAY 07 14:36:57,45.5747,-21.779,45.5857,-21.7741,24.4137,24.4254,24.8536,24.8653,2.5752,2.5746,12.5081,12.5086
CH4_ROI_ACIDALIA MUD VOLCANOES BASSIN                ,1,3,70,2023 APR 21 07:31:27,2023 APR 21 07:32:04,40.0736,-26.5855,41.8346,-25.9523,51.4209,52.2529,48.6953,49.5504,2.8589,2.8601,15.4864,15.5383
CH4_ROI_ACIDALIA MUD VOLCANOES BASSIN                ,2,3,182,2023 APR 30 11:37:19,2023 APR 30 11:37:41,40.7996,-26.5926,41.8348,-26.2079,29.1326,30.04,29.7511,30.6321,0.79912,0.77667,13.7375,13.7689
CH4_ROI_AEOLIS MENSAE - MFF                          ,1,3,14,2023 APR 16 17:14:13,2023 APR 16 17:14:18,-2.1466,144.7084,-1.8988,144.7505,59.0089,58.9618,56.5359,56.4859,2.6055,2.6051,15.5469,15.5511
CH4_ROI_AEOLIS MENSAE - MFF                          ,2,1,213,2023 MAY 03 00:17:12,2023 MAY 03 00:17:47,-3.652,146.0846,-1.8987,146.3907,27.1625,25.5923,25.4715,23.8115,4.0492,3.9761,12.3019,12.3319
CH4_ROI_AEOLIS MENSAE - MFF                          ,3,3,325,2023 MAY 12 04:22:48,2023 MAY 12 04:23:23,-3.6518,145.4522,-1.8988,145.7558,33.2439,31.591,34.0033,32.3539,2.3952,2.3496,10.5036,10.5336
CH4_ROI_CERBERUS FOSSAE                              ,1,1,51,2023 APR 19 18:00:41,2023 APR 19 18:01:17,9.2877,156.7136,11.0415,157.0133,43.6485,43.6571,47.2972,47.1753,3.6766,3.5345,15.1894,15.2192
CH4_ROI_CERBERUS FOSSAE                              ,2,1,250,2023 MAY 06 01:04:10,2023 MAY 06 01:04:45,9.2874,157.8743,11.0418,158.1888,12.7922,11.0747,12.3331,10.5358,2.0958,2.0554,11.9367,11.9672
CH4_ROI_UTOPIA                                       ,1,3,66,2023 APR 20 23:37:13,2023 APR 20 23:37:39,32.6384,87.1932,33.8734,87.5375,46.8042,47.2429,46.6699,47.1137,0.15203,0.15022,15.3775,15.4072
CH4_ROI_UTOPIA                                       ,2,1,265,2023 MAY 07 06:40:32,2023 MAY 07 06:41:08,32.1152,88.4701,33.8734,88.96,10.4391,12.246,10.7421,12.5757,2.9455,2.8484,12.1289,12.1714
CH4_ROI_ARGYRE                                       ,1,1,20,2023 APR 17 04:48:45,2023 APR 17 04:48:49,-40.3941,-37.325,-40.1859,-37.25,70.834,70.7203,70.9422,70.8278,0.46338,0.46351,14.6794,14.6856
CH4_ROI_ARGYRE                                       ,2,3,132,2023 APR 26 08:54:20,2023 APR 26 08:54:57,-40.3945,-38.1218,-38.6372,-37.4874,62.3678,60.7296,62.6027,61.0455,0.32838,0.33464,12.8747,12.9269
CH4_ROI_VERNAL CRATER                                ,1,1,69,2023 APR 21 05:21:29,2023 APR 21 05:22:05,4.7878,-4.7783,6.5414,-4.4792,39.4316,39.1556,44.0014,43.7088,4.7014,4.6519,14.8314,14.8608
CH4_ROI_VERNAL CRATER                                ,2,3,268,2023 MAY 07 12:24:56,2023 MAY 07 12:25:32,4.7879,-3.9045,6.5415,-3.6023,18.2068,16.4115,18.1682,16.3507,3.8742,3.8504,11.5583,11.5881
LANDER_Phoenix                                       ,1,1,12,2023 APR 16 13:42:33,2023 APR 16 13:43:23,66.6888,-127.6795,68.7013,-123.75,74.2491,75.8704,71.8263,73.055,2.7529,3.2146,17.9536,18.2292
LANDER_Phoenix                                       ,2,3,62,2023 APR 20 15:59:09,2023 APR 20 15:59:32,69.3442,-127.6556,70.1505,-125.4235,69.4805,70.2415,69.323,70.0773,0.15832,0.16597,17.6225,17.7775
LANDER_Phoenix                                       ,3,1,99,2023 APR 23 16:40:23,2023 APR 23 16:40:37,66.3396,-124.7833,66.893,-123.75,62.9995,63.529,62.8986,63.4241,0.10094,0.10493,16.5706,16.6433
LANDER_Phoenix                                       ,4,3,124,2023 APR 25 17:48:11,2023 APR 25 17:49:00,66.5935,-127.6768,68.4907,-123.75,60.6642,62.724,60.6336,62.6337,0.070532,0.092846,16.2031,16.4781
LANDER_Phoenix                                       ,5,1,149,2023 APR 27 18:56:36,2023 APR 27 18:57:18,68.2993,-127.6637,69.832,-123.75,60.2625,62.0525,60.0709,61.9208,0.23551,0.1351,16.0389,16.3114
LANDER_Phoenix                                       ,6,3,174,2023 APR 29 20:04:52,2023 APR 29 20:05:07,69.6265,-127.6529,70.1505,-126.1697,59.5841,60.2747,59.5208,60.205,0.072966,0.0797,15.8722,15.975
LANDER_Phoenix                                       ,7,3,177,2023 APR 30 02:08:40,2023 APR 30 02:08:44,70.1592,-124.0954,70.039,-123.75,97.0597,97.4275,86.1652,86.3271,11.6552,11.8749,22.0114,22.0356
LANDER_Phoenix                                       ,8,1,202,2023 MAY 02 03:15:55,2023 MAY 02 03:16:31,70.1502,-127.1424,68.8786,-123.75,85.306,87.0408,84.9735,86.6865,0.35338,0.37428,21.6242,21.8597
LANDER_Phoenix                                       ,9,3,211,2023 MAY 02 20:46:01,2023 MAY 02 20:46:18,66.3398,-125.0039,67.0118,-123.75,52.0661,52.9192,52.4696,53.2871,1.5999,1.5022,14.8033,14.8914
LANDER_Phoenix                                       ,10,3,227,2023 MAY 04 04:24:07,2023 MAY 04 04:24:53,69.0823,-127.6578,67.3424,-123.75,85.378,87.6693,85.0463,87.3157,0.34869,0.37071,21.4206,21.6936
LANDER_Phoenix                                       ,11,1,236,2023 MAY 04 21:53:56,2023 MAY 04 21:54:44,66.8951,-127.6745,68.7199,-123.75,50.9595,53.3551,51.0747,53.4316,0.69373,0.60614,14.4517,14.7261
LANDER_Phoenix                                       ,12,3,252,2023 MAY 06 05:32:28,2023 MAY 06 05:33:00,67.6051,-127.6696,66.3399,-125.2221,85.8056,87.4229,85.4689,87.0713,0.34922,0.36396,21.2531,21.425
LANDER_Phoenix                                       ,13,3,261,2023 MAY 06 23:02:29,2023 MAY 06 23:02:58,69.1233,-127.6575,70.1502,-124.8629,52.2674,53.6703,51.8513,53.2791,2.9559,2.7086,14.2894,14.4833
LANDER_Phoenix                                       ,14,1,289,2023 MAY 09 06:13:51,2023 MAY 09 06:13:59,70.1502,-124.579,69.8603,-123.75,79.7892,80.2004,79.5074,79.9146,0.29005,0.29395,20.2169,20.2744
LANDER_Phoenix                                       ,15,1,314,2023 MAY 11 07:21:34,2023 MAY 11 07:22:16,70.0355,-127.6488,68.5276,-123.75,78.084,80.1257,77.8172,79.8389,0.27278,0.29191,19.8353,20.1064
LANDER_Phoenix                                       ,16,1,323,2023 MAY 12 00:51:35,2023 MAY 12 00:52:06,66.3393,-126.1098,67.5525,-123.75,45.2075,46.6795,45.2843,46.7488,0.81707,0.76464,12.9728,13.1386
LANDER_Phoenix                                       ,17,3,339,2023 MAY 13 08:29:52,2023 MAY 13 08:30:39,68.7462,-127.6607,66.9237,-123.75,77.8318,80.1209,77.5655,79.8326,0.26979,0.29083,19.6664,19.94
LANDER_Spirit                                        ,1,3,100,2023 APR 23 18:09:22,2023 APR 23 18:10:38,-16.4217,173.9164,-12.6689,174.5755,46.9164,44.9888,46.6198,44.3296,0.7229,1.1257,13.9278,13.9922
LANDER_Spirit                                        ,2,3,187,2023 APR 30 21:07:18,2023 APR 30 21:08:34,-16.422,176.6607,-12.6687,177.3771,37.9854,34.4523,38.5804,35.1205,0.84279,0.9689,12.5347,12.6031
