MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2023 APR 15 17:34:32,2023 APR 15 17:39:32,2,2
2023 APR 15 19:49:11,2023 APR 15 19:54:11,3,3
2023 APR 16 21:05:52,2023 APR 16 21:10:52,16,16
2023 APR 16 23:10:50,2023 APR 16 23:15:50,17,17
2023 APR 17 05:05:15,2023 APR 17 05:10:15,20,20
2023 APR 17 07:02:58,2023 APR 17 07:07:15,21,21
2023 APR 17 16:49:31,2023 APR 17 16:52:11,26,26
2023 APR 17 18:43:04,2023 APR 17 18:43:07,27,27
2023 APR 17 22:46:35,2023 APR 17 22:51:35,29,29
2023 APR 18 00:32:29,2023 APR 18 00:37:29,30,30
2023 APR 18 20:23:42,2023 APR 18 20:28:42,40,40
2023 APR 19 14:02:01,2023 APR 19 14:07:01,49,49
2023 APR 19 17:54:58,2023 APR 19 17:59:58,51,51
2023 APR 19 19:52:28,2023 APR 19 19:57:28,52,52
2023 APR 19 23:55:18,2023 APR 19 23:56:50,54,54
2023 APR 20 01:40:04,2023 APR 20 01:45:04,55,55
2023 APR 20 21:34:18,2023 APR 20 21:37:53,65,65
2023 APR 21 05:16:29,2023 APR 21 05:21:29,69,69
2023 APR 21 17:09:10,2023 APR 21 17:14:10,75,75
2023 APR 21 21:00:19,2023 APR 21 21:05:19,77,77
2023 APR 21 22:55:06,2023 APR 21 23:00:06,78,78
2023 APR 22 01:04:11,2023 APR 22 01:09:11,79,79
2023 APR 22 06:57:13,2023 APR 22 07:02:13,82,82
2023 APR 22 10:44:51,2023 APR 22 10:49:51,84,84
2023 APR 22 16:52:18,2023 APR 22 16:57:18,87,87
2023 APR 22 20:33:27,2023 APR 22 20:38:27,89,89
2023 APR 23 04:24:22,2023 APR 23 04:29:22,93,93
2023 APR 24 02:12:08,2023 APR 24 02:17:08,104,104
2023 APR 24 05:59:07,2023 APR 24 06:04:07,106,106
2023 APR 24 11:50:27,2023 APR 24 11:55:27,109,109
2023 APR 24 15:49:32,2023 APR 24 15:51:40,111,111
2023 APR 24 19:47:55,2023 APR 24 19:52:55,113,113
2023 APR 25 05:38:57,2023 APR 25 05:41:06,118,118
2023 APR 25 13:40:04,2023 APR 25 13:45:04,122,122
2023 APR 25 17:20:31,2023 APR 25 17:25:31,124,124
2023 APR 26 03:16:26,2023 APR 26 03:16:42,129,129
2023 APR 26 05:13:50,2023 APR 26 05:15:23,130,130
2023 APR 26 09:13:03,2023 APR 26 09:18:03,132,132
2023 APR 26 22:46:46,2023 APR 26 22:51:46,139,139
2023 APR 27 14:44:03,2023 APR 27 14:49:03,147,147
2023 APR 27 16:35:51,2023 APR 27 16:40:51,148,148
2023 APR 27 20:32:30,2023 APR 27 20:37:30,150,150
2023 APR 28 02:26:48,2023 APR 28 02:31:48,153,153
2023 APR 28 08:20:52,2023 APR 28 08:25:52,156,156
2023 APR 28 12:23:24,2023 APR 28 12:28:24,158,158
2023 APR 28 18:09:01,2023 APR 28 18:14:01,161,161
2023 APR 28 21:59:00,2023 APR 28 22:04:00,163,163
2023 APR 28 23:57:07,2023 APR 29 00:02:07,164,164
2023 APR 30 05:22:59,2023 APR 30 05:27:59,179,179
2023 APR 30 19:07:37,2023 APR 30 19:12:37,186,186
2023 MAY 01 02:58:45,2023 MAY 01 03:02:35,190,190
2023 MAY 01 07:02:11,2023 MAY 01 07:07:11,192,192
2023 MAY 01 09:00:12,2023 MAY 01 09:05:12,193,193
2023 MAY 01 16:48:36,2023 MAY 01 16:53:36,197,197
2023 MAY 01 20:46:15,2023 MAY 01 20:51:15,199,199
2023 MAY 02 00:38:28,2023 MAY 02 00:43:28,201,201
2023 MAY 02 20:22:53,2023 MAY 02 20:27:53,211,211
2023 MAY 03 06:19:38,2023 MAY 03 06:24:38,216,216
2023 MAY 03 10:05:22,2023 MAY 03 10:10:22,218,218
2023 MAY 04 05:49:28,2023 MAY 04 05:54:28,228,228
2023 MAY 05 17:04:19,2023 MAY 05 17:09:19,246,246
2023 MAY 05 19:04:03,2023 MAY 05 19:09:03,247,247
2023 MAY 06 16:49:59,2023 MAY 06 16:54:59,258,258
2023 MAY 07 02:30:56,2023 MAY 07 02:35:56,263,263
2023 MAY 07 06:23:32,2023 MAY 07 06:28:32,265,265
2023 MAY 07 12:19:40,2023 MAY 07 12:24:40,268,268
2023 MAY 07 18:12:24,2023 MAY 07 18:17:24,271,271
2023 MAY 08 21:51:15,2023 MAY 08 21:56:15,285,285
2023 MAY 09 03:40:33,2023 MAY 09 03:45:33,288,288
2023 MAY 09 05:34:21,2023 MAY 09 05:39:21,289,289
2023 MAY 09 11:29:58,2023 MAY 09 11:34:58,292,292
2023 MAY 09 15:21:55,2023 MAY 09 15:22:13,294,294
2023 MAY 10 07:05:04,2023 MAY 10 07:10:04,302,302
2023 MAY 10 11:11:56,2023 MAY 10 11:16:56,304,304
2023 MAY 12 12:20:04,2023 MAY 12 12:25:04,329,329
