TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2023 JUN 11 06:15:00,8,8
2023 JUN 11 10:12:00,10,10
2023 JUN 11 12:09:00,11,11
2023 JUN 11 18:06:00,14,14
2023 JUN 12 17:39:00,26,26
2023 JUN 12 19:39:00,27,27
2023 JUN 12 23:33:00,29,29
2023 JUN 12 23:36:00,29,29
2023 JUN 13 01:33:00,30,30
2023 JUN 13 03:30:00,31,31
2023 JUN 13 05:30:00,32,32
2023 JUN 14 05:06:00,44,44
2023 JUN 14 07:06:00,45,45
2023 JUN 14 09:03:00,46,46
2023 JUN 14 13:00:00,48,48
2023 JUN 14 14:57:00,49,49
2023 JUN 14 16:57:00,50,50
2023 JUN 15 16:33:00,62,62
2023 JUN 15 20:33:00,64,64
2023 JUN 15 22:30:00,65,65
2023 JUN 16 00:27:00,66,66
2023 JUN 16 02:30:00,67,67
2023 JUN 16 02:27:00,67,67
2023 JUN 17 02:09:00,79,79
2023 JUN 17 04:06:00,80,80
2023 JUN 17 04:03:00,80,80
2023 JUN 17 06:00:00,81,81
2023 JUN 17 10:06:00,83,83
2023 JUN 17 10:03:00,83,83
2023 JUN 17 10:00:00,83,83
2023 JUN 17 11:57:00,84,84
2023 JUN 17 11:54:00,84,84
2023 JUN 17 16:03:00,86,86
2023 JUN 18 15:36:00,98,98
2023 JUN 18 17:30:00,99,99
2023 JUN 18 19:24:00,100,100
2023 JUN 18 23:27:00,102,102
2023 JUN 20 01:00:00,115,115
2023 JUN 20 00:57:00,115,115
2023 JUN 20 06:54:00,118,118
2023 JUN 20 10:00:00,120,120
2023 JUN 21 20:21:00,137,137
2023 JUN 21 20:18:00,137,137
2023 JUN 21 21:24:00,138,138
2023 JUN 22 03:18:00,141,141
2023 JUN 22 19:54:00,149,149
2023 JUN 23 01:51:00,152,152
2023 JUN 23 08:48:00,156,156
2023 JUN 23 10:45:00,157,157
2023 JUN 24 10:18:00,169,169
2023 JUN 24 15:12:00,171,171
2023 JUN 24 16:15:00,172,172
2023 JUN 24 22:09:00,175,175
2023 JUN 25 00:06:00,176,176
2023 JUN 26 05:33:00,191,191
2023 JUN 25 23:39:00,188,188
2023 JUN 26 05:36:00,191,191
2023 JUN 26 11:30:00,194,194
2023 JUN 26 13:27:00,195,195
2023 JUN 27 22:54:00,212,212
2023 JUN 28 00:51:00,213,213
2023 JUN 29 12:15:00,231,231
2023 JUN 29 18:09:00,234,234
2023 JUN 29 20:06:00,235,235
2023 JUN 30 00:03:00,237,237
2023 JUL 01 07:30:00,253,253
2023 JUL 01 13:24:00,256,256
2023 JUL 02 12:57:00,268,268
2023 JUL 04 02:18:00,287,287
2023 JUL 05 19:36:00,308,308
2023 JUL 05 21:33:00,309,309
2023 JUL 07 14:51:00,330,330
2023 JUL 07 20:45:00,333,333
