S/C,UTC,UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
MRO,2023 JUN 10 00:33:00,62.102,-172.6591,310.4803,15.0519,48.7135,7.1608e-14,48.7135
TGO,2023 JUN 10 00:45:00,62.4541,-177.2497,429.5896,14.9406,48.2298,0.40113,48.6305

MRO,2023 JUN 11 06:27:00,57.5594,111.6047,306.7433,15.1069,46.9444,4.5981e-14,46.9444
TGO,2023 JUN 11 06:15:00,59.0161,112.465,426.9601,14.9697,46.6402,0.025252,46.6481

MRO,2023 JUN 11 10:12:00,59.6554,56.3998,307.5936,15.0767,47.6488,1.1468e-14,47.6488
TGO,2023 JUN 11 10:12:00,55.8912,58.1052,424.4206,15.1906,46.8937,2.9936,43.9079

MRO,2023 JUN 11 12:03:00,55.9415,30.0986,306.5156,15.1242,46.4004,1.3114e-14,46.4004
TGO,2023 JUN 11 12:09:00,58.1385,27.0618,424.9791,15.0189,46.562,1.8624,44.7242

MRO,2023 JUN 11 17:39:00,53.6737,-51.2952,303.9002,15.1486,45.7318,3.9852e-14,45.7318
TGO,2023 JUN 11 18:06:00,49.1886,-54.4008,422.9711,15.3797,46.4495,1.2909,47.7246

MRO,2023 JUN 12 17:57:00,51.6974,-45.784,302.34,15.1692,45.1949,6.4323e-14,45.1949
TGO,2023 JUN 12 17:39:00,54.5423,-43.7803,426.0494,15.0108,44.9115,4.3257,40.6036

MRO,2023 JUN 12 19:48:00,47.8896,-72.4427,299.7781,15.1928,44.3056,2.8625e-14,44.3056
TGO,2023 JUN 12 19:39:00,48.6701,-69.7772,422.1453,15.2244,44.8114,1.4816,43.3366

MRO,2023 JUN 12 23:33:00,50.0352,-127.4516,300.2593,15.1756,44.7307,3.2435e-14,44.7307
TGO,2023 JUN 12 23:33:00,53.5105,-130.7843,423.7288,14.9533,44.0272,0.86249,44.8637
TGO,2023 JUN 12 23:36:00,45.1195,-126.2609,418.7689,15.3036,44.8006,0.87816,45.621

MRO,2023 JUN 13 01:24:00,46.2936,-154.0041,299.151,15.2061,44.046,1.4224e-14,44.046
TGO,2023 JUN 13 01:33:00,47.6362,-156.2458,421.0618,15.2028,44.3309,0.11092,44.3972

MRO,2023 JUN 13 03:18:00,51.9061,177.6801,304.0365,15.1678,45.2369,3.7096e-14,45.2369
TGO,2023 JUN 13 03:30:00,50.3375,174.204,422.3318,15.1308,44.4093,4.7411,39.6696

MRO,2023 JUN 13 05:09:00,47.9928,151.108,301.4981,15.1972,44.3619,6.9972e-14,44.3619
TGO,2023 JUN 13 05:30:00,44.3821,147.1449,418.441,15.2736,44.3465,0.69348,45.04

MRO,2023 JUN 14 05:24:00,36.6114,158.0734,293.1826,15.2658,43.3822,6.273e-14,43.3822
TGO,2023 JUN 14 05:06:00,41.2747,161.9338,416.8127,15.2311,43.3788,4.3396,39.0609

MRO,2023 JUN 14 07:15:00,32.6704,131.3269,289.5783,15.2833,43.5936,1.4224e-14,43.5936
TGO,2023 JUN 14 07:06:00,35.2855,134.3086,412.638,15.3361,44.2042,0.17437,44.3568

MRO,2023 JUN 14 09:09:00,38.3469,103.1641,292.5605,15.2553,43.3517,5.1506e-14,43.3517
TGO,2023 JUN 14 09:03:00,37.9746,104.5611,414.172,15.2511,43.2766,0.1574,43.4049

MRO,2023 JUN 14 12:51:00,31.0538,49.6522,288.0365,15.2892,43.7493,3.7091e-14,43.7493
TGO,2023 JUN 14 13:00:00,34.3088,47.8919,410.1545,15.3181,43.98,0.17278,44.1335

MRO,2023 JUN 14 14:45:00,36.772,21.5802,293.3403,15.2672,43.3981,3.6124e-14,43.3981
TGO,2023 JUN 14 14:57:00,36.6726,17.4342,412.4584,15.1856,42.4159,5.6119,47.8788

MRO,2023 JUN 14 16:36:00,32.8152,-5.1258,289.726,15.2875,43.6342,5.566e-15,43.6342
TGO,2023 JUN 14 16:57:00,30.8523,-9.2397,409.9688,15.3539,44.5889,1.1708,45.6878

MRO,2023 JUN 15 16:54:00,30.6478,0.27051,288.759,15.3003,43.9016,4.0232e-14,43.9016
TGO,2023 JUN 15 16:33:00,27.5905,4.3218,407.4861,15.2297,43.2958,1.5387,44.6557

MRO,2023 JUN 15 20:33:00,13.1893,-52.1024,275.051,15.3614,48.7217,1.036e-13,48.7217
TGO,2023 JUN 15 20:33:00,15.5646,-51.025,400.9694,15.4333,48.8727,1.5668,50.1244

MRO,2023 JUN 15 22:27:00,18.9514,-80.159,278.9714,15.3406,46.5673,1.8271e-14,46.5673
TGO,2023 JUN 15 22:30:00,18.191,-80.5762,402.0013,15.3614,47.0695,2.6647,49.3403

MRO,2023 JUN 16 00:21:00,24.7982,-108.225,283.2221,15.3189,44.9101,2.3155e-14,44.9101
TGO,2023 JUN 16 00:27:00,20.8016,-109.6707,402.8911,15.3197,45.7933,0.3273,45.4811

MRO,2023 JUN 16 02:06:00,1.9129,-132.5984,268.0769,15.3972,54.102,2.6336e-14,54.102
TGO,2023 JUN 16 02:30:00,5.7097,-135.8673,393.9823,15.5689,54.5816,0.24978,54.7595

MRO,2023 JUN 16 02:09:00,11.5059,-133.7865,274.1889,15.3667,49.4283,5.4186e-14,49.4283
TGO,2023 JUN 16 02:27:00,14.5595,-137.4327,399.2178,15.4158,48.9732,0.2391,49.1873

MRO,2023 JUN 17 02:21:00,-9.9726,-126.0506,261.7262,15.4381,61.1183,2.0178e-14,61.1183
TGO,2023 JUN 17 02:09:00,-6.3764,-121.0756,388.021,15.575,60.7481,0.34428,60.8735

MRO,2023 JUN 17 04:15:00,-4.1483,-154.0755,265.3443,15.4192,57.5696,2.3426e-14,57.5696
TGO,2023 JUN 17 04:06:00,-3.7626,-150.552,389.7601,15.5081,58.4821,1.3441,59.3137

MRO,2023 JUN 17 04:18:00,5.4579,-155.2536,270.8273,15.3892,52.3103,4.5878e-14,52.3103
TGO,2023 JUN 17 04:03:00,5.0939,-152.1341,394.1235,15.3539,52.0094,2.0899,53.5325

MRO,2023 JUN 17 06:12:00,11.1209,176.7391,274.7829,15.3714,49.6478,8.1961e-15,49.6478
TGO,2023 JUN 17 06:00:00,7.8328,178.4582,395.7843,15.2914,49.9375,1.8297,51.3115

MRO,2023 JUN 17 09:45:00,-25.7441,126.7268,256.4612,15.4928,71.6239,1.4224e-14,71.6239
TGO,2023 JUN 17 10:06:00,-22.0512,126.2593,382.3141,15.8022,72.5943,1.3468,71.5489

MRO,2023 JUN 17 09:48:00,-16.0727,125.4796,259.6172,15.4583,65.0575,6.58e-14,65.0575
TGO,2023 JUN 17 10:03:00,-13.1477,124.5423,384.9022,15.6392,65.3943,1.6575,64.1599

MRO,2023 JUN 17 09:51:00,-6.4286,124.2819,263.8381,15.4272,58.9445,5.884e-14,58.9445
TGO,2023 JUN 17 10:00:00,-4.248,122.9757,388.3979,15.4861,58.4707,1.6509,57.2413

MRO,2023 JUN 17 11:45:00,-0.6417,96.2834,266.2995,15.41,55.5825,6.5032e-15,55.5825
TGO,2023 JUN 17 11:57:00,-1.6671,93.2751,388.8097,15.4042,56.0454,1.6265,57.0853

MRO,2023 JUN 17 11:48:00,8.9598,95.094,271.9588,15.3794,50.6358,8.3015e-15,50.6358
TGO,2023 JUN 17 11:54:00,7.2009,91.7174,393.5269,15.2517,49.6873,2.13,51.2677

MRO,2023 JUN 17 15:18:00,-37.0258,46.4702,253.9325,15.5444,79.6559,2.915e-14,79.6559
TGO,2023 JUN 17 16:03:00,-32.1032,41.715,380.2222,15.9575,80.3853,0.48028,80.3449

MRO,2023 JUN 18 15:36:00,-38.982,51.889,253.0513,15.5586,81.1314,4.3725e-14,81.1314
TGO,2023 JUN 18 15:39:00,-35.3982,55.407,379.7702,15.8419,81.3363,0.48475,81.3658

MRO,2023 JUN 18 15:39:00,-29.2754,50.482,254.9963,15.5136,74.1971,6.8806e-14,74.1971
TGO,2023 JUN 18 15:36:00,-26.5497,53.0837,380.8833,15.6383,73.6734,0.44547,73.6482

