MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2023 FEB 18 18:26:48,2023 FEB 18 18:29:25,2,2
2023 FEB 19 00:18:09,2023 FEB 19 00:23:09,5,5
2023 FEB 19 12:04:32,2023 FEB 19 12:09:32,11,11
2023 FEB 20 13:40:31,2023 FEB 20 13:44:21,24,24
2023 FEB 20 19:30:13,2023 FEB 20 19:35:13,27,27
2023 FEB 21 03:15:46,2023 FEB 21 03:20:19,31,31
2023 FEB 21 15:14:27,2023 FEB 21 15:19:27,37,37
2023 FEB 22 01:03:18,2023 FEB 22 01:06:00,42,42
2023 FEB 23 22:14:46,2023 FEB 23 22:19:46,65,65
2023 FEB 24 02:08:47,2023 FEB 24 02:13:47,67,67
2023 FEB 24 04:12:34,2023 FEB 24 04:15:20,68,68
2023 FEB 24 23:46:59,2023 FEB 24 23:51:59,78,78
2023 FEB 26 13:11:21,2023 FEB 26 13:16:21,97,97
2023 FEB 27 22:40:07,2023 FEB 27 22:41:28,114,114
2023 FEB 28 22:11:01,2023 FEB 28 22:16:01,126,126
2023 MAR 02 01:41:40,2023 MAR 02 01:44:53,140,140
2023 MAR 03 11:03:57,2023 MAR 03 11:08:57,157,157
2023 MAR 05 10:15:53,2023 MAR 05 10:19:14,181,181
2023 MAR 07 21:10:07,2023 MAR 07 21:15:07,211,211
2023 MAR 07 23:09:37,2023 MAR 07 23:14:37,212,212
2023 MAR 08 16:41:12,2023 MAR 08 16:46:12,221,221
2023 MAR 09 12:29:00,2023 MAR 09 12:34:00,231,231
2023 MAR 10 12:05:15,2023 MAR 10 12:10:15,243,243
2023 MAR 11 21:24:14,2023 MAR 11 21:29:14,260,260
2023 MAR 12 01:28:34,2023 MAR 12 01:28:50,262,262
2023 MAR 13 02:50:51,2023 MAR 13 02:55:51,275,275
2023 MAR 13 10:50:18,2023 MAR 13 10:52:47,279,279
2023 MAR 13 14:49:58,2023 MAR 13 14:50:24,281,281
2023 MAR 14 06:29:57,2023 MAR 14 06:34:57,289,289
2023 MAR 16 19:27:40,2023 MAR 16 19:32:40,320,320
2023 MAR 16 23:13:36,2023 MAR 16 23:18:36,322,322
