MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2023 FEB 18 18:24:25,2023 FEB 18 18:29:25,2,2
2023 FEB 19 00:18:09,2023 FEB 19 00:23:09,5,5
2023 FEB 19 02:17:58,2023 FEB 19 02:22:58,6,6
2023 FEB 19 12:04:32,2023 FEB 19 12:09:32,11,11
2023 FEB 19 21:53:47,2023 FEB 19 21:58:47,16,16
2023 FEB 20 01:46:44,2023 FEB 20 01:51:44,18,18
2023 FEB 20 09:40:07,2023 FEB 20 09:45:07,22,22
2023 FEB 20 13:39:21,2023 FEB 20 13:44:21,24,24
2023 FEB 20 17:51:30,2023 FEB 20 17:55:21,26,26
2023 FEB 20 19:30:13,2023 FEB 20 19:35:13,27,27
2023 FEB 21 03:15:19,2023 FEB 21 03:20:19,31,31
2023 FEB 21 15:14:27,2023 FEB 21 15:19:27,37,37
2023 FEB 22 01:01:00,2023 FEB 22 01:06:00,42,42
2023 FEB 22 07:04:29,2023 FEB 22 07:09:29,45,45
2023 FEB 22 10:48:13,2023 FEB 22 10:53:13,47,47
2023 FEB 22 16:40:42,2023 FEB 22 16:45:42,50,50
2023 FEB 23 22:14:46,2023 FEB 23 22:19:46,65,65
2023 FEB 24 02:08:47,2023 FEB 24 02:13:47,67,67
2023 FEB 24 04:10:20,2023 FEB 24 04:15:20,68,68
2023 FEB 24 11:51:52,2023 FEB 24 11:56:52,72,72
2023 FEB 24 23:46:59,2023 FEB 24 23:51:59,78,78
2023 FEB 25 03:53:39,2023 FEB 25 03:58:39,80,80
2023 FEB 25 19:30:56,2023 FEB 25 19:33:51,88,88
2023 FEB 26 05:18:35,2023 FEB 26 05:22:36,93,93
2023 FEB 26 13:11:21,2023 FEB 26 13:16:21,97,97
2023 FEB 27 06:48:49,2023 FEB 27 06:53:49,106,106
2023 FEB 27 14:39:35,2023 FEB 27 14:44:35,110,110
2023 FEB 27 16:37:36,2023 FEB 27 16:39:49,111,111
2023 FEB 27 22:36:28,2023 FEB 27 22:41:28,114,114
2023 FEB 28 00:30:52,2023 FEB 28 00:35:40,115,115
2023 FEB 28 22:11:01,2023 FEB 28 22:16:01,126,126
2023 MAR 01 13:55:11,2023 MAR 01 14:00:11,134,134
2023 MAR 02 01:39:53,2023 MAR 02 01:44:53,140,140
2023 MAR 02 03:35:27,2023 MAR 02 03:40:27,141,141
2023 MAR 02 15:17:53,2023 MAR 02 15:22:53,147,147
2023 MAR 03 11:03:57,2023 MAR 03 11:08:57,157,157
2023 MAR 04 08:37:35,2023 MAR 04 08:42:35,168,168
2023 MAR 05 10:14:14,2023 MAR 05 10:19:14,181,181
2023 MAR 05 17:59:33,2023 MAR 05 18:04:33,185,185
2023 MAR 06 00:04:05,2023 MAR 06 00:09:05,188,188
2023 MAR 06 17:34:43,2023 MAR 06 17:39:43,197,197
2023 MAR 06 19:41:14,2023 MAR 06 19:44:33,198,198
2023 MAR 07 05:29:44,2023 MAR 07 05:34:44,203,203
2023 MAR 07 21:10:07,2023 MAR 07 21:15:07,211,211
2023 MAR 07 23:09:37,2023 MAR 07 23:14:37,212,212
2023 MAR 08 16:41:12,2023 MAR 08 16:46:12,221,221
2023 MAR 09 12:29:00,2023 MAR 09 12:34:00,231,231
2023 MAR 10 00:22:25,2023 MAR 10 00:26:57,237,237
2023 MAR 10 12:05:15,2023 MAR 10 12:10:15,243,243
2023 MAR 10 18:05:59,2023 MAR 10 18:10:40,246,246
2023 MAR 11 09:54:17,2023 MAR 11 09:59:17,254,254
2023 MAR 11 11:45:46,2023 MAR 11 11:50:46,255,255
2023 MAR 11 17:24:27,2023 MAR 11 17:29:27,258,258
2023 MAR 11 21:24:14,2023 MAR 11 21:29:14,260,260
2023 MAR 12 01:23:50,2023 MAR 12 01:28:50,262,262
2023 MAR 12 03:26:46,2023 MAR 12 03:31:46,263,263
2023 MAR 12 17:11:37,2023 MAR 12 17:16:37,270,270
2023 MAR 12 23:00:11,2023 MAR 12 23:05:11,273,273
2023 MAR 13 02:50:51,2023 MAR 13 02:55:51,275,275
2023 MAR 13 06:51:42,2023 MAR 13 06:56:42,277,277
2023 MAR 13 10:47:47,2023 MAR 13 10:52:47,279,279
2023 MAR 13 14:45:24,2023 MAR 13 14:50:24,281,281
2023 MAR 14 06:29:57,2023 MAR 14 06:34:57,289,289
2023 MAR 15 00:10:47,2023 MAR 15 00:14:35,298,298
2023 MAR 15 08:02:30,2023 MAR 15 08:07:30,302,302
2023 MAR 15 09:56:38,2023 MAR 15 10:01:38,303,303
2023 MAR 15 19:39:05,2023 MAR 15 19:44:05,308,308
2023 MAR 15 23:48:57,2023 MAR 15 23:53:57,310,310
2023 MAR 16 05:39:10,2023 MAR 16 05:44:10,313,313
2023 MAR 16 13:26:16,2023 MAR 16 13:31:16,317,317
2023 MAR 16 17:28:14,2023 MAR 16 17:33:14,319,319
2023 MAR 16 19:27:40,2023 MAR 16 19:32:40,320,320
2023 MAR 16 23:13:36,2023 MAR 16 23:18:36,322,322
2023 MAR 17 05:15:53,2023 MAR 17 05:19:06,325,325
2023 MAR 17 07:12:18,2023 MAR 17 07:17:18,326,326
2023 MAR 18 04:33:21,2023 MAR 18 04:38:21,337,337
