TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2021 OCT 15 15:18:00,14,14
2021 OCT 15 19:15:00,16,16
2021 OCT 17 04:39:00,33,33
2021 OCT 17 10:33:00,36,36
2021 OCT 18 06:12:00,46,46
2021 OCT 18 23:54:00,55,55
2021 OCT 20 01:27:00,68,68
2021 OCT 20 05:24:00,70,70
2021 OCT 20 11:18:00,73,73
2021 OCT 20 21:09:00,78,78
2021 OCT 20 15:15:00,75,75
2021 OCT 21 14:48:00,87,87
2021 OCT 21 20:42:00,90,90
2021 OCT 23 02:12:00,105,105
2021 OCT 23 06:09:00,107,107
2021 OCT 23 08:06:00,108,108
2021 OCT 23 12:03:00,110,110
2021 OCT 23 14:00:00,111,111
2021 OCT 24 17:33:00,125,125
2021 OCT 24 19:30:00,126,126
2021 OCT 24 23:27:00,128,128
2021 OCT 25 01:27:00,129,129
2021 OCT 25 07:21:00,132,132
2021 OCT 26 06:57:00,144,144
2021 OCT 26 08:54:00,145,145
2021 OCT 26 10:54:00,146,146
2021 OCT 26 12:51:00,147,147
2021 OCT 26 14:48:00,148,148
2021 OCT 26 16:48:00,149,149
2021 OCT 26 18:45:00,150,150
2021 OCT 27 20:21:00,163,163
2021 OCT 27 20:21:00,163,163
2021 OCT 27 22:21:00,164,164
2021 OCT 28 00:18:00,165,165
2021 OCT 28 02:15:00,166,166
2021 OCT 28 04:15:00,167,167
2021 OCT 28 06:12:00,168,168
2021 OCT 29 05:51:00,180,180
2021 OCT 29 07:48:00,181,181
2021 OCT 29 09:51:00,182,182
2021 OCT 29 11:48:00,183,183
2021 OCT 29 13:45:00,184,184
