MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2020 DEC 26 18:50:30,2020 DEC 26 18:52:06,2,2
2020 DEC 28 08:08:43,2020 DEC 28 08:13:43,21,21
2020 DEC 31 04:38:12,2020 DEC 31 04:43:12,56,56
2020 DEC 31 08:46:14,2020 DEC 31 08:51:14,58,58
2021 JAN 01 02:27:00,2021 JAN 01 02:31:11,67,67
2021 JAN 02 20:09:55,2021 JAN 02 20:14:55,88,88
2021 JAN 03 00:06:25,2021 JAN 03 00:11:25,90,90
2021 JAN 03 19:46:19,2021 JAN 03 19:51:19,100,100
2021 JAN 04 01:33:48,2021 JAN 04 01:38:48,103,103
2021 JAN 04 09:23:41,2021 JAN 04 09:28:41,107,107
2021 JAN 04 14:56:22,2021 JAN 04 15:01:22,110,110
2021 JAN 06 04:45:02,2021 JAN 06 04:50:02,129,129
2021 JAN 06 10:37:31,2021 JAN 06 10:41:11,132,132
2021 JAN 06 16:04:44,2021 JAN 06 16:09:44,135,135
2021 JAN 07 00:23:11,2021 JAN 07 00:28:11,139,139
2021 JAN 08 23:31:55,2021 JAN 08 23:36:55,163,163
2021 JAN 09 03:32:00,2021 JAN 09 03:37:00,165,165
2021 JAN 10 12:44:24,2021 JAN 10 12:49:24,182,182
2021 JAN 10 22:30:42,2021 JAN 10 22:35:42,187,187
2021 JAN 11 00:31:23,2021 JAN 11 00:36:23,188,188
2021 JAN 11 06:45:20,2021 JAN 11 06:49:17,191,191
2021 JAN 11 08:45:34,2021 JAN 11 08:50:34,192,192
2021 JAN 12 02:04:16,2021 JAN 12 02:09:16,201,201
2021 JAN 12 20:08:31,2021 JAN 12 20:09:02,210,210
2021 JAN 12 23:55:50,2021 JAN 13 00:00:50,212,212
2021 JAN 14 13:14:08,2021 JAN 14 13:19:08,231,231
2021 JAN 14 14:56:08,2021 JAN 14 15:01:08,232,232
2021 JAN 15 22:45:04,2021 JAN 15 22:50:04,248,248
2021 JAN 16 00:39:35,2021 JAN 16 00:44:35,249,249
2021 JAN 16 04:35:18,2021 JAN 16 04:40:18,251,251
2021 JAN 20 01:02:47,2021 JAN 20 01:07:47,298,298
2021 JAN 20 12:50:33,2021 JAN 20 12:55:33,304,304
2021 JAN 21 02:37:17,2021 JAN 21 02:42:17,311,311
2021 JAN 22 06:01:51,2021 JAN 22 06:06:51,325,325
2021 JAN 22 17:50:42,2021 JAN 22 17:55:42,331,331
