TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2022 NOV 26 22:45:00,4,4
2022 NOV 27 14:30:00,12,12
2022 NOV 28 18:00:00,26,26
2022 DEC 01 16:45:00,62,62
2022 DEC 03 12:00:00,84,84
2022 DEC 03 21:51:00,89,89
2022 DEC 05 11:12:00,108,108
2022 DEC 07 00:33:00,127,127
2022 DEC 08 17:51:00,148,148
2022 DEC 10 03:15:00,165,165
2022 DEC 10 07:12:00,167,167
2022 DEC 10 11:09:00,169,169
2022 DEC 12 00:30:00,188,188
2022 DEC 13 00:03:00,200,200
2022 DEC 13 04:00:00,202,202
2022 DEC 13 07:57:00,204,204
2022 DEC 13 11:54:00,206,206
2022 DEC 13 15:51:00,208,208
2022 DEC 13 15:51:00,208,208
2022 DEC 14 23:18:00,224,224
2022 DEC 15 03:15:00,226,226
2022 DEC 16 10:42:00,242,242
2022 DEC 16 14:39:00,244,244
2022 DEC 16 18:36:00,246,246
2022 DEC 16 20:33:00,247,247
2022 DEC 16 22:33:00,248,248
2022 DEC 18 00:06:00,261,261
2022 DEC 18 02:03:00,262,262
2022 DEC 18 04:03:00,263,263
2022 DEC 18 06:00:00,264,264
2022 DEC 18 09:57:00,266,266
2022 DEC 19 11:30:00,279,279
2022 DEC 19 13:30:00,280,280
2022 DEC 19 17:27:00,282,282
2022 DEC 19 19:24:00,283,283
2022 DEC 19 23:21:00,285,285
2022 DEC 21 04:54:00,300,300
2022 DEC 21 06:51:00,301,301
2022 DEC 21 08:51:00,302,302
2022 DEC 21 10:48:00,303,303
2022 DEC 21 14:45:00,305,305
2022 DEC 22 20:18:00,320,320
2022 DEC 22 22:18:00,321,321
2022 DEC 23 00:15:00,322,322
2022 DEC 23 02:12:00,323,323
2022 DEC 23 04:09:00,324,324
2022 DEC 24 03:45:00,336,336
2022 DEC 24 13:39:00,341,341
