S/C,UTC,UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
MRO,2022 NOV 26 23:21:00,-74.5342,140.668,252.6909,15.0281,73.0986,1.3114e-14,73.0986
TGO,2022 NOV 26 22:45:00,-75.0016,143.0288,380.8786,14.6014,72.2606,0.34655,72.2813

MRO,2022 NOV 27 14:18:00,-75.5923,-76.5943,251.6884,15.0956,74.1233,3.7736e-14,74.1233
TGO,2022 NOV 27 14:30:00,-72.558,-72.5572,381.6583,15.5594,73.7876,0.39751,73.8281

MRO,2022 NOV 28 18:21:00,-73.7165,-127.3934,253.5058,15.0119,72.8863,8.996e-15,72.8863
TGO,2022 NOV 28 18:00:00,-73.8163,-124.1821,379.8934,14.8856,72.5696,0.36475,72.5911

MRO,2022 DEC 01 17:24:00,-72.4884,-85.3012,251.2109,14.9767,72.578,1.1639e-14,72.578
TGO,2022 DEC 01 16:45:00,-73.2218,-82.6592,381.8855,14.52,71.7214,0.35509,71.7264

MRO,2022 DEC 03 12:24:00,-71.7623,6.3532,254.9908,14.9425,72.3523,9.9392e-15,72.3523
TGO,2022 DEC 03 12:00:00,-71.2238,9.7383,378.6957,14.7786,71.425,0.37872,71.4258

MRO,2022 DEC 03 21:45:00,-71.07,-130.2511,253.6887,14.9367,71.9448,2.8669e-14,71.9448
TGO,2022 DEC 03 21:51:00,-68.105,-126.4068,379.0141,15.2903,71.4507,0.42128,71.4576

MRO,2022 DEC 05 11:09:00,-68.9627,42.7931,251.9861,14.8778,70.619,2.4841e-14,70.619
TGO,2022 DEC 05 11:12:00,-66.2615,47.5355,379.0466,15.2425,70.4461,0.43255,70.4428

MRO,2022 DEC 07 00:33:00,-67.0905,-143.8156,253.1869,14.8422,69.5173,1.778e-14,69.5173
