degf,dvaf,sbsf,aotfPointer,steppingPointer,accumulationCount,binningFactor,integrationTime
0,1,1,140,10,86,0,1000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=848MS -- NROWS=24
0,1,1,140,10,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,110,12,86,0,1000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=848MS -- NROWS=24
0,1,1,110,12,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,110,7,14,4,1000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=762MS -- NROWS=20
0,1,1,110,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,120,7,14,4,1000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=762MS -- NROWS=20
0,1,1,120,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,130,7,14,4,1000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=762MS -- NROWS=20
0,1,1,130,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,140,7,14,4,1000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=762MS -- NROWS=20
0,1,1,140,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,150,7,14,4,1000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=762MS -- NROWS=20
0,1,1,150,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,160,7,14,4,1000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=762MS -- NROWS=20
0,1,1,160,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,170,7,14,4,1000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=762MS -- NROWS=20
0,1,1,170,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,180,7,14,4,1000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=762MS -- NROWS=20
0,1,1,180,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,190,7,14,4,1000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=762MS -- NROWS=20
0,1,1,190,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,200,7,14,4,1000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=762MS -- NROWS=20
0,1,1,200,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,210,7,14,4,1000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=762MS -- NROWS=20
0,1,1,210,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,110,9,14,4,1000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=762MS -- NROWS=20
0,1,1,110,9,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,140,9,14,4,1000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=762MS -- NROWS=20
0,1,1,140,9,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,170,9,14,4,1000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=762MS -- NROWS=20
