science_1,science_2,science_3,science_4,science_5,science_6
59,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
60,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
61,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
62,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
63,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
64,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
65,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
66,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
67,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
68,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
69,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
70,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
71,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
72,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
73,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
74,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
75,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
76,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
77,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
78,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
79,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
80,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
81,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
