TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
-1,-1,-1,-1,416,Dayside_Nadir,2018 MAY 06 02:32:19, 
-1,-1,-1,-1,417,Dayside_Nadir,2018 MAY 06 02:32:19, 
-1,-1,-1,-1,418,Dayside_Nadir,2018 MAY 06 02:32:19, 
1,1,1837,1837,421,Dayside_Nadir,2018 MAY 06 04:30:11,OBSERVATION_COMMENT
-1,-1,-1,-1,422,Dayside_Nadir,2018 MAY 06 06:28:05, 
-1,-1,-1,-1,423,Dayside_Nadir,2018 MAY 06 06:28:05, 
-1,-1,-1,-1,424,Dayside_Nadir,2018 MAY 06 06:28:05, 
1,1,1033,1033,425,Dayside_Nadir,2018 MAY 06 08:16:01,OBSERVATION_COMMENT
1,1,140,140,428,Dayside_Nadir,2018 MAY 06 10:23:59,OBSERVATION_COMMENT
-1,-1,-1,-1,429,Dayside_Nadir,2018 MAY 06 12:21:59, 
-1,-1,-1,-1,430,Dayside_Nadir,2018 MAY 06 12:21:59, 
-1,-1,-1,-1,431,Dayside_Nadir,2018 MAY 06 12:21:59, 
-1,-1,-1,-1,432,Dayside_Nadir,2018 MAY 06 14:19:55, 
-1,-1,-1,-1,433,Dayside_Nadir,2018 MAY 06 14:19:55, 
-1,-1,-1,-1,434,Dayside_Nadir,2018 MAY 06 14:19:55, 
1,1,104,104,437,Dayside_Nadir,2018 MAY 06 16:17:51,OBSERVATION_COMMENT
1,1,2639,2639,438,Dayside_Nadir,2018 MAY 06 18:05:43,OBSERVATION_COMMENT
-1,-1,-1,-1,439,Dayside_Nadir,2018 MAY 06 20:13:39, 
-1,-1,-1,-1,440,Dayside_Nadir,2018 MAY 06 20:13:39, 
-1,-1,-1,-1,441,Dayside_Nadir,2018 MAY 06 20:13:39, 
1,1,2626,2626,442,Dayside_Nadir,2018 MAY 06 22:01:39,OBSERVATION_COMMENT
-1,-1,-1,-1,443,Dayside_Nadir,2018 MAY 07 00:09:41, 
-1,-1,-1,-1,444,Dayside_Nadir,2018 MAY 07 00:09:41, 
-1,-1,-1,-1,445,Dayside_Nadir,2018 MAY 07 00:09:41, 
1,1,1029,1029,448,Dayside_Nadir,2018 MAY 07 02:07:39,OBSERVATION_COMMENT
-1,-1,-1,-1,449,Dayside_Nadir,2018 MAY 07 04:05:35, 
-1,-1,-1,-1,450,Dayside_Nadir,2018 MAY 07 04:05:35, 
-1,-1,-1,-1,451,Dayside_Nadir,2018 MAY 07 04:05:35, 
1,1,1090,1090,453,Dayside_Nadir,2018 MAY 07 06:03:27,OBSERVATION_COMMENT
-1,-1,-1,-1,454,Dayside_Nadir,2018 MAY 07 08:01:23, 
-1,-1,-1,-1,455,Dayside_Nadir,2018 MAY 07 08:01:23, 
-1,-1,-1,-1,456,Dayside_Nadir,2018 MAY 07 08:01:23, 
1,1,1779,1779,458,Dayside_Nadir,2018 MAY 07 09:59:23,OBSERVATION_COMMENT
-1,-1,-1,-1,459,Dayside_Nadir,2018 MAY 07 11:57:23, 
-1,-1,-1,-1,460,Dayside_Nadir,2018 MAY 07 11:57:23, 
-1,-1,-1,-1,461,Dayside_Nadir,2018 MAY 07 11:57:23, 
1,1,2318,2318,462,Dayside_Nadir,2018 MAY 07 13:45:23,OBSERVATION_COMMENT
-1,-1,-1,-1,463,Dayside_Nadir,2018 MAY 07 15:53:19, 
-1,-1,-1,-1,464,Dayside_Nadir,2018 MAY 07 15:53:19, 
-1,-1,-1,-1,465,Dayside_Nadir,2018 MAY 07 15:53:19, 
1,1,1860,1860,467,Dayside_Nadir,2018 MAY 07 17:51:13,OBSERVATION_COMMENT
-1,-1,-1,-1,468,Dayside_Nadir,2018 MAY 07 19:49:09, 
-1,-1,-1,-1,469,Dayside_Nadir,2018 MAY 07 19:49:09, 
-1,-1,-1,-1,470,Dayside_Nadir,2018 MAY 07 19:49:09, 
1,1,2364,2364,471,Dayside_Nadir,2018 MAY 07 21:37:09,OBSERVATION_COMMENT
-1,-1,-1,-1,472,Dayside_Nadir,2018 MAY 07 23:45:11, 
-1,-1,-1,-1,473,Dayside_Nadir,2018 MAY 07 23:45:11, 
-1,-1,-1,-1,474,Dayside_Nadir,2018 MAY 07 23:45:11, 
1,1,144,144,475,Dayside_Nadir,2018 MAY 08 01:33:11,OBSERVATION_COMMENT
1,1,124,124,477,Dayside_Nadir,2018 MAY 08 03:41:09,OBSERVATION_COMMENT
-1,-1,-1,-1,478,Dayside_Nadir,2018 MAY 08 05:39:05, 
-1,-1,-1,-1,479,Dayside_Nadir,2018 MAY 08 05:39:05, 
-1,-1,-1,-1,480,Dayside_Nadir,2018 MAY 08 05:39:05, 
-1,-1,-1,-1,481,Dayside_Nadir,2018 MAY 08 07:37:01, 
-1,-1,-1,-1,482,Dayside_Nadir,2018 MAY 08 07:37:01, 
-1,-1,-1,-1,483,Dayside_Nadir,2018 MAY 08 07:37:01, 
1,1,116,116,485,Dayside_Nadir,2018 MAY 08 09:35:01,OBSERVATION_COMMENT
1,1,1934,1934,487,Dayside_Nadir,2018 MAY 08 11:33:03,OBSERVATION_COMMENT
-1,-1,-1,-1,488,Dayside_Nadir,2018 MAY 08 13:31:05, 
-1,-1,-1,-1,489,Dayside_Nadir,2018 MAY 08 13:31:05, 
-1,-1,-1,-1,490,Dayside_Nadir,2018 MAY 08 13:31:05, 
