Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Thermal orbit number,Thermal orbit start (TDN2(n)+2min),Thermal orbit end (TDN2(n+1)+2min-1s),Thermal orbit duration (s),Nightside nadir start = TD2N(n),Nightside nadir end = TN2D(n)-1s,Nightside duration (s),Dayside nadir start = TN2D(n),Dayside nadir end = TD2N(n+1)-1s,Dayside duration (s),Dayside nadir min. phase angle (deg),Dayside nadir min. phase angle time (UTC)
3,3,317,2024 MAY 09 12:03:09,2024 MAY 09 14:00:59,7070,2024 MAY 09 12:01:09,2024 MAY 09 13:00:15,3546,2024 MAY 09 13:00:16,2024 MAY 09 13:58:59,3523,41.4778,2024 MAY 09 13:29:22
3,3,318,2024 MAY 09 14:01:00,2024 MAY 09 15:58:53,7073,2024 MAY 09 13:59:00,2024 MAY 09 14:58:05,3545,2024 MAY 09 14:58:06,2024 MAY 09 15:56:53,3527,41.7123,2024 MAY 09 15:27:14
1,1,319,2024 MAY 09 15:58:54,2024 MAY 09 17:56:48,7074,2024 MAY 09 15:56:54,2024 MAY 09 16:56:00,3546,2024 MAY 09 16:56:01,2024 MAY 09 17:54:48,3527,41.9806,2024 MAY 09 17:25:09
1,1,320,2024 MAY 09 17:56:49,2024 MAY 09 19:54:44,7075,2024 MAY 09 17:54:49,2024 MAY 09 18:53:57,3548,2024 MAY 09 18:53:58,2024 MAY 09 19:52:44,3526,42.2415,2024 MAY 09 19:23:06
3,3,321,2024 MAY 09 19:54:45,2024 MAY 09 21:52:40,7075,2024 MAY 09 19:52:45,2024 MAY 09 20:51:55,3550,2024 MAY 09 20:51:56,2024 MAY 09 21:50:40,3524,42.477,2024 MAY 09 21:21:03
1,1,322,2024 MAY 09 21:52:41,2024 MAY 09 23:50:33,7072,2024 MAY 09 21:50:41,2024 MAY 09 22:49:49,3548,2024 MAY 09 22:49:50,2024 MAY 09 23:48:33,3523,42.6934,2024 MAY 09 23:18:57
3,3,323,2024 MAY 09 23:50:34,2024 MAY 10 01:48:24,7070,2024 MAY 09 23:48:34,2024 MAY 10 00:47:40,3546,2024 MAY 10 00:47:41,2024 MAY 10 01:46:24,3523,42.9069,2024 MAY 10 01:16:48
3,3,324,2024 MAY 10 01:48:25,2024 MAY 10 03:46:16,7071,2024 MAY 10 01:46:25,2024 MAY 10 02:45:32,3547,2024 MAY 10 02:45:33,2024 MAY 10 03:44:16,3523,43.1448,2024 MAY 10 03:14:39
1,1,325,2024 MAY 10 03:46:17,2024 MAY 10 05:44:12,7075,2024 MAY 10 03:44:17,2024 MAY 10 04:43:26,3549,2024 MAY 10 04:43:27,2024 MAY 10 05:42:12,3525,43.3954,2024 MAY 10 05:12:35
3,3,326,2024 MAY 10 05:44:13,2024 MAY 10 07:42:09,7076,2024 MAY 10 05:42:13,2024 MAY 10 06:41:22,3549,2024 MAY 10 06:41:23,2024 MAY 10 07:40:09,3526,43.6475,2024 MAY 10 07:10:32
1,1,327,2024 MAY 10 07:42:10,2024 MAY 10 09:40:05,7075,2024 MAY 10 07:40:10,2024 MAY 10 08:39:18,3548,2024 MAY 10 08:39:19,2024 MAY 10 09:38:05,3526,43.8958,2024 MAY 10 09:08:27
1,1,328,2024 MAY 10 09:40:06,2024 MAY 10 11:37:57,7071,2024 MAY 10 09:38:06,2024 MAY 10 10:37:12,3546,2024 MAY 10 10:37:13,2024 MAY 10 11:35:57,3524,44.1297,2024 MAY 10 11:06:20
3,3,329,2024 MAY 10 11:37:58,2024 MAY 10 13:35:48,7070,2024 MAY 10 11:35:58,2024 MAY 10 12:35:04,3546,2024 MAY 10 12:35:05,2024 MAY 10 13:33:48,3523,44.3453,2024 MAY 10 13:04:11
3,3,330,2024 MAY 10 13:35:49,2024 MAY 10 15:33:40,7071,2024 MAY 10 13:33:49,2024 MAY 10 14:32:54,3545,2024 MAY 10 14:32:55,2024 MAY 10 15:31:40,3525,44.5637,2024 MAY 10 15:02:02
1,1,331,2024 MAY 10 15:33:41,2024 MAY 10 17:31:35,7074,2024 MAY 10 15:31:41,2024 MAY 10 16:30:47,3546,2024 MAY 10 16:30:48,2024 MAY 10 17:29:35,3527,44.8174,2024 MAY 10 16:59:56
3,3,332,2024 MAY 10 17:31:36,2024 MAY 10 19:29:31,7075,2024 MAY 10 17:29:36,2024 MAY 10 18:28:44,3548,2024 MAY 10 18:28:45,2024 MAY 10 19:27:31,3526,45.0856,2024 MAY 10 18:57:52
1,1,333,2024 MAY 10 19:29:32,2024 MAY 10 21:27:26,7074,2024 MAY 10 19:27:32,2024 MAY 10 20:26:41,3549,2024 MAY 10 20:26:42,2024 MAY 10 21:25:26,3524,45.3325,2024 MAY 10 20:55:49
1,1,334,2024 MAY 10 21:27:27,2024 MAY 10 23:25:20,7073,2024 MAY 10 21:25:27,2024 MAY 10 22:24:36,3549,2024 MAY 10 22:24:37,2024 MAY 10 23:23:20,3523,45.5537,2024 MAY 10 22:53:44
3,3,335,2024 MAY 10 23:25:21,2024 MAY 11 01:23:11,7070,2024 MAY 10 23:23:21,2024 MAY 11 00:22:28,3547,2024 MAY 11 00:22:29,2024 MAY 11 01:21:11,3522,45.7622,2024 MAY 11 00:51:36
3,3,336,2024 MAY 11 01:23:12,2024 MAY 11 03:21:02,7070,2024 MAY 11 01:21:12,2024 MAY 11 02:20:18,3546,2024 MAY 11 02:20:19,2024 MAY 11 03:19:02,3523,45.9871,2024 MAY 11 02:49:25
3,3,337,2024 MAY 11 03:21:03,2024 MAY 11 05:18:56,7073,2024 MAY 11 03:19:03,2024 MAY 11 04:18:11,3548,2024 MAY 11 04:18:12,2024 MAY 11 05:16:56,3524,46.236,2024 MAY 11 04:47:19
1,1,338,2024 MAY 11 05:18:57,2024 MAY 11 07:16:53,7076,2024 MAY 11 05:16:57,2024 MAY 11 06:16:06,3549,2024 MAY 11 06:16:07,2024 MAY 11 07:14:53,3526,46.4865,2024 MAY 11 06:45:15
3,3,339,2024 MAY 11 07:16:54,2024 MAY 11 09:14:49,7075,2024 MAY 11 07:14:54,2024 MAY 11 08:14:02,3548,2024 MAY 11 08:14:03,2024 MAY 11 09:12:49,3526,46.7376,2024 MAY 11 08:43:11
1,1,340,2024 MAY 11 09:14:50,2024 MAY 11 11:12:43,7073,2024 MAY 11 09:12:50,2024 MAY 11 10:11:57,3547,2024 MAY 11 10:11:58,2024 MAY 11 11:10:43,3525,46.9784,2024 MAY 11 10:41:05
1,1,341,2024 MAY 11 11:12:44,2024 MAY 11 13:10:34,7070,2024 MAY 11 11:10:44,2024 MAY 11 12:09:50,3546,2024 MAY 11 12:09:51,2024 MAY 11 13:04:34,3283,47.2,2024 MAY 11 12:38:57
