TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2018 OCT 06 16:06:00,1,1
2018 OCT 07 15:42:00,23,13
2018 OCT 07 19:36:00,27,15
2018 OCT 10 00:39:00,68,42
2018 OCT 11 06:09:00,99,57
2018 OCT 11 10:03:00,103,59
2018 OCT 12 15:33:00,130,74
2018 OCT 12 21:27:00,135,77
2018 OCT 12 15:33:00,130,74
2018 OCT 13 15:06:00,151,86
2018 OCT 13 21:00:00,157,89
2018 OCT 14 20:33:00,181,101
2018 OCT 14 06:51:00,167,94
2018 OCT 14 00:57:00,161,91
2018 OCT 14 06:51:00,167,94
2018 OCT 15 06:24:00,190,106
2018 OCT 16 05:57:00,211,118
2018 OCT 16 11:51:00,217,121
2018 OCT 15 22:09:00,203,114
2018 OCT 16 04:03:00,209,117
2018 OCT 16 05:57:00,211,118
2018 OCT 16 15:48:00,221,123
2018 OCT 15 22:09:00,203,114
2018 OCT 16 21:42:00,228,126
2018 OCT 17 13:27:00,244,134
2018 OCT 17 15:21:00,245,135
2018 OCT 17 19:21:00,249,137
2018 OCT 17 21:15:00,252,138
2018 OCT 17 07:33:00,237,131
2018 OCT 18 07:06:00,261,143
2018 OCT 18 13:00:00,268,146
2018 OCT 18 18:54:00,273,149
2018 OCT 19 06:39:00,281,155
2018 OCT 19 22:24:00,297,163
2018 OCT 20 04:18:00,304,166
2018 OCT 20 06:18:00,305,167
2018 OCT 20 10:12:00,309,169
2018 OCT 20 11:15:00,310,170
2018 OCT 20 21:57:00,321,175
2018 OCT 21 03:51:00,328,178
2018 OCT 23 01:03:00,367,201
2018 OCT 22 13:15:00,357,195
2018 OCT 22 19:09:00,362,198
2018 OCT 23 00:06:00,367,201
2018 OCT 23 01:03:00,367,201
2018 OCT 22 02:33:00,346,190
2018 OCT 23 06:00:00,372,204
2018 OCT 23 08:00:00,373,205
2018 OCT 23 10:00:00,376,206
2018 OCT 23 13:54:00,378,208
2018 OCT 23 15:54:00,379,209
2018 OCT 23 10:00:00,376,206
2018 OCT 24 15:27:00,401,221
2018 OCT 24 17:27:00,402,222
2018 OCT 24 19:27:00,403,223
2018 OCT 24 21:21:00,406,224
2018 OCT 25 20:51:00,426,236
2018 OCT 24 23:21:00,407,225
2018 OCT 25 01:21:00,408,226
2018 OCT 26 02:45:00,431,239
2018 OCT 25 05:15:00,412,228
2018 OCT 25 07:15:00,415,229
2018 OCT 25 14:57:00,421,233
2018 OCT 25 20:51:00,426,236
2018 OCT 25 22:51:00,427,237
2018 OCT 26 04:45:00,432,240
2018 OCT 26 06:48:00,435,241
2018 OCT 26 08:48:00,436,242
2018 OCT 26 10:48:00,438,243
2018 OCT 27 10:12:00,457,255
2018 OCT 27 12:12:00,460,256
2018 OCT 26 14:42:00,441,245
2018 OCT 26 16:42:00,443,246
2018 OCT 27 06:18:00,455,253
2018 OCT 26 10:48:00,438,243
2018 OCT 27 12:12:00,460,256
2018 OCT 27 14:15:00,461,257
2018 OCT 27 16:15:00,464,258
2018 OCT 27 18:06:00,465,259
2018 OCT 27 20:09:00,466,260
2018 OCT 27 22:09:00,469,261
2018 OCT 28 02:12:00,472,263
2018 OCT 29 01:33:00,493,275
2018 OCT 29 03:36:00,494,276
2018 OCT 28 19:39:00,486,272
2018 OCT 28 21:42:00,489,273
2018 OCT 28 23:45:00,491,274
2018 OCT 29 01:45:00,493,275
2018 OCT 29 03:45:00,494,276
2018 OCT 29 03:36:00,494,276
2018 OCT 29 05:39:00,495,277
2018 OCT 29 07:39:00,497,278
2018 OCT 30 11:15:00,521,292
2018 OCT 30 13:15:00,523,293
2018 OCT 30 13:09:00,523,293
2018 OCT 30 13:06:00,523,293
2018 OCT 30 15:09:00,525,294
2018 OCT 30 17:09:00,527,295
2018 OCT 30 19:09:00,529,296
2018 OCT 30 19:03:00,529,296
2018 OCT 30 21:03:00,531,297
2018 OCT 31 22:42:00,553,310
2018 NOV 01 00:39:00,555,311
2018 NOV 01 02:39:00,556,312
2018 NOV 01 04:36:00,557,313
2018 NOV 01 06:36:00,560,314
2018 NOV 01 08:33:00,561,315
2018 NOV 02 10:09:00,584,328
2018 NOV 02 16:03:00,591,331
2018 NOV 02 18:00:00,592,332
2018 NOV 02 19:57:00,595,333
2018 NOV 02 21:57:00,596,334
