Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	Nightside	2020 MAR 21 15:23:55	2020 MAR 21 15:53:20	2020 MAR 21 16:22:45	3530.39	-147.39	-99.28	18.26	70.89	-10.37	-70.88	156.90	22.50	3	-	-	-		
1	Dayside	2020 MAR 21 16:22:45	2020 MAR 21 16:52:16	2020 MAR 21 17:21:47	3542.48	18.26	66.69	-176.15	-70.88	11.91	70.85	23.23	10.53	3	CH4 H2O 2SUBD 01	Science: orders #134, #168, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 64: NADIR: Full Frame (57:240;0:1047),Tint = 5000 ms,16 bit,Rhythm = 8427 ms, Binning=0		
2	Nightside	2020 MAR 21 17:21:47	2020 MAR 21 17:51:13	2020 MAR 21 18:20:38	3531.01	-176.15	-128.19	-10.55	70.85	-10.43	-70.79	156.67	22.49	1	-	-	-		
2	Dayside	2020 MAR 21 18:20:38	2020 MAR 21 18:50:11	2020 MAR 21 19:19:43	3544.36	-10.55	37.79	155.03	-70.79	12.00	70.75	23.47	10.51	1	Ice H2O 2SUBD #1	Science: orders #193, #168, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 72: NADIR: Full Frame (57:240;0:1047),Tint = 10000 ms,16 bit,Rhythm = 11964 ms, Binning=0		
3	Nightside	2020 MAR 21 19:19:43	2020 MAR 21 19:49:09	2020 MAR 21 20:18:36	3532.88	155.03	-157.12	-39.36	70.75	-10.53	-70.70	156.42	22.47	14	-	-	-		
3	Dayside	2020 MAR 21 20:18:36	2020 MAR 21 20:48:08	2020 MAR 21 21:17:41	3545.37	-39.36	8.84	126.20	-70.70	12.05	70.66	23.71	10.50	14	-		COP row 64: NADIR: Full Frame (57:240;0:1047),Tint = 5000 ms,16 bit,Rhythm = 8427 ms, Binning=0		
4	Nightside	2020 MAR 21 21:17:41	2020 MAR 21 21:47:07	2020 MAR 21 22:16:34	3532.75	126.20	173.93	-68.16	70.66	-10.64	-70.65	156.15	22.46	47	Limb 2SUBD 07	Science: orders #164, #164, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 79: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 21964 ms, Binning=0		
4	Dayside	2020 MAR 21 22:16:34	2020 MAR 21 22:46:07	2020 MAR 21 23:15:40	3545.88	-68.16	-20.12	97.41	-70.65	12.11	70.62	23.99	10.48	47	Nominal 3SUBD 01	Science: orders #167, #169, #190, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 72: NADIR: Full Frame (57:240;0:1047),Tint = 10000 ms,16 bit,Rhythm = 11964 ms, Binning=0	&trueNightLimb; &daysideMatch:MAWRTH VALLIS-ARAM CHAOS; 	
5	Nightside	2020 MAR 21 23:15:40	2020 MAR 21 23:45:05	2020 MAR 22 00:14:31	3531.23	97.41	144.96	-96.93	70.62	-10.71	-70.62	155.88	22.44	14	-	-	-		
5	Dayside	2020 MAR 22 00:14:31	2020 MAR 22 00:44:04	2020 MAR 22 01:13:37	3545.73	-96.93	-49.09	68.66	-70.62	12.20	70.62	24.27	10.46	14	-		COP row 64: NADIR: Full Frame (57:240;0:1047),Tint = 5000 ms,16 bit,Rhythm = 8427 ms, Binning=0		
6	Nightside	2020 MAR 22 01:13:37	2020 MAR 22 01:43:01	2020 MAR 22 02:12:26	3529.43	68.66	116.01	-125.69	70.62	-10.74	-70.61	155.62	22.42	1	-	-	-		
6	Dayside	2020 MAR 22 02:12:26	2020 MAR 22 02:41:58	2020 MAR 22 03:11:31	3544.83	-125.69	-78.04	39.92	-70.61	12.27	70.63	24.53	10.44	1	Nominal 3SUBD 01	Science: orders #167, #169, #190, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 72: NADIR: Full Frame (57:240;0:1047),Tint = 10000 ms,16 bit,Rhythm = 11964 ms, Binning=0		
7	Nightside	2020 MAR 22 03:11:31	2020 MAR 22 03:40:55	2020 MAR 22 04:10:19	3528.42	39.92	87.07	-154.43	70.63	-10.78	-70.61	155.37	22.41	14	-	-	-		
7	Dayside	2020 MAR 22 04:10:19	2020 MAR 22 04:39:51	2020 MAR 22 05:09:23	3544.07	-154.43	-106.95	11.16	-70.61	12.32	70.59	24.77	10.43	14	-		COP row 64: NADIR: Full Frame (57:240;0:1047),Tint = 5000 ms,16 bit,Rhythm = 8427 ms, Binning=0		
8	Nightside	2020 MAR 22 05:09:23	2020 MAR 22 05:38:48	2020 MAR 22 06:08:12	3528.73	11.16	58.17	176.80	70.59	-10.89	-70.55	155.13	22.39	1	-	-	-		
8	Dayside	2020 MAR 22 06:08:12	2020 MAR 22 06:37:45	2020 MAR 22 07:07:18	3546.05	176.80	-135.87	-17.66	-70.55	12.38	70.48	25.01	10.41	1	HDO CO 3SUBD 02	Science: orders #168, #121, #190, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 72: NADIR: Full Frame (57:240;0:1047),Tint = 10000 ms,16 bit,Rhythm = 11964 ms, Binning=0		
