Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	1	Ingress	2020 MAR 21 15:30:13	2020 MAR 21 15:33:11	2020 MAR 21 15:33:48	215.00	-152.68	-154.72	-155.12	63.32	59.33	58.43	18.48	3	-	-	-		
N/A	1	Egress	2020 MAR 21 16:13:32	2020 MAR 21 16:14:11	2020 MAR 21 16:17:26	234.00	40.87	37.26	26.48	-82.13	-81.30	-77.22	7.95	3	-	-	-		
NOMAD	2	Ingress	2020 MAR 21 17:28:08	2020 MAR 21 17:31:06	2020 MAR 21 17:31:43	215.00	178.54	176.51	176.11	63.18	59.14	58.23	18.48	1	Nominal Science with CO 01	Science: orders #169, #134, #186, #121, #147, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
N/A	2	Egress	2020 MAR 21 18:11:24	2020 MAR 21 18:12:03	2020 MAR 21 18:15:18	234.00	12.24	8.56	-2.30	-82.17	-81.34	-77.21	7.94	1	-	-	-		
N/A	3	Ingress	2020 MAR 21 19:26:05	2020 MAR 21 19:29:03	2020 MAR 21 19:29:40	215.00	149.72	147.70	147.30	62.96	58.88	57.97	18.47	14	-	-	-		
ACS	3	Egress	2020 MAR 21 20:09:19	2020 MAR 21 20:09:58	2020 MAR 21 20:13:13	234.00	-16.21	-19.98	-31.02	-82.25	-81.42	-77.25	7.95	14	-	-	-		
N/A	4	Ingress	2020 MAR 21 21:24:03	2020 MAR 21 21:27:01	2020 MAR 21 21:27:39	216.00	120.92	118.91	118.50	62.79	58.67	57.72	18.46	47	-	-	-	&trueNightLimb; &daysideMatch:MAWRTH VALLIS-ARAM CHAOS; 	
N/A	4	Egress	2020 MAR 21 22:07:15	2020 MAR 21 22:07:55	2020 MAR 21 22:11:09	234.00	-44.57	-48.53	-59.72	-82.36	-81.49	-77.30	7.96	47	-	-	-	&trueNightLimb; &daysideMatch:MAWRTH VALLIS-ARAM CHAOS; 	
N/A	5	Ingress	2020 MAR 21 23:22:03	2020 MAR 21 23:25:01	2020 MAR 21 23:25:39	216.00	92.12	90.11	89.70	62.64	58.48	57.52	18.46	14	-	-	-		
N/A	5	Egress	2020 MAR 22 00:05:12	2020 MAR 22 00:05:52	2020 MAR 22 00:09:07	235.00	-72.93	-77.01	-88.46	-82.46	-81.59	-77.34	7.98	14	-	-	-		
NOMAD	6	Ingress	2020 MAR 22 01:20:00	2020 MAR 22 01:22:59	2020 MAR 22 01:23:37	217.00	63.35	61.33	60.93	62.56	58.32	57.35	18.45	1	6SUBD CO2 #10	Science: orders #156, #116, #118, #169, #154, #158, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7		
N/A	6	Egress	2020 MAR 22 02:03:07	2020 MAR 22 02:03:47	2020 MAR 22 02:07:04	237.00	-101.23	-105.44	-117.22	-82.57	-81.69	-77.36	8.00	1	-	-	-		
N/A	7	Ingress	2020 MAR 22 03:17:55	2020 MAR 22 03:20:54	2020 MAR 22 03:21:32	217.00	34.59	32.57	32.17	62.47	58.19	57.21	18.45	14	-	-	-		
ACS	7	Egress	2020 MAR 22 04:01:00	2020 MAR 22 04:01:40	2020 MAR 22 04:04:57	237.00	-129.45	-133.81	-145.87	-82.69	-81.80	-77.43	8.02	14	-	-	-		
NOMAD	8	Ingress	2020 MAR 22 05:15:47	2020 MAR 22 05:18:47	2020 MAR 22 05:19:25	218.00	5.83	3.81	3.41	62.36	58.02	57.03	18.44	1	BgSubTest 03	Science: orders #168, #134, #190, #121, #165, #149, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
