MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2023 OCT 09 11:09:46,2023 OCT 09 11:10:50,108,108
2023 OCT 14 18:58:10,2023 OCT 14 19:03:10,173,173
2023 OCT 15 08:46:06,2023 OCT 15 08:51:06,180,180
2023 OCT 15 20:32:53,2023 OCT 15 20:37:53,186,186
2023 OCT 16 12:18:03,2023 OCT 16 12:23:03,194,194
2023 OCT 16 18:08:05,2023 OCT 16 18:13:05,197,197
2023 OCT 17 01:56:14,2023 OCT 17 02:01:14,201,201
2023 OCT 17 05:51:12,2023 OCT 17 05:56:12,203,203
2023 OCT 17 11:42:15,2023 OCT 17 11:47:15,206,206
2023 OCT 17 17:49:45,2023 OCT 17 17:51:32,209,209
2023 OCT 17 19:40:56,2023 OCT 17 19:45:56,210,210
2023 OCT 18 03:29:48,2023 OCT 18 03:34:48,214,214
2023 OCT 18 13:22:38,2023 OCT 18 13:27:38,219,219
2023 OCT 18 15:15:56,2023 OCT 18 15:20:56,220,220
2023 OCT 18 23:08:24,2023 OCT 18 23:09:37,224,224
2023 OCT 19 11:00:30,2023 OCT 19 11:05:30,230,230
2023 OCT 20 10:25:21,2023 OCT 20 10:30:21,242,242
2023 OCT 20 16:24:19,2023 OCT 20 16:29:19,245,245
2023 OCT 20 20:22:36,2023 OCT 20 20:26:34,247,247
2023 OCT 21 00:27:10,2023 OCT 21 00:28:16,249,249
2023 OCT 23 15:14:00,2023 OCT 23 15:19:00,281,281
2023 OCT 23 23:13:46,2023 OCT 23 23:18:46,285,285
2023 OCT 24 09:01:17,2023 OCT 24 09:06:17,290,290
2023 OCT 25 08:35:02,2023 OCT 25 08:40:02,302,302
2023 OCT 27 19:33:45,2023 OCT 27 19:38:00,332,332
2023 OCT 28 01:14:11,2023 OCT 28 01:17:59,335,335
2023 OCT 28 11:09:19,2023 OCT 28 11:14:19,340,340
