MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2023 JUL 08 20:37:27,2023 JUL 08 20:42:27,3,3
2023 JUL 08 22:38:08,2023 JUL 08 22:43:08,4,4
2023 JUL 09 04:30:03,2023 JUL 09 04:35:03,7,7
2023 JUL 09 08:28:14,2023 JUL 09 08:33:14,9,9
2023 JUL 10 09:49:49,2023 JUL 10 09:52:47,22,22
2023 JUL 11 21:16:15,2023 JUL 11 21:21:15,40,40
2023 JUL 12 07:10:51,2023 JUL 12 07:15:51,45,45
2023 JUL 12 09:18:11,2023 JUL 12 09:23:11,46,46
2023 JUL 12 17:08:27,2023 JUL 12 17:13:27,50,50
2023 JUL 12 18:55:18,2023 JUL 12 18:59:08,51,51
2023 JUL 13 00:47:32,2023 JUL 13 00:52:32,54,54
2023 JUL 13 04:55:03,2023 JUL 13 05:00:03,56,56
2023 JUL 13 12:51:06,2023 JUL 13 12:52:18,60,60
2023 JUL 13 14:29:45,2023 JUL 13 14:34:45,61,61
2023 JUL 13 20:29:44,2023 JUL 13 20:34:44,64,64
2023 JUL 14 00:31:13,2023 JUL 14 00:32:43,66,66
2023 JUL 14 02:21:30,2023 JUL 14 02:26:30,67,67
2023 JUL 14 21:58:46,2023 JUL 14 22:03:46,77,77
2023 JUL 15 11:49:06,2023 JUL 15 11:50:21,84,84
2023 JUL 15 17:39:32,2023 JUL 15 17:44:32,87,87
2023 JUL 15 19:48:33,2023 JUL 15 19:53:33,88,88
2023 JUL 16 03:27:36,2023 JUL 16 03:32:36,92,92
2023 JUL 16 13:32:30,2023 JUL 16 13:37:30,97,97
2023 JUL 16 15:09:03,2023 JUL 16 15:14:03,98,98
2023 JUL 17 01:13:14,2023 JUL 17 01:18:14,103,103
2023 JUL 17 10:59:14,2023 JUL 17 11:04:14,108,108
2023 JUL 17 12:49:07,2023 JUL 17 12:54:07,109,109
2023 JUL 18 16:16:53,2023 JUL 18 16:21:53,123,123
2023 JUL 18 22:20:49,2023 JUL 18 22:25:49,126,126
2023 JUL 19 02:18:28,2023 JUL 19 02:23:28,128,128
2023 JUL 19 08:13:58,2023 JUL 19 08:18:58,131,131
2023 JUL 19 10:13:30,2023 JUL 19 10:18:30,132,132
2023 JUL 20 01:55:51,2023 JUL 20 02:00:51,140,140
2023 JUL 20 11:39:27,2023 JUL 20 11:44:27,145,145
2023 JUL 21 07:25:43,2023 JUL 21 07:30:43,155,155
2023 JUL 21 14:52:44,2023 JUL 21 14:57:44,159,159
2023 JUL 21 17:02:52,2023 JUL 21 17:07:52,160,160
2023 JUL 21 23:14:10,2023 JUL 21 23:19:10,163,163
2023 JUL 22 02:38:41,2023 JUL 22 02:43:41,165,165
2023 JUL 22 04:49:41,2023 JUL 22 04:54:41,166,166
2023 JUL 22 06:47:42,2023 JUL 22 06:52:42,167,167
2023 JUL 22 08:49:00,2023 JUL 22 08:54:00,168,168
2023 JUL 22 20:57:37,2023 JUL 22 21:02:37,174,174
2023 JUL 23 16:29:38,2023 JUL 23 16:34:38,184,184
2023 JUL 23 20:24:56,2023 JUL 23 20:29:56,186,186
2023 JUL 24 04:19:54,2023 JUL 24 04:24:54,190,190
2023 JUL 24 06:20:11,2023 JUL 24 06:25:11,191,191
2023 JUL 24 07:45:50,2023 JUL 24 07:50:50,192,192
2023 JUL 24 19:56:37,2023 JUL 24 20:01:37,198,198
2023 JUL 25 09:45:55,2023 JUL 25 09:50:55,205,205
2023 JUL 25 19:27:06,2023 JUL 25 19:32:06,210,210
2023 JUL 25 23:32:01,2023 JUL 25 23:37:01,212,212
2023 JUL 26 05:26:27,2023 JUL 26 05:31:27,215,215
2023 JUL 26 15:18:32,2023 JUL 26 15:21:14,220,220
2023 JUL 26 17:01:16,2023 JUL 26 17:06:16,221,221
2023 JUL 26 19:09:56,2023 JUL 26 19:14:56,222,222
2023 JUL 26 21:15:03,2023 JUL 26 21:20:03,223,223
2023 JUL 27 00:51:15,2023 JUL 27 00:56:15,225,225
2023 JUL 27 06:22:31,2023 JUL 27 06:27:31,228,228
2023 JUL 27 08:49:06,2023 JUL 27 08:54:06,229,229
2023 JUL 27 20:45:11,2023 JUL 27 20:50:11,235,235
2023 JUL 28 06:23:20,2023 JUL 28 06:28:20,240,240
2023 JUL 28 10:22:32,2023 JUL 28 10:27:32,242,242
2023 JUL 28 16:20:26,2023 JUL 28 16:25:26,245,245
2023 JUL 28 20:15:12,2023 JUL 28 20:20:12,247,247
2023 JUL 28 22:00:17,2023 JUL 28 22:05:17,248,248
2023 JUL 29 09:56:38,2023 JUL 29 09:59:17,254,254
2023 JUL 29 23:38:34,2023 JUL 29 23:43:34,261,261
2023 JUL 30 09:09:03,2023 JUL 30 09:14:03,266,266
2023 JUL 31 18:47:55,2023 JUL 31 18:52:55,283,283
2023 AUG 01 06:15:53,2023 AUG 01 06:20:53,289,289
2023 AUG 01 20:29:38,2023 AUG 01 20:34:38,296,296
2023 AUG 02 02:30:11,2023 AUG 02 02:35:11,299,299
2023 AUG 02 22:00:04,2023 AUG 02 22:05:04,309,309
2023 AUG 02 23:37:11,2023 AUG 02 23:42:11,310,310
2023 AUG 03 13:18:36,2023 AUG 03 13:23:36,317,317
2023 AUG 04 14:55:46,2023 AUG 04 15:00:46,330,330
2023 AUG 04 19:05:05,2023 AUG 04 19:10:05,332,332
