Target Name,Flyover #,Orbit type,Thermal orbit number,Start crossing time (UTC),End crossing time (UTC),Start crossing latitude (deg),Start crossing longitude (deg),End crossing latitude (deg),End crossing longitude (deg),Start crossing phase angle (deg),End crossing phase angle (deg),Start crossing solar incidence angle (deg),End crossing solar incidence angle (deg),Start crossing emission angle (deg),End crossing emission angle (deg),Start crossing LST (h),End crossing LST (h)
LANDER_Opportunity                                   ,2,1,156,2023 JUL 21 09:29:58,2023 JUL 21 09:31:14,-0.04882,-6.21,-3.8018,-5.5756,54.9229,56.1368,54.7563,56.0141,0.28073,0.23313,8.6422,8.705
LANDER_Opportunity                                   ,3,3,268,2023 JUL 30 13:35:34,2023 JUL 30 13:36:50,-0.048758,-7.0178,-3.8018,-6.3802,79.1216,79.9059,78.9741,79.7781,0.27769,0.2334,6.8136,6.8767
Gale Creater Extended SOC                            ,1,1,64,2023 JUL 13 20:43:26,2023 JUL 13 20:44:42,-2.6882,136.0804,-6.4414,136.7439,37.0455,39.5599,38.5491,40.8362,2.0047,1.7963,10.1719,10.2367
Gale Creater Extended SOC                            ,2,3,151,2023 JUL 20 23:41:21,2023 JUL 20 23:42:27,-2.6884,138.886,-5.9491,139.4417,54.7523,55.942,54.622,55.8353,0.24628,0.20812,8.7667,8.8217
Gale Creater Extended SOC                            ,3,3,176,2023 JUL 23 00:49:03,2023 JUL 23 00:50:19,-2.6884,135.4864,-6.4411,136.1266,59.901,61.1119,59.7697,61.006,0.24626,0.2022,8.3586,8.4219
Gale Creater Extended SOC                            ,4,3,263,2023 JUL 30 03:46:57,2023 JUL 30 03:48:13,-2.6883,138.0815,-6.4411,138.7227,78.5877,79.4197,78.4541,79.3064,0.24645,0.20258,6.9383,7.0017
LANDER_Insight                                       ,1,1,64,2023 JUL 13 20:40:22,2023 JUL 13 20:41:38,6.404,134.477,2.6502,135.1433,31.9009,33.8365,34.0631,35.7095,2.513,2.3024,10.015,10.0803
LANDER_Insight                                       ,2,3,151,2023 JUL 20 23:38:17,2023 JUL 20 23:38:50,6.4038,137.3446,4.7746,137.6234,52.1183,52.5112,51.9358,52.3364,0.35367,0.33475,8.6142,8.6417
LANDER_Insight                                       ,3,3,176,2023 JUL 23 00:45:59,2023 JUL 23 00:47:15,6.4038,133.9452,2.6505,134.5846,57.5621,58.4205,57.3812,58.2577,0.35354,0.30969,8.2061,8.2692
LANDER_Insight                                       ,4,3,263,2023 JUL 30 03:43:52,2023 JUL 30 03:45:09,6.4042,136.4248,2.6499,137.1169,75.8388,76.9711,76.7176,77.3892,0.99637,0.55423,6.7778,6.8447
LANDER_Insight                                       ,5,3,288,2023 AUG 01 04:52:33,2023 AUG 01 04:52:51,3.5183,133.6318,2.6505,133.779,82.879,83.0436,82.7137,82.8826,0.31973,0.30952,6.4258,6.4406
LANDER_Insight                                       ,6,3,332,2023 AUG 04 18:23:01,2023 AUG 04 18:24:17,2.6504,136.0813,6.4038,136.722,86.5446,85.8442,86.3836,85.6651,0.26241,0.24513,17.8169,17.8803
Lander_Mars2020 Jezero Crater                        ,1,1,41,2023 JUL 11 23:23:36,2023 JUL 11 23:24:53,20.7521,77.4742,16.9972,78.2204,24.3329,24.6377,25.9308,26.1898,1.6346,1.6436,10.1425,10.2131
Lander_Mars2020 Jezero Crater                        ,2,3,153,2023 JUL 21 03:29:14,2023 JUL 21 03:30:31,20.752,77.3721,16.9974,78.0993,54.544,54.7117,50.046,50.2346,4.5014,4.5007,8.3625,8.4317
Lander_Mars2020 Jezero Crater                        ,3,3,240,2023 JUL 28 06:27:06,2023 JUL 28 06:28:00,20.7522,78.9825,18.0982,79.52,66.0197,66.2798,69.9001,70.1631,3.9774,3.9922,6.8761,6.9267
Lander_Mars2020 Jezero Crater                        ,4,3,265,2023 JUL 30 07:34:49,2023 JUL 30 07:36:05,20.752,76.0322,16.9974,76.7415,74.8341,75.0563,74.8671,75.3741,0.51434,0.64381,6.4981,6.5661
Lander_Tianwen1_Utopia_Planitia                      ,1,1,15,2023 JUL 09 20:15:18,2023 JUL 09 20:16:25,26.9547,108.3177,23.2367,109.1372,27.6053,27.7434,21.2852,20.6043,16.3049,20.7424,10.4236,10.4961
Lander_Tianwen1_Utopia_Planitia                      ,2,3,102,2023 JUL 16 23:13:53,2023 JUL 16 23:14:22,26.9684,111.6335,25.5742,111.925,43.163,42.8154,39.371,39.2076,3.8281,3.6313,9.0636,9.0908
Lander_Tianwen1_Utopia_Planitia                      ,3,3,127,2023 JUL 19 00:21:32,2023 JUL 19 00:22:49,26.9523,107.9358,23.2127,108.7276,46.2595,45.6597,45.034,44.7769,1.3149,0.97361,8.635,8.7083
Lander_Tianwen1_Utopia_Planitia                      ,4,3,214,2023 JUL 26 03:19:26,2023 JUL 26 03:20:44,26.969,110.248,23.212,111.122,62.8789,63.1609,63.7741,63.8415,0.93964,0.75643,7.1961,7.2753
Lander_Tianwen1_Utopia_Planitia                      ,5,3,326,2023 AUG 04 07:25:03,2023 AUG 04 07:26:20,26.9686,109.5737,23.2125,110.4175,86.7933,87.502,86.5238,87.2463,0.55308,0.52452,5.3761,5.4531
Lander_Tianwen1_Utopia_Planitia                      ,6,3,333,2023 AUG 04 20:27:55,2023 AUG 04 20:29:12,23.2126,110.9474,26.9686,111.7902,82.7597,82.1999,82.5121,81.9408,0.2479,0.25944,18.1675,18.2444
Nili Fossae IAPS                                     ,1,1,66,2023 JUL 14 00:30:12,2023 JUL 14 00:30:48,23.9024,73.2935,22.1466,73.6733,29.1538,29.0122,31.7586,31.6126,2.6103,2.6173,9.665,9.7
Nili Fossae IAPS                                     ,2,1,178,2023 JUL 23 04:35:50,2023 JUL 23 04:36:26,23.9022,73.0843,22.1468,73.455,58.1461,58.1599,55.6982,55.7115,2.4509,2.449,7.8775,7.9119
Nili Fossae IAPS                                     ,3,3,290,2023 AUG 01 08:41:26,2023 AUG 01 08:42:01,23.8884,72.0106,22.1468,72.3821,79.9491,80.1889,79.7033,79.9482,0.52895,0.51468,6.0308,6.0653
Nili Fossae IAPS                                     ,4,3,297,2023 AUG 01 21:43:09,2023 AUG 01 21:43:28,22.9534,72.5833,23.9023,72.7875,90.089,89.8861,89.8294,89.6226,0.26026,0.2638,18.7503,18.7692
Mawrth Vallis-Aram Chaos IAPS                        ,1,3,32,2023 JUL 11 05:44:33,2023 JUL 11 05:45:00,14.4839,-20.9907,13.1471,-20.738,22.7355,23.1878,24.878,25.2534,2.3427,2.312,10.3978,10.4219
Mawrth Vallis-Aram Chaos IAPS                        ,2,1,144,2023 JUL 20 09:50:04,2023 JUL 20 09:50:39,14.8902,-20.9915,13.1477,-20.7005,53.9254,53.9182,48.3548,48.5989,5.6275,5.3961,8.6228,8.6517
Mawrth Vallis-Aram Chaos IAPS                        ,3,3,325,2023 AUG 04 04:41:14,2023 AUG 04 04:41:50,13.1473,-19.514,14.9019,-19.1894,86.1717,85.8574,85.961,85.6392,0.23283,0.23335,18.1128,18.1439
Meridiani IAPS                                       ,1,1,106,2023 JUL 17 07:14:16,2023 JUL 17 07:14:51,0.9013,0.36486,-0.85192,0.66394,43.9562,44.6955,44.3036,45.0237,0.5138,0.49357,9.4383,9.4681
Meridiani IAPS                                       ,2,3,218,2023 JUL 26 11:19:51,2023 JUL 26 11:20:27,0.90124,-0.41245,-0.85182,-0.11554,67.6921,68.1035,67.8049,68.2222,0.3642,0.3501,7.6122,7.6417
Olympus Mons Caldera IAPS                            ,1,3,11,2023 JUL 09 12:26:54,2023 JUL 09 12:27:30,19.2019,-133.5242,17.4473,-133.1988,22.4443,22.6006,18.8957,19.2046,3.564,3.4497,10.7019,10.7333
Olympus Mons Caldera IAPS                            ,2,3,210,2023 JUL 25 19:30:22,2023 JUL 25 19:30:58,19.2022,-132.7687,17.4469,-132.4181,58.3694,58.5189,63.6479,63.7941,5.3813,5.3933,7.3856,7.4186
Olympus Mons Caldera IAPS                            ,3,3,322,2023 AUG 03 23:36:00,2023 AUG 03 23:36:36,19.202,-132.944,17.4471,-132.6009,87.3902,87.7211,87.1517,87.49,0.48934,0.47261,5.5992,5.6317
Mawrth Vallis ExoMars2020 Candidate Landing Site IAPS,1,3,94,2023 JUL 16 07:32:47,2023 JUL 16 07:33:10,22.9145,-18.9797,21.6649,-18.5304,31.0051,31.5401,39.718,39.5094,32.3992,30.7589,9.0889,9.125
Mawrth Vallis ExoMars2020 Candidate Landing Site IAPS,2,1,206,2023 JUL 25 11:37:21,2023 JUL 25 11:37:57,23.4025,-17.4325,21.6465,-17.0561,61.4233,61.4901,62.1258,62.1937,0.7729,0.77337,7.4014,7.4361
Mawrth Vallis ExoMars2020 Candidate Landing Site IAPS,3,3,318,2023 AUG 03 15:42:58,2023 AUG 03 15:43:34,23.4024,-18.1353,21.6465,-17.7606,85.8415,86.1533,85.5877,85.906,0.52599,0.51127,5.5794,5.6142
Mawrth Vallis ExoMars2020 Candidate Landing Site IAPS,4,3,325,2023 AUG 04 04:44:07,2023 AUG 04 04:44:43,21.6465,-17.8579,23.4024,-17.4835,84.6893,84.397,84.4443,84.1458,0.24622,0.25146,18.27,18.3047
