MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2020 MAR 22 16:22:36,2020 MAR 22 16:27:36,13,13
2020 MAR 24 01:54:54,2020 MAR 24 01:55:03,30,30
2020 MAR 26 20:41:25,2020 MAR 26 20:42:23,64,64
2020 MAR 27 12:13:39,2020 MAR 27 12:18:10,72,72
2020 MAR 27 18:15:50,2020 MAR 27 18:16:14,75,75
2020 APR 01 21:59:53,2020 APR 01 22:04:53,138,138
2020 APR 04 01:04:00,2020 APR 04 01:09:00,164,164
2020 APR 04 03:01:40,2020 APR 04 03:06:40,165,165
2020 APR 04 08:56:43,2020 APR 04 09:01:43,168,168
2020 APR 05 04:36:36,2020 APR 05 04:41:36,178,178
2020 APR 08 07:22:17,2020 APR 08 07:26:44,216,216
2020 APR 10 16:59:43,2020 APR 10 17:04:43,245,245
2020 APR 11 16:47:17,2020 APR 11 16:52:17,257,257
2020 APR 11 20:31:09,2020 APR 11 20:35:19,259,259
2020 APR 17 02:20:03,2020 APR 17 02:25:03,323,323
